run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,45519019,45061939,125055,44936884,457080,2808639,0,2808639,Sat Jun 25 21:06:22 CEST 2011,Sat Jun 25 21:11:22 CEST 2011,300002,62856,62856.0,0.0,0
2,46458774,45980786,127313,45853473,477988,2732635,0,2732635,Sat Jun 25 21:11:22 CEST 2011,Sat Jun 25 21:16:22 CEST 2011,300001,62856,62856.0,0.0,0
3,41889269,41477954,116731,41361223,411315,2554053,0,2554053,Sat Jun 25 21:16:22 CEST 2011,Sat Jun 25 21:21:22 CEST 2011,300002,64382,64382.0,0.0,0
4,44648928,44207613,123673,44083940,441315,2657980,0,2657980,Sat Jun 25 21:21:22 CEST 2011,Sat Jun 25 21:26:22 CEST 2011,300001,65062,65062.0,0.0,0
5,44251425,43823253,122095,43701158,428172,2727800,0,2727800,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,300002,62856,62856.0,0.0,0
6,44673190,44231461,122603,44108858,441729,2770439,0,2770439,Sat Jun 25 21:31:23 CEST 2011,Sat Jun 25 21:36:23 CEST 2011,300002,62856,62856.0,0.0,0
7,44939590,44492676,124028,44368648,446914,2774406,0,2774406,Sat Jun 25 21:36:23 CEST 2011,Sat Jun 25 21:41:23 CEST 2011,300007,64382,64382.0,0.0,0
8,44617041,44164477,122862,44041615,452564,2762662,0,2762662,Sat Jun 25 21:41:23 CEST 2011,Sat Jun 25 21:46:23 CEST 2011,300002,64382,64382.0,0.0,0
9,45433597,44971135,126593,44844542,462462,2797395,0,2797395,Sat Jun 25 21:46:23 CEST 2011,Sat Jun 25 21:51:23 CEST 2011,300002,62856,62856.0,0.0,0
10,44789274,44353250,125391,44227859,436024,2578090,0,2578090,Sat Jun 25 21:51:24 CEST 2011,Sat Jun 25 21:56:24 CEST 2011,300002,64937,64937.0,0.0,0
