iteration,cost,penalty,softConstraintViolations
1,111684,0.125,102
2,105378,0.25,102
3,105051,0.375,94
4,105543,0.5,87
5,107786,0.625,78
6,110820,0.75,68
7,121374,0.875,48
8,132344,1.0,27
9,133345,1.125,20
10,136033,1.25,13
11,142291,1.375,5
12,143728,1.5,2
13,141016,1.625,2
14,140487,1.75,1
15,141072,1.625,0
16,139358,1.5,0
17,137651,1.375,0
18,136346,1.25,0
19,135526,1.125,0
20,134941,1.0,0
21,134587,0.875,0
22,134246,0.75,0
23,133648,0.625,0
24,132779,0.5,0
25,131448,0.625,1
26,130793,0.75,1
27,130627,0.625,0
28,130187,0.5,0
29,129251,0.375,0
30,128934,0.25,0
31,128443,0.125,0
32,126235,0.25,9
33,125228,0.375,11
34,128609,0.5,1
35,128539,0.625,1
36,128414,0.5,0
37,128405,0.375,0
38,127796,0.5,1
39,127796,0.625,1
40,128405,0.5,0
41,128405,0.375,0
42,128405,0.25,0
43,128405,0.125,0
44,128405,0.0,0
45,128405,0.0,0
46,128405,0.0,0
47,128405,0.0,0
48,128405,0.0,0
49,127759,0.125,11
50,126679,0.25,11
51,128447,0.375,1
52,127838,0.5,2
53,127819,0.625,2
54,127837,0.75,1
55,128438,0.625,0
56,128437,0.5,0
57,128414,0.375,0
58,127805,0.5,1
59,127805,0.625,1
60,128414,0.5,0
61,128414,0.375,0
62,128414,0.25,0
63,128414,0.125,0
64,128414,0.0,0
65,128414,0.0,0
66,128414,0.0,0
67,128414,0.0,0
68,128414,0.0,0
69,127768,0.125,10
70,126688,0.25,9
71,128456,0.375,1
72,127847,0.5,2
73,127818,0.625,2
74,127836,0.75,1
75,127836,0.875,1
76,128437,0.75,0
77,128437,0.625,0
78,128437,0.5,0
79,128437,0.375,0
80,128437,0.25,0
81,128437,0.125,0
82,128437,0.0,0
83,128437,0.0,0
84,128437,0.0,0
85,127977,0.125,7
86,126915,0.25,5
87,126134,0.375,7
88,127656,0.5,2
89,127633,0.625,2
90,127624,0.75,2
91,128405,0.625,0
92,128405,0.5,0
93,128405,0.375,0
94,128405,0.25,0
95,128405,0.125,0
96,127937,0.25,1
97,127328,0.375,2
98,127625,0.5,1
99,127484,0.625,1
100,128093,0.5,0
101,127986,0.375,0
102,127214,0.25,0
103,126833,0.375,1
104,126938,0.25,0
105,126938,0.125,0
106,126938,0.0,0
107,126938,0.0,0
108,126938,0.0,0
109,126938,0.0,0
110,126938,0.0,0
111,126938,0.0,0
112,126324,0.125,12
113,122505,0.25,21
114,122631,0.375,18
115,122620,0.5,17
116,126439,0.625,9
117,126206,0.75,8
118,129029,0.875,3
119,129808,1.0,2
120,129449,1.125,2
121,129329,1.25,2
122,131646,1.125,0
123,131618,1.0,0
124,131215,0.875,0
125,128644,1.0,2
126,128771,0.875,0
127,128261,0.75,0
128,128081,0.625,0
129,127429,0.5,0
130,127429,0.375,0
131,127429,0.25,0
132,127429,0.125,0
133,127429,0.0,0
134,127429,0.0,0
135,127429,0.0,0
136,126013,0.125,21
137,125254,0.25,11
138,124763,0.375,11
139,125016,0.5,8
140,126206,0.625,5
141,125596,0.75,5
142,125977,0.875,4
143,126519,1.0,3
144,127404,1.125,2
145,127255,1.25,2
146,127255,1.375,2
147,127255,1.5,2
148,127255,1.625,2
149,127255,1.75,2
150,127255,1.875,2
151,127255,2.0,2
152,127255,2.125,2
153,127255,2.25,2
154,127255,2.375,2
155,127255,2.5,2
156,127255,2.625,2
157,127255,2.75,2
158,127255,2.875,2
159,127255,3.0,2
160,127255,3.125,2
161,127255,3.25,2
162,127255,3.375,2
163,127255,3.5,2
164,127255,3.625,2
165,127255,3.75,2
166,127255,3.875,2
167,127255,4.0,2
168,127255,4.125,2
169,127255,4.25,2
170,127255,4.375,2
171,127255,4.5,2
172,127255,4.625,2
173,127255,4.75,2
174,127255,4.875,2
175,127255,5.0,2
176,127255,5.125,2
177,127255,5.25,2
178,127255,5.375,2
179,127255,5.5,2
180,127255,5.625,2
181,127255,5.75,2
182,127255,5.875,2
183,127255,6.0,2
184,127255,6.125,2
185,127255,6.25,2
186,127255,6.375,2
187,127255,6.5,2
188,127255,6.625,2
189,127255,6.75,2
190,127255,6.875,2
191,127255,7.0,2
192,127255,7.125,2
193,127255,7.25,2
194,127255,7.375,2
195,127255,7.5,2
196,127255,7.625,2
197,127255,7.75,2
198,127255,7.875,2
199,127255,8.0,2
200,127255,8.125,2
201,127255,8.25,2
202,127255,8.375,2
203,127255,8.5,2
204,127255,8.625,2
205,127255,8.75,2
206,127255,8.875,2
207,127255,9.0,2
208,127255,9.125,2
209,127255,9.25,2
210,127255,9.375,2
211,130164,9.5,1
212,131554,9.375,0
213,130767,9.25,0
214,130761,9.125,0
215,130760,9.0,0
216,130760,8.875,0
217,130760,8.75,0
218,130760,8.625,0
219,130760,8.5,0
220,130760,8.375,0
221,130760,8.25,0
222,130760,8.125,0
223,130760,8.0,0
224,130760,7.875,0
225,130760,7.75,0
226,130760,7.625,0
227,130760,7.5,0
228,130760,7.375,0
229,130760,7.25,0
230,130760,7.125,0
231,130760,7.0,0
232,130760,6.875,0
233,130760,6.75,0
234,130760,6.625,0
235,130760,6.5,0
236,130760,6.375,0
237,130760,6.25,0
238,130760,6.125,0
239,130760,6.0,0
240,130760,5.875,0
241,130760,5.75,0
242,130760,5.625,0
243,130760,5.5,0
244,130760,5.375,0
245,130760,5.25,0
246,130760,5.125,0
247,130760,5.0,0
248,130760,4.875,0
249,130760,4.75,0
250,130760,4.625,0
251,130760,4.5,0
252,130760,4.375,0
253,130760,4.25,0
254,130760,4.125,0
255,130760,4.0,0
256,130760,3.875,0
257,130760,3.75,0
258,130760,3.625,0
259,130760,3.5,0
260,130760,3.375,0
261,130760,3.25,0
262,130760,3.125,0
263,130760,3.0,0
264,130760,2.875,0
265,130760,2.75,0
266,130760,2.625,0
267,130760,2.5,0
268,130760,2.375,0
269,130760,2.25,0
270,130760,2.125,0
271,130760,2.0,0
272,130760,1.875,0
273,130760,1.75,0
274,130760,1.625,0
