iteration,cost,penalty,softConstraintViolations
1,112126,0.125,102
2,107946,0.25,102
3,106925,0.375,102
4,117778,0.5,62
5,122797,0.625,45
6,138442,0.75,14
7,131424,0.875,14
8,139188,1.0,2
9,136680,1.125,2
10,135843,1.25,2
11,136888,1.375,1
12,136447,1.5,1
13,137949,1.375,0
14,137438,1.25,0
15,136990,1.125,0
16,136583,1.0,0
17,136304,0.875,0
18,136111,0.75,0
19,135928,0.625,0
20,135875,0.5,0
21,135835,0.375,0
22,135320,0.25,0
23,131548,0.375,6
24,130789,0.5,6
25,130539,0.625,6
26,130535,0.75,6
27,135544,0.625,0
28,135215,0.5,0
29,134910,0.375,0
30,134378,0.25,0
31,130432,0.375,8
32,129618,0.5,8
33,128425,0.625,8
34,128283,0.75,7
35,127363,0.875,7
36,126610,1.0,7
37,134765,0.875,0
38,134136,0.75,0
39,133684,0.625,0
40,127522,0.75,7
41,126158,0.875,7
42,126197,1.0,6
43,126726,1.125,5
44,126246,1.25,5
45,127322,1.375,4
46,130222,1.5,2
47,129667,1.625,2
48,133469,1.5,0
49,133100,1.375,0
50,132768,1.25,0
51,132587,1.125,0
52,132529,1.0,0
53,132340,0.875,0
54,132340,0.75,0
55,130203,0.875,2
56,130083,1.0,2
57,130083,1.125,2
58,130083,1.25,2
59,130083,1.375,2
60,130083,1.5,2
61,130083,1.625,2
62,130083,1.75,2
63,130083,1.875,2
64,130083,2.0,2
65,130083,2.125,2
66,130083,2.25,2
67,130083,2.375,2
68,130083,2.5,2
69,130083,2.625,2
70,130083,2.75,2
71,130083,2.875,2
72,130083,3.0,2
73,132085,3.125,1
74,131479,3.25,1
75,132548,3.125,0
76,132548,3.0,0
77,132548,2.875,0
78,132449,2.75,0
79,131856,2.625,0
80,131648,2.5,0
81,131648,2.375,0
82,131648,2.25,0
83,131648,2.125,0
84,131648,2.0,0
85,131648,1.875,0
86,131648,1.75,0
87,131648,1.625,0
88,131648,1.5,0
89,131648,1.375,0
90,131648,1.25,0
91,131648,1.125,0
92,131648,1.0,0
93,131648,0.875,0
94,131648,0.75,0
95,131648,0.625,0
96,131648,0.5,0
97,131648,0.375,0
98,131648,0.25,0
99,129152,0.375,4
100,128495,0.5,4
101,128703,0.625,3
102,128409,0.75,3
103,128233,0.875,3
104,128120,1.0,3
105,128031,1.125,3
106,130608,1.25,1
107,130608,1.375,1
108,130608,1.5,1
109,130608,1.625,1
110,130608,1.75,1
111,130608,1.875,1
112,130608,2.0,1
113,130608,2.125,1
114,130608,2.25,1
115,130608,2.375,1
116,130608,2.5,1
117,130608,2.625,1
118,130608,2.75,1
119,130608,2.875,1
120,130608,3.0,1
121,130608,3.125,1
122,130608,3.25,1
123,130608,3.375,1
124,130608,3.5,1
125,130608,3.625,1
126,130608,3.75,1
127,130608,3.875,1
128,130608,4.0,1
129,130608,4.125,1
130,130608,4.25,1
131,130608,4.375,1
132,130608,4.5,1
133,130608,4.625,1
134,130608,4.75,1
135,130608,4.875,1
136,130608,5.0,1
137,130608,5.125,1
138,130608,5.25,1
139,130608,5.375,1
140,130608,5.5,1
141,130608,5.625,1
142,130608,5.75,1
143,130608,5.875,1
144,130608,6.0,1
145,130608,6.125,1
146,130608,6.25,1
147,130608,6.375,1
148,130608,6.5,1
149,130608,6.625,1
150,130608,6.75,1
151,130608,6.875,1
152,130608,7.0,1
153,130608,7.125,1
154,130608,7.25,1
155,130608,7.375,1
156,130608,7.5,1
157,130608,7.625,1
158,130608,7.75,1
159,130608,7.875,1
160,130608,8.0,1
161,130608,8.125,1
162,130608,8.25,1
163,130608,8.375,1
164,130608,8.5,1
165,130608,8.625,1
166,130608,8.75,1
167,130608,8.875,1
168,130608,9.0,1
169,130608,9.125,1
170,130608,9.25,1
171,133320,9.125,0
172,132813,9.0,0
173,132407,8.875,0
174,132375,8.75,0
175,132375,8.625,0
176,132375,8.5,0
177,132375,8.375,0
178,132375,8.25,0
179,132375,8.125,0
180,132375,8.0,0
181,132375,7.875,0
182,132375,7.75,0
183,132375,7.625,0
184,132375,7.5,0
185,132375,7.375,0
186,132375,7.25,0
187,132375,7.125,0
188,132375,7.0,0
189,132375,6.875,0
190,132375,6.75,0
191,132375,6.625,0
192,132375,6.5,0
193,132375,6.375,0
194,132375,6.25,0
195,132375,6.125,0
196,132375,6.0,0
197,132375,5.875,0
198,132375,5.75,0
199,132375,5.625,0
200,132375,5.5,0
201,132375,5.375,0
202,132375,5.25,0
203,132375,5.125,0
204,132375,5.0,0
205,132375,4.875,0
206,132375,4.75,0
207,132375,4.625,0
208,132375,4.5,0
209,132375,4.375,0
210,132375,4.25,0
211,132375,4.125,0
212,132375,4.0,0
213,132375,3.875,0
214,132375,3.75,0
215,132375,3.625,0
216,132375,3.5,0
217,132375,3.375,0
218,132375,3.25,0
219,132375,3.125,0
220,132375,3.0,0
221,132375,2.875,0
222,132375,2.75,0
223,132375,2.625,0
224,132375,2.5,0
225,132375,2.375,0
226,132375,2.25,0
227,132375,2.125,0
228,132375,2.0,0
229,132375,1.875,0
230,132375,1.75,0
231,132375,1.625,0
232,132375,1.5,0
233,132375,1.375,0
234,132375,1.25,0
235,132375,1.125,0
236,132375,1.0,0
237,132375,0.875,0
238,132375,0.75,0
239,129798,0.875,2
240,127513,1.0,4
241,127505,1.125,3
242,130082,1.25,1
243,130082,1.375,1
244,130082,1.5,1
245,130082,1.625,1
246,130082,1.75,1
247,130082,1.875,1
248,130082,2.0,1
249,130082,2.125,1
250,130082,2.25,1
251,130082,2.375,1
252,130082,2.5,1
253,130082,2.625,1
254,130082,2.75,1
255,130082,2.875,1
256,130082,3.0,1
257,130082,3.125,1
258,130082,3.25,1
259,130082,3.375,1
260,130082,3.5,1
261,130082,3.625,1
262,130082,3.75,1
263,130082,3.875,1
264,130082,4.0,1
265,130082,4.125,1
266,130082,4.25,1
267,130082,4.375,1
268,130082,4.5,1
269,130082,4.625,1
270,130082,4.75,1
271,130082,4.875,1
272,130082,5.0,1
273,130082,5.125,1
274,130082,5.25,1
275,130082,5.375,1
276,130082,5.5,1
277,130082,5.625,1
278,130082,5.75,1
