iteration,cost,penalty,softConstraintViolations
1,158301,0.125,37
2,150907,0.25,42
3,145477,0.375,40
4,142443,0.5,35
5,141336,0.625,28
6,143394,0.75,21
7,145408,0.875,15
8,143434,1.0,13
9,144456,1.125,9
10,144155,1.25,7
11,142901,1.375,6
12,146103,1.5,2
13,145373,1.625,2
14,144740,1.75,2
15,144059,1.875,2
16,144888,2.0,1
17,146978,1.875,0
18,146198,1.75,0
19,144993,1.625,0
20,143754,1.5,0
21,143104,1.375,0
22,142501,1.25,0
23,142483,1.125,0
24,142312,1.0,0
25,142292,0.875,0
26,142193,0.75,0
27,140702,0.875,1
28,140486,0.75,0
29,138120,0.875,1
30,138011,1.0,1
31,137978,1.125,1
32,139275,1.0,0
33,138673,0.875,0
34,138500,0.75,0
35,138454,0.625,0
36,137549,0.75,1
37,138463,0.625,0
38,138391,0.5,0
39,137158,0.375,0
40,135513,0.5,2
41,135275,0.625,2
42,135071,0.75,2
43,134011,0.875,2
44,135656,0.75,0
45,135607,0.625,0
46,133862,0.75,2
47,134729,0.875,1
48,135819,0.75,0
49,135782,0.625,0
50,135622,0.5,0
51,135622,0.375,0
52,135087,0.5,1
53,134915,0.625,1
54,135707,0.5,0
55,135622,0.375,0
56,135622,0.25,0
57,135622,0.125,0
58,135622,0.0,0
59,135622,0.0,0
60,135622,0.0,0
61,135622,0.0,0
62,135622,0.0,0
63,135089,0.125,15
64,130074,0.25,23
65,128335,0.375,19
66,129803,0.5,13
67,128503,0.625,13
68,132524,0.75,6
69,133856,0.875,4
70,131797,1.0,5
71,132854,1.125,3
72,132965,1.25,2
73,132582,1.375,2
74,132658,1.5,1
75,132646,1.625,1
76,132646,1.75,1
77,132646,1.875,1
78,132646,2.0,1
79,132646,2.125,1
80,132646,2.25,1
81,132646,2.375,1
82,132646,2.5,1
83,132646,2.625,1
84,132646,2.75,1
85,132646,2.875,1
86,132646,3.0,1
87,132646,3.125,1
88,132646,3.25,1
89,132646,3.375,1
90,132646,3.5,1
91,132646,3.625,1
92,132646,3.75,1
93,132646,3.875,1
94,132646,4.0,1
95,132646,4.125,1
96,132646,4.25,1
97,132646,4.375,1
98,132646,4.5,1
99,132646,4.625,1
100,132646,4.75,1
101,132646,4.875,1
102,132646,5.0,1
103,132646,5.125,1
104,132646,5.25,1
105,132646,5.375,1
106,132646,5.5,1
107,132646,5.625,1
108,132646,5.75,1
109,132646,5.875,1
110,132646,6.0,1
111,132646,6.125,1
112,132646,6.25,1
113,132646,6.375,1
114,132646,6.5,1
115,132646,6.625,1
116,132646,6.75,1
117,132646,6.875,1
118,132646,7.0,1
119,132646,7.125,1
120,132646,7.25,1
121,132646,7.375,1
122,132646,7.5,1
123,132646,7.625,1
124,132646,7.75,1
125,132646,7.875,1
126,132646,8.0,1
127,132646,8.125,1
128,132646,8.25,1
129,132646,8.375,1
130,132646,8.5,1
131,132646,8.625,1
132,132646,8.75,1
133,132646,8.875,1
134,132646,9.0,1
135,132646,9.125,1
136,132646,9.25,1
137,132646,9.375,1
138,132646,9.5,1
139,132646,9.625,1
140,137309,9.5,0
141,137244,9.375,0
142,137110,9.25,0
143,137094,9.125,0
144,137093,9.0,0
145,137093,8.875,0
146,137093,8.75,0
147,137093,8.625,0
148,137093,8.5,0
149,137093,8.375,0
150,137093,8.25,0
151,137093,8.125,0
152,137093,8.0,0
153,137093,7.875,0
154,137093,7.75,0
155,137093,7.625,0
156,137093,7.5,0
157,137093,7.375,0
158,137093,7.25,0
159,137093,7.125,0
160,137093,7.0,0
161,137093,6.875,0
162,137093,6.75,0
163,137093,6.625,0
164,137093,6.5,0
165,137093,6.375,0
166,137093,6.25,0
167,137093,6.125,0
168,137093,6.0,0
169,137093,5.875,0
170,137093,5.75,0
171,137093,5.625,0
172,137093,5.5,0
173,137093,5.375,0
174,137093,5.25,0
175,137093,5.125,0
176,137093,5.0,0
177,137093,4.875,0
178,137093,4.75,0
179,137093,4.625,0
180,137093,4.5,0
181,137093,4.375,0
182,137093,4.25,0
183,137093,4.125,0
184,137093,4.0,0
185,137093,3.875,0
186,137093,3.75,0
187,137093,3.625,0
188,137093,3.5,0
189,137093,3.375,0
190,137093,3.25,0
191,137093,3.125,0
192,137093,3.0,0
193,137093,2.875,0
194,137093,2.75,0
195,137093,2.625,0
196,137093,2.5,0
197,137093,2.375,0
198,137093,2.25,0
199,137093,2.125,0
