neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
3864168,3828307,5898,3822409,35861,215172,0,215172,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:13:42 CEST 2011,1820164,130779,130779.0,0.0,0
3100086,3077219,5004,3072215,22867,225087,0,225087,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:11:39 CEST 2011,1696548,127789,127789.0,0.0,0
2238390,2215872,3896,2211976,22518,106728,0,106728,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:07:46 CEST 2011,1464125,133688,133688.0,0.0,0
2537964,2521067,4190,2516877,16897,197080,0,197080,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:09:16 CEST 2011,1553803,127338,127338.0,0.0,0
1780614,1761404,2673,1758731,19210,89823,0,89823,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:03:23 CEST 2011,1201184,127410,127410.0,0.0,0
2548062,2533218,4302,2528916,14844,193887,0,193887,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:08:56 CEST 2011,1533703,130953,130953.0,0.0,0
4486878,4449381,6959,4442422,37497,287296,0,287296,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:14:19 CEST 2011,1857142,131720,131720.0,0.0,0
3177504,3148924,5122,3143802,28580,211685,0,211685,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:12:07 CEST 2011,1724608,131710,131710.0,0.0,0
1975842,1954518,3351,1951167,21324,109079,0,109079,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:05:35 CEST 2011,1332409,132498,132498.0,0.0,0
1757052,1739095,2774,1736321,17957,80326,0,80326,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:03:57 CEST 2011,1234387,131218,131218.0,0.0,0
1757052,1738682,3059,1735623,18370,92314,0,92314,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:03:34 CEST 2011,1211386,128373,128373.0,0.0,0
2618748,2595717,3914,2591803,23031,161617,0,161617,Sat Jun 25 04:43:23 CEST 2011,Sat Jun 25 05:09:32 CEST 2011,1569239,127954,127954.0,0.0,0
2618748,2601401,4016,2597385,17347,181267,0,181267,Sat Jun 25 04:43:23 CEST 2011,Sat Jun 25 05:09:45 CEST 2011,1582647,130624,130624.0,0.0,0
