iteration,cost,penalty,softConstraintViolations
1,111430,0.125,102
2,105167,0.25,102
3,104118,0.375,102
4,105783,0.5,92
5,106911,0.625,84
6,120148,0.75,50
7,130820,0.875,27
8,131881,1.0,22
9,134009,1.125,16
10,146228,1.25,4
11,145508,1.375,2
12,140984,1.5,3
13,142332,1.625,1
14,141832,1.5,0
15,139697,1.375,0
16,139038,1.25,0
17,138305,1.125,0
18,137781,1.0,0
19,137633,0.875,0
20,137550,0.75,0
21,136380,0.875,1
22,136064,1.0,1
23,136016,1.125,1
24,137394,1.0,0
25,137299,0.875,0
26,135932,1.0,1
27,135771,1.125,1
28,137138,1.0,0
29,137138,0.875,0
30,137138,0.75,0
31,137138,0.625,0
32,137138,0.5,0
33,137138,0.375,0
34,137138,0.25,0
35,137138,0.125,0
36,137138,0.0,0
37,137138,0.0,0
38,137127,0.125,6
39,134106,0.25,10
40,131729,0.375,12
41,131351,0.5,11
42,134681,0.625,4
43,134232,0.75,4
44,133997,0.875,4
45,134704,1.0,3
46,134807,1.125,2
47,134539,1.25,2
48,134414,1.375,2
49,134293,1.5,2
50,134212,1.625,2
51,134150,1.75,2
52,133753,1.875,2
53,138083,1.75,0
54,137910,1.625,0
55,137774,1.5,0
56,133444,1.625,2
57,133444,1.75,2
58,133444,1.875,2
59,133444,2.0,2
60,133444,2.125,2
61,133444,2.25,2
62,133444,2.375,2
63,133444,2.5,2
64,133444,2.625,2
65,133444,2.75,2
66,133444,2.875,2
67,133444,3.0,2
68,133444,3.125,2
69,133444,3.25,2
70,133444,3.375,2
71,133444,3.5,2
72,133444,3.625,2
73,133444,3.75,2
74,133444,3.875,2
75,133444,4.0,2
76,133444,4.125,2
77,133444,4.25,2
78,133444,4.375,2
79,133444,4.5,2
80,133444,4.625,2
81,133444,4.75,2
82,133444,4.875,2
83,133444,5.0,2
84,133444,5.125,2
85,133444,5.25,2
86,133444,5.375,2
87,133444,5.5,2
88,133444,5.625,2
89,133444,5.75,2
90,133444,5.875,2
91,133444,6.0,2
92,133444,6.125,2
93,133444,6.25,2
94,133444,6.375,2
95,133444,6.5,2
96,133444,6.625,2
97,133444,6.75,2
98,133444,6.875,2
99,133444,7.0,2
100,133444,7.125,2
101,133444,7.25,2
102,133444,7.375,2
103,133444,7.5,2
104,133444,7.625,2
105,133444,7.75,2
106,133444,7.875,2
107,133444,8.0,2
108,133444,8.125,2
109,133444,8.25,2
110,141618,8.375,1
111,144228,8.25,0
112,143620,8.125,0
113,143159,8.0,0
114,142712,7.875,0
115,142420,7.75,0
116,141516,7.625,0
117,141264,7.5,0
118,141050,7.375,0
119,140897,7.25,0
120,140767,7.125,0
121,139379,7.0,0
122,139088,6.875,0
123,139087,6.75,0
124,138742,6.625,0
125,138556,6.5,0
126,138245,6.375,0
127,137214,6.25,0
128,135401,6.125,0
129,135057,6.0,0
130,135033,5.875,0
131,135033,5.75,0
132,135033,5.625,0
133,135033,5.5,0
134,135033,5.375,0
135,135033,5.25,0
136,135033,5.125,0
137,135033,5.0,0
138,135033,4.875,0
139,135033,4.75,0
140,135033,4.625,0
141,135033,4.5,0
142,135033,4.375,0
143,135033,4.25,0
144,135033,4.125,0
145,135033,4.0,0
146,135033,3.875,0
147,135033,3.75,0
148,135033,3.625,0
149,135033,3.5,0
150,135033,3.375,0
151,135033,3.25,0
152,135033,3.125,0
153,135033,3.0,0
154,135033,2.875,0
155,135033,2.75,0
156,135033,2.625,0
157,135033,2.5,0
158,135033,2.375,0
159,135033,2.25,0
160,135033,2.125,0
161,135033,2.0,0
162,135033,1.875,0
163,135033,1.75,0
164,135033,1.625,0
165,135033,1.5,0
166,135033,1.375,0
167,135033,1.25,0
168,135033,1.125,0
169,135033,1.0,0
170,135033,0.875,0
171,135033,0.75,0
172,135033,0.625,0
173,135033,0.5,0
174,135033,0.375,0
175,135033,0.25,0
176,135033,0.125,0
177,135033,0.0,0
178,134911,0.125,3
179,132884,0.25,5
180,128662,0.375,13
181,127175,0.5,13
182,126364,0.625,13
183,125104,0.75,13
184,126855,0.875,9
185,127331,1.0,7
186,129942,1.125,4
187,130223,1.25,3
188,130508,1.375,2
189,129536,1.5,2
190,128958,1.625,2
191,131947,1.5,0
192,131757,1.375,0
193,131725,1.25,0
194,131281,1.125,0
195,131281,1.0,0
196,131281,0.875,0
197,131281,0.75,0
198,131281,0.625,0
199,130300,0.75,1
200,130799,0.625,0
201,130475,0.5,0
202,127654,0.625,4
203,127830,0.75,3
204,127386,0.875,3
205,130264,0.75,0
206,130264,0.625,0
207,127386,0.75,3
208,127231,0.875,3
209,127231,1.0,3
210,127231,1.125,3
211,127231,1.25,3
212,127231,1.375,3
213,127231,1.5,3
214,127231,1.625,3
215,127231,1.75,3
216,127231,1.875,3
217,127231,2.0,3
218,127231,2.125,3
219,127231,2.25,3
220,127231,2.375,3
221,127231,2.5,3
222,127231,2.625,3
223,127231,2.75,3
224,127231,2.875,3
225,127231,3.0,3
226,127231,3.125,3
227,127231,3.25,3
228,127231,3.375,3
229,127231,3.5,3
230,127231,3.625,3
231,127231,3.75,3
232,127231,3.875,3
233,127231,4.0,3
234,127231,4.125,3
235,127231,4.25,3
236,127231,4.375,3
237,127231,4.5,3
238,127231,4.625,3
239,127231,4.75,3
