iteration,cost,penalty,softConstraintViolations
1,119993,0.125,102
2,122036,0.25,80
3,123670,0.375,68
4,127936,0.5,50
5,135869,0.625,28
6,135633,0.75,22
7,138588,0.875,14
8,138372,1.0,11
9,138463,1.125,9
10,138841,1.25,7
11,139436,1.375,5
12,140096,1.5,3
13,139290,1.625,3
14,140699,1.75,2
15,140240,1.875,2
16,140009,2.0,2
17,140457,2.125,1
18,143017,2.0,0
19,141608,1.875,0
20,141608,1.75,0
21,141608,1.625,0
22,141608,1.5,0
23,141608,1.375,0
24,141608,1.25,0
25,141608,1.125,0
26,141608,1.0,0
27,141608,0.875,0
28,141608,0.75,0
29,141608,0.625,0
30,141608,0.5,0
31,141608,0.375,0
32,141608,0.25,0
33,141608,0.125,0
34,141608,0.0,0
35,140021,0.125,18
36,137205,0.25,20
37,134609,0.375,23
38,138674,0.5,11
39,137445,0.625,11
40,137055,0.75,10
41,139093,0.875,7
42,139731,1.0,6
43,137982,1.125,6
44,141061,1.25,3
45,141946,1.375,2
46,142202,1.5,1
47,141141,1.625,1
48,140324,1.75,1
49,138947,1.875,1
50,138005,1.75,0
51,137992,1.625,0
52,137992,1.5,0
53,137992,1.375,0
54,137992,1.25,0
55,137992,1.125,0
56,137992,1.0,0
57,137992,0.875,0
58,137992,0.75,0
59,137992,0.625,0
60,137992,0.5,0
61,137992,0.375,0
62,137992,0.25,0
63,137992,0.125,0
64,137992,0.0,0
65,137992,0.0,0
66,137992,0.0,0
67,137992,0.0,0
68,137977,0.125,16
69,134881,0.25,13
70,134549,0.375,11
71,137363,0.5,1
72,135873,0.625,3
73,136502,0.75,2
74,136502,0.875,2
75,136502,1.0,2
76,136502,1.125,2
77,136502,1.25,2
78,136502,1.375,2
79,136502,1.5,2
80,136502,1.625,2
81,136502,1.75,2
82,136502,1.875,2
83,136502,2.0,2
84,136502,2.125,2
85,136502,2.25,2
86,136502,2.375,2
87,136502,2.5,2
88,136502,2.625,2
89,136502,2.75,2
90,136502,2.875,2
91,136502,3.0,2
92,136502,3.125,2
93,136502,3.25,2
94,136502,3.375,2
95,136502,3.5,2
96,136502,3.625,2
97,136502,3.75,2
98,136502,3.875,2
99,136502,4.0,2
100,136502,4.125,2
101,136502,4.25,2
102,136502,4.375,2
103,136502,4.5,2
104,136502,4.625,2
105,136502,4.75,2
106,142223,4.625,0
107,137992,4.5,0
108,137992,4.375,0
109,137992,4.25,0
110,137992,4.125,0
111,137992,4.0,0
112,137992,3.875,0
113,137992,3.75,0
114,137992,3.625,0
115,137992,3.5,0
116,137992,3.375,0
117,137992,3.25,0
118,137992,3.125,0
119,137992,3.0,0
120,137992,2.875,0
121,137992,2.75,0
122,137992,2.625,0
123,137992,2.5,0
124,137992,2.375,0
125,137992,2.25,0
126,137992,2.125,0
127,137992,2.0,0
128,137992,1.875,0
129,137992,1.75,0
130,137992,1.625,0
131,137992,1.5,0
132,137992,1.375,0
133,137992,1.25,0
134,137992,1.125,0
135,137992,1.0,0
136,137992,0.875,0
137,137992,0.75,0
138,137992,0.625,0
139,137992,0.5,0
140,137992,0.375,0
141,137992,0.25,0
142,137992,0.125,0
143,137992,0.0,0
144,137992,0.0,0
145,137992,0.0,0
146,137992,0.0,0
147,137992,0.0,0
148,137992,0.0,0
149,137992,0.0,0
