iteration,cost,penalty,softConstraintViolations
1,117064,0.125,102
2,119196,0.25,80
3,118910,0.375,73
4,129868,0.5,31
5,129273,0.625,28
6,131296,0.75,21
7,132414,0.875,16
8,133579,1.0,12
9,133501,1.125,11
10,133563,1.25,10
11,135223,1.375,8
12,136494,1.5,6
13,137051,1.625,5
14,139848,1.75,3
15,139770,1.875,2
16,138593,2.0,2
17,137629,2.125,2
18,139583,2.25,1
19,139019,2.375,1
20,138745,2.5,1
21,142003,2.375,0
22,141436,2.25,0
23,141144,2.125,0
24,140914,2.0,0
25,140878,1.875,0
26,140878,1.75,0
27,140878,1.625,0
28,140878,1.5,0
29,140878,1.375,0
30,140878,1.25,0
31,140878,1.125,0
32,140878,1.0,0
33,140878,0.875,0
34,140878,0.75,0
35,140878,0.625,0
36,140878,0.5,0
37,140878,0.375,0
38,140878,0.25,0
39,140878,0.125,0
40,140878,0.0,0
41,140878,0.0,0
42,139877,0.125,8
43,136831,0.25,11
44,134936,0.375,10
45,133401,0.5,11
46,135878,0.625,4
47,136181,0.75,3
48,134910,0.875,4
49,134660,1.0,4
50,134660,1.125,4
51,134660,1.25,4
52,134660,1.375,4
53,134660,1.5,4
54,134660,1.625,4
55,134660,1.75,4
56,134660,1.875,4
57,134660,2.0,4
58,134660,2.125,4
59,134660,2.25,4
60,134660,2.375,4
61,134660,2.5,4
62,134660,2.625,4
63,134660,2.75,4
64,134660,2.875,4
65,134660,3.0,4
66,146070,3.125,1
67,141805,3.25,1
68,143234,3.125,0
69,142729,3.0,0
70,142367,2.875,0
71,142129,2.75,0
72,141899,2.625,0
73,141682,2.5,0
74,141381,2.375,0
75,140886,2.25,0
76,140735,2.125,0
77,140627,2.0,0
78,140217,1.875,0
79,138892,1.75,0
80,135806,1.875,1
81,137214,1.75,0
82,136735,1.625,0
83,136138,1.5,0
84,135396,1.375,0
85,134067,1.25,0
86,133977,1.125,0
87,133967,1.0,0
88,133967,0.875,0
89,133967,0.75,0
90,133967,0.625,0
91,133967,0.5,0
92,133967,0.375,0
93,133967,0.25,0
94,133967,0.125,0
95,133967,0.0,0
96,133967,0.0,0
97,133967,0.0,0
98,133967,0.0,0
99,133967,0.0,0
100,133967,0.0,0
101,133967,0.0,0
102,133967,0.0,0
103,133967,0.0,0
104,133082,0.125,14
105,131470,0.25,17
106,132619,0.375,11
107,132710,0.5,9
108,131329,0.625,10
109,131439,0.75,9
110,138328,0.875,1
111,134035,1.0,1
112,134462,0.875,0
113,134462,0.75,0
114,134462,0.625,0
115,134462,0.5,0
116,134462,0.375,0
117,134462,0.25,0
118,134462,0.125,0
119,134462,0.0,0
120,134462,0.0,0
121,133391,0.125,13
122,132146,0.25,13
123,131866,0.375,9
124,131866,0.5,9
125,131866,0.625,9
126,131866,0.75,9
127,131866,0.875,9
128,138393,1.0,3
129,139753,1.125,1
130,140452,1.0,0
131,140444,0.875,0
132,140444,0.75,0
133,140444,0.625,0
134,140444,0.5,0
135,140444,0.375,0
136,138780,0.5,2
137,139070,0.375,0
138,135251,0.25,0
139,134546,0.375,1
140,133757,0.5,1
141,133757,0.625,1
142,133757,0.75,1
143,133757,0.875,1
144,133757,1.0,1
145,133757,1.125,1
146,133757,1.25,1
147,133757,1.375,1
148,133757,1.5,1
149,133757,1.625,1
150,133757,1.75,1
151,133757,1.875,1
152,133757,2.0,1
153,133757,2.125,1
154,133757,2.25,1
155,133757,2.375,1
156,133757,2.5,1
157,133757,2.625,1
158,133757,2.75,1
159,133757,2.875,1
160,133757,3.0,1
161,133757,3.125,1
162,133757,3.25,1
163,133757,3.375,1
164,133757,3.5,1
165,133757,3.625,1
166,133757,3.75,1
167,133757,3.875,1
168,133757,4.0,1
169,133757,4.125,1
170,133757,4.25,1
171,133757,4.375,1
172,133757,4.5,1
173,133757,4.625,1
174,133757,4.75,1
175,133757,4.875,1
176,133757,5.0,1
177,133757,5.125,1
178,133757,5.25,1
179,133757,5.375,1
180,133757,5.5,1
181,133757,5.625,1
182,133757,5.75,1
183,133757,5.875,1
184,133757,6.0,1
185,133757,6.125,1
186,133757,6.25,1
187,133757,6.375,1
188,133757,6.5,1
189,133757,6.625,1
190,133757,6.75,1
191,133757,6.875,1
192,133757,7.0,1
193,133757,7.125,1
194,133757,7.25,1
195,133757,7.375,1
196,133757,7.5,1
197,133757,7.625,1
198,133757,7.75,1
199,133757,7.875,1
200,133757,8.0,1
201,133757,8.125,1
202,133757,8.25,1
203,133757,8.375,1
204,133757,8.5,1
205,134462,8.375,0
206,134462,8.25,0
207,134462,8.125,0
208,134462,8.0,0
209,134462,7.875,0
210,134462,7.75,0
211,134462,7.625,0
212,134462,7.5,0
213,134462,7.375,0
214,134462,7.25,0
215,134462,7.125,0
216,134462,7.0,0
217,134462,6.875,0
218,134462,6.75,0
219,134462,6.625,0
220,134462,6.5,0
221,134462,6.375,0
222,134462,6.25,0
223,134462,6.125,0
224,134462,6.0,0
225,134462,5.875,0
226,134462,5.75,0
227,134462,5.625,0
228,134462,5.5,0
229,134462,5.375,0
230,134462,5.25,0
231,134462,5.125,0
232,134462,5.0,0
233,134462,4.875,0
234,134462,4.75,0
235,134462,4.625,0
236,134462,4.5,0
237,134462,4.375,0
238,134462,4.25,0
239,134462,4.125,0
240,134462,4.0,0
241,134462,3.875,0
242,134462,3.75,0
243,134462,3.625,0
244,134462,3.5,0
245,134462,3.375,0
246,134462,3.25,0
247,134462,3.125,0
248,134462,3.0,0
249,134462,2.875,0
250,134462,2.75,0
251,134462,2.625,0
252,134462,2.5,0
253,134462,2.375,0
254,134462,2.25,0
255,134462,2.125,0
256,134462,2.0,0
257,134462,1.875,0
258,134462,1.75,0
259,134462,1.625,0
260,134462,1.5,0
261,134462,1.375,0
262,134462,1.25,0
263,134462,1.125,0
264,134462,1.0,0
265,134462,0.875,0
266,134462,0.75,0
267,134462,0.625,0
268,134462,0.5,0
269,134462,0.375,0
270,133757,0.5,1
271,133757,0.625,1
272,133757,0.75,1
273,133757,0.875,1
274,133757,1.0,1
275,133757,1.125,1
276,133757,1.25,1
277,133757,1.375,1
278,133757,1.5,1
279,133757,1.625,1
280,133757,1.75,1
281,133757,1.875,1
282,133757,2.0,1
283,133757,2.125,1
284,133757,2.25,1
285,133757,2.375,1
286,133757,2.5,1
287,133757,2.625,1
288,133757,2.75,1
289,133757,2.875,1
290,133757,3.0,1
291,133757,3.125,1
292,133757,3.25,1
293,133757,3.375,1
294,133757,3.5,1
295,133757,3.625,1
296,133757,3.75,1
297,133757,3.875,1
298,133757,4.0,1
299,133757,4.125,1
300,133757,4.25,1
301,133757,4.375,1
302,133757,4.5,1
303,133757,4.625,1
304,133757,4.75,1
305,133757,4.875,1
306,133757,5.0,1
307,133757,5.125,1
308,133757,5.25,1
309,133757,5.375,1
310,133757,5.5,1
311,133757,5.625,1
312,133757,5.75,1
313,133757,5.875,1
314,133757,6.0,1
315,133757,6.125,1
316,133757,6.25,1
317,133757,6.375,1
318,133757,6.5,1
319,133757,6.625,1
320,133757,6.75,1
321,133757,6.875,1
322,133757,7.0,1
323,133757,7.125,1
324,133757,7.25,1
325,133757,7.375,1
326,133757,7.5,1
327,133757,7.625,1
328,133757,7.75,1
329,133757,7.875,1
330,133757,8.0,1
331,133757,8.125,1
332,133757,8.25,1
333,133757,8.375,1
334,133757,8.5,1
335,134462,8.375,0
336,134462,8.25,0
337,134462,8.125,0
338,134462,8.0,0
339,134462,7.875,0
340,134462,7.75,0
341,134462,7.625,0
342,134462,7.5,0
343,134462,7.375,0
344,134462,7.25,0
345,134462,7.125,0
346,134462,7.0,0
347,134462,6.875,0
348,134462,6.75,0
349,134462,6.625,0
350,134462,6.5,0
351,134462,6.375,0
352,134462,6.25,0
353,134462,6.125,0
354,134462,6.0,0
355,134462,5.875,0
356,134462,5.75,0
357,134462,5.625,0
358,134462,5.5,0
359,134462,5.375,0
360,134462,5.25,0
361,134462,5.125,0
362,134462,5.0,0
363,134462,4.875,0
364,134462,4.75,0
365,134462,4.625,0
366,134462,4.5,0
367,134462,4.375,0
368,134462,4.25,0
369,134462,4.125,0
370,134462,4.0,0
371,134462,3.875,0
372,134462,3.75,0
373,134462,3.625,0
374,134462,3.5,0
375,134462,3.375,0
376,134462,3.25,0
377,134462,3.125,0
378,134462,3.0,0
379,134462,2.875,0
380,134462,2.75,0
381,134462,2.625,0
382,134462,2.5,0
383,134462,2.375,0
384,134462,2.25,0
385,134462,2.125,0
386,134462,2.0,0
387,134462,1.875,0
388,134462,1.75,0
389,134462,1.625,0
390,134462,1.5,0
391,134462,1.375,0
392,134462,1.25,0
393,134462,1.125,0
394,134462,1.0,0
395,134462,0.875,0
396,134462,0.75,0
397,134462,0.625,0
398,134462,0.5,0
399,134462,0.375,0
400,133757,0.5,1
401,133757,0.625,1
402,133757,0.75,1
403,133757,0.875,1
404,133757,1.0,1
405,133757,1.125,1
406,133757,1.25,1
407,133757,1.375,1
408,133757,1.5,1
409,133757,1.625,1
410,133757,1.75,1
411,133757,1.875,1
412,133757,2.0,1
413,133757,2.125,1
414,133757,2.25,1
415,133757,2.375,1
416,133757,2.5,1
417,133757,2.625,1
418,133757,2.75,1
419,133757,2.875,1
420,133757,3.0,1
421,133757,3.125,1
422,133757,3.25,1
423,133757,3.375,1
424,133757,3.5,1
425,133757,3.625,1
426,133757,3.75,1
427,133757,3.875,1
428,133757,4.0,1
429,133757,4.125,1
430,133757,4.25,1
431,133757,4.375,1
432,133757,4.5,1
433,133757,4.625,1
434,133757,4.75,1
435,133757,4.875,1
436,133757,5.0,1
437,133757,5.125,1
438,133757,5.25,1
439,133757,5.375,1
440,133757,5.5,1
441,133757,5.625,1
442,133757,5.75,1
443,133757,5.875,1
444,133757,6.0,1
445,133757,6.125,1
446,133757,6.25,1
447,133757,6.375,1
448,133757,6.5,1
449,133757,6.625,1
450,133757,6.75,1
451,133757,6.875,1
452,133757,7.0,1
453,133757,7.125,1
454,133757,7.25,1
455,133757,7.375,1
456,133757,7.5,1
457,133757,7.625,1
458,133757,7.75,1
459,133757,7.875,1
460,133757,8.0,1
461,133757,8.125,1
462,133757,8.25,1
463,133757,8.375,1
464,133757,8.5,1
465,134462,8.375,0
466,134462,8.25,0
467,134462,8.125,0
468,134462,8.0,0
469,134462,7.875,0
470,134462,7.75,0
471,134462,7.625,0
472,134462,7.5,0
473,134462,7.375,0
474,134462,7.25,0
475,134462,7.125,0
476,134462,7.0,0
477,134462,6.875,0
478,134462,6.75,0
479,134462,6.625,0
480,134462,6.5,0
481,134462,6.375,0
482,134462,6.25,0
483,134462,6.125,0
484,134462,6.0,0
485,134462,5.875,0
486,134462,5.75,0
487,134462,5.625,0
488,134462,5.5,0
489,134462,5.375,0
490,134462,5.25,0
491,134462,5.125,0
492,134462,5.0,0
493,134462,4.875,0
494,134462,4.75,0
495,134462,4.625,0
496,134462,4.5,0
497,134462,4.375,0
498,134462,4.25,0
499,134462,4.125,0
500,134462,4.0,0
501,134462,3.875,0
502,134462,3.75,0
503,134462,3.625,0
504,134462,3.5,0
505,134462,3.375,0
506,134462,3.25,0
507,134462,3.125,0
508,134462,3.0,0
509,134462,2.875,0
510,134462,2.75,0
511,134462,2.625,0
512,134462,2.5,0
513,134462,2.375,0
514,134462,2.25,0
515,134462,2.125,0
516,134462,2.0,0
517,134462,1.875,0
518,134462,1.75,0
519,134462,1.625,0
520,134462,1.5,0
521,134462,1.375,0
522,134462,1.25,0
523,134462,1.125,0
524,134462,1.0,0
525,134462,0.875,0
526,134462,0.75,0
527,134462,0.625,0
528,134462,0.5,0
529,134462,0.375,0
530,133757,0.5,1
531,133757,0.625,1
532,133757,0.75,1
533,133757,0.875,1
534,133757,1.0,1
535,133757,1.125,1
536,133757,1.25,1
537,133757,1.375,1
538,133757,1.5,1
539,133757,1.625,1
540,133757,1.75,1
541,133757,1.875,1
542,133757,2.0,1
543,133757,2.125,1
544,133757,2.25,1
545,133757,2.375,1
546,133757,2.5,1
547,133757,2.625,1
548,133757,2.75,1
549,133757,2.875,1
550,133757,3.0,1
551,133757,3.125,1
552,133757,3.25,1
553,133757,3.375,1
554,133757,3.5,1
555,133757,3.625,1
556,133757,3.75,1
557,133757,3.875,1
558,133757,4.0,1
559,133757,4.125,1
560,133757,4.25,1
561,133757,4.375,1
562,133757,4.5,1
563,133757,4.625,1
564,133757,4.75,1
565,133757,4.875,1
566,133757,5.0,1
567,133757,5.125,1
568,133757,5.25,1
569,133757,5.375,1
570,133757,5.5,1
571,133757,5.625,1
572,133757,5.75,1
573,133757,5.875,1
574,133757,6.0,1
575,133757,6.125,1
576,133757,6.25,1
577,133757,6.375,1
578,133757,6.5,1
579,133757,6.625,1
580,133757,6.75,1
581,133757,6.875,1
582,133757,7.0,1
583,133757,7.125,1
584,133757,7.25,1
585,133757,7.375,1
586,133757,7.5,1
