neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
4372500,4341483,2145,4339338,31017,270064,0,270064,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:44:27 CEST 2011,1227313,134613,134613.0,0.0,0
2491500,2470331,1155,2469176,21169,136138,0,136138,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:40:22 CEST 2011,982618,135655,135655.0,0.0,0
3570600,3543036,1681,3541355,27564,217343,0,217343,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:43:15 CEST 2011,1155128,132194,132194.0,0.0,0
3603600,3572032,1519,3570513,31568,235251,0,235251,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:43:38 CEST 2011,1177675,135640,135640.0,0.0,0
1894200,1875887,833,1875054,18313,103212,0,103212,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:36:57 CEST 2011,776970,138747,138747.0,0.0,0
3672900,3648553,1865,3646688,24347,220405,0,220405,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:43:32 CEST 2011,1172221,132493,132493.0,0.0,0
2273700,2248571,884,2247687,25129,105910,0,105910,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:39:26 CEST 2011,926206,137441,137441.0,0.0,0
4606800,4567525,2042,4565483,39275,313069,0,313069,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:44:40 CEST 2011,1239935,130264,130264.0,0.0,0
1933800,1914253,806,1913447,19547,94520,0,94520,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:37:45 CEST 2011,824839,133967,133967.0,0.0,0
3049200,3019603,1303,3018300,29597,171185,0,171185,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:42:17 CEST 2011,1096350,135633,135633.0,0.0,0
3725700,3698249,1851,3696398,27451,240429,0,240429,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:43:37 CEST 2011,1176345,134085,134085.0,0.0,0
4065600,4033257,1917,4031340,32343,240204,0,240204,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:44:05 CEST 2011,1204320,134448,134448.0,0.0,0
1735800,1715881,644,1715237,19919,90488,0,90488,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:16 CEST 2011,735905,137872,137872.0,0.0,0
1907400,1887585,740,1886845,19815,96394,0,96394,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:37:06 CEST 2011,785046,136141,136141.0,0.0,0
5296500,5257584,2392,5255192,38916,348998,0,348998,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:45:05 CEST 2011,1264403,133722,133722.0,0.0,0
1702800,1682471,607,1681864,20329,70250,0,70250,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:10 CEST 2011,729506,143286,143286.0,0.0,0
2385900,2364167,1071,2363096,21733,133453,0,133453,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:39:50 CEST 2011,949479,135624,135624.0,0.0,0
5296500,5249508,2296,5247212,46992,367059,0,367059,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:45:09 CEST 2011,1268477,132540,132540.0,0.0,0
1821600,1800772,700,1800072,20828,107885,0,107885,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:54 CEST 2011,773699,136283,136283.0,0.0,0
3045900,3021916,1386,3020530,23984,183798,0,183798,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:41:55 CEST 2011,1074719,131085,131085.0,0.0,0
1775400,1756337,663,1755674,19063,80038,0,80038,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:25 CEST 2011,744717,135393,135393.0,0.0,0
1732500,1713531,637,1712894,18969,77111,0,77111,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:07 CEST 2011,726519,141329,141329.0,0.0,0
1989900,1975348,1042,1974306,14552,121559,0,121559,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:37:41 CEST 2011,820848,135912,135912.0,0.0,0
5458200,5422072,2764,5419308,36128,397182,0,397182,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:45:09 CEST 2011,1268280,132573,132573.0,0.0,0
3148200,3123061,1511,3121550,25139,186615,0,186615,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:42:35 CEST 2011,1114167,133387,133387.0,0.0,0
1782000,1768292,954,1767338,13708,111226,0,111226,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:09 CEST 2011,728297,135684,135684.0,0.0,0
2900700,2878033,1354,2876679,22667,214857,0,214857,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:41:44 CEST 2011,1063793,136659,136659.0,0.0,0
3425400,3394174,1476,3392698,31226,174247,0,174247,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:43:11 CEST 2011,1150561,134438,134438.0,0.0,0
2389200,2366669,977,2365692,22531,135528,0,135528,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:39:52 CEST 2011,951586,133963,133963.0,0.0,0
2943600,2914466,1212,2913254,29134,175085,0,175085,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:42:07 CEST 2011,1086485,136553,136553.0,0.0,0
5550600,5511989,2690,5509299,38611,393281,0,393281,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:45:11 CEST 2011,1270720,133387,133387.0,0.0,0
1739100,1723765,860,1722905,15335,119908,0,119908,Sat Jun 25 15:24:01 CEST 2011,Sat Jun 25 15:36:12 CEST 2011,731278,137496,137496.0,0.0,0
2161500,2141717,926,2140791,19783,204617,0,204617,Sat Jun 25 15:24:00 CEST 2011,Sat Jun 25 15:38:54 CEST 2011,893293,131586,131586.0,0.0,0
