iteration,cost,penalty,softConstraintViolations
1,120376,0.125,102
2,122474,0.25,80
3,124439,0.375,59
4,131817,0.5,31
5,131839,0.625,24
6,130943,0.75,22
7,132385,0.875,17
8,130764,1.0,17
9,132455,1.125,14
10,135741,1.25,10
11,137432,1.375,7
12,140051,1.5,3
13,138917,1.625,2
14,137159,1.75,1
15,134718,1.875,1
16,135670,1.75,0
17,135059,1.625,0
18,134987,1.5,0
19,134755,1.375,0
20,134355,1.25,0
21,134355,1.125,0
22,134355,1.0,0
23,134355,0.875,0
24,134355,0.75,0
25,134355,0.625,0
26,134355,0.5,0
27,134355,0.375,0
28,134355,0.25,0
29,134355,0.125,0
30,131888,0.25,12
31,130701,0.375,9
32,132815,0.5,3
33,131711,0.625,4
34,131690,0.75,4
35,131690,0.875,4
36,131690,1.0,4
37,131690,1.125,4
38,131690,1.25,4
39,131690,1.375,4
40,131690,1.5,4
41,131690,1.625,4
42,131690,1.75,4
43,138220,1.875,1
44,137272,2.0,1
45,136604,2.125,1
46,138733,2.0,0
47,138173,1.875,0
48,138006,1.75,0
49,137864,1.625,0
50,137753,1.5,0
51,137753,1.375,0
52,137753,1.25,0
53,137753,1.125,0
54,137753,1.0,0
55,137753,0.875,0
56,137753,0.75,0
57,137753,0.625,0
58,137753,0.5,0
59,137753,0.375,0
60,137753,0.25,0
61,137753,0.125,0
62,137037,0.25,2
63,134931,0.375,3
64,133644,0.5,3
65,132913,0.625,3
66,132795,0.75,3
67,132351,0.875,3
68,133827,1.0,1
69,133478,1.125,1
70,133478,1.25,1
71,133478,1.375,1
72,133478,1.5,1
73,133478,1.625,1
74,133478,1.75,1
75,133478,1.875,1
76,133478,2.0,1
77,133478,2.125,1
78,133478,2.25,1
79,133478,2.375,1
80,133478,2.5,1
81,133478,2.625,1
82,133478,2.75,1
83,133478,2.875,1
84,133478,3.0,1
85,133478,3.125,1
86,133478,3.25,1
87,133478,3.375,1
88,133478,3.5,1
89,133478,3.625,1
90,133478,3.75,1
91,133478,3.875,1
92,133478,4.0,1
93,133478,4.125,1
94,133478,4.25,1
95,133478,4.375,1
96,133478,4.5,1
97,133478,4.625,1
98,133478,4.75,1
99,133478,4.875,1
100,133478,5.0,1
101,133478,5.125,1
102,133478,5.25,1
103,133478,5.375,1
104,133478,5.5,1
105,133478,5.625,1
106,133478,5.75,1
107,133478,5.875,1
108,133478,6.0,1
109,133478,6.125,1
110,133478,6.25,1
111,133478,6.375,1
112,133478,6.5,1
113,133478,6.625,1
114,133478,6.75,1
115,133478,6.875,1
116,133478,7.0,1
117,133478,7.125,1
118,133478,7.25,1
119,133478,7.375,1
120,133478,7.5,1
121,133478,7.625,1
122,133478,7.75,1
123,133478,7.875,1
124,133478,8.0,1
125,133478,8.125,1
126,133478,8.25,1
127,133478,8.375,1
128,133478,8.5,1
129,133478,8.625,1
130,133478,8.75,1
131,133478,8.875,1
132,133478,9.0,1
133,133478,9.125,1
134,136973,9.0,0
135,136869,8.875,0
136,136869,8.75,0
137,136869,8.625,0
138,136869,8.5,0
139,136869,8.375,0
140,136869,8.25,0
141,136869,8.125,0
142,136869,8.0,0
143,136869,7.875,0
144,136869,7.75,0
145,136869,7.625,0
146,136869,7.5,0
