neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1946868,1924482,710,1923772,22386,90867,0,90867,Sat Jun 25 11:48:15 CEST 2011,Sat Jun 25 12:00:44 CEST 2011,748874,138401,138401.0,0.0,0
1691382,1672267,631,1671636,19115,93355,0,93355,Sat Jun 25 11:48:15 CEST 2011,Sat Jun 25 11:59:27 CEST 2011,672052,139079,139079.0,0.0,0
1704318,1687210,685,1686525,17108,74153,0,74153,Sat Jun 25 11:48:15 CEST 2011,Sat Jun 25 11:59:39 CEST 2011,683386,137674,137674.0,0.0,0
3356892,3323571,1412,3322159,33321,212675,0,212675,Sat Jun 25 11:48:15 CEST 2011,Sat Jun 25 12:03:10 CEST 2011,894578,133367,133367.0,0.0,0
2072994,2054763,912,2053851,18231,110719,0,110719,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:01:14 CEST 2011,777717,133920,133920.0,0.0,0
2878260,2850760,1283,2849477,27500,176377,0,176377,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:02:43 CEST 2011,866379,129860,129860.0,0.0,0
1704318,1690528,828,1689700,13790,124434,0,124434,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:14 CEST 2011,657313,135290,135290.0,0.0,0
1772232,1751975,702,1751273,20257,92371,0,92371,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:52 CEST 2011,696072,134315,134315.0,0.0,0
4705470,4668983,2316,4666667,36487,282470,0,282470,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:03:53 CEST 2011,936865,132389,132389.0,0.0,0
1681680,1663539,640,1662899,18141,77188,0,77188,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:25 CEST 2011,669166,139951,139951.0,0.0,0
2571030,2551641,1242,2550399,19389,143439,0,143439,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:02:12 CEST 2011,835370,134500,134500.0,0.0,0
1704318,1690528,828,1689700,13790,124434,0,124434,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:11 CEST 2011,654971,135290,135290.0,0.0,0
4055436,4029694,2125,4027569,25742,284424,0,284424,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:03:36 CEST 2011,920228,132996,132996.0,0.0,0
1885422,1865052,834,1864218,20370,78287,0,78287,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:00:26 CEST 2011,730103,133387,133387.0,0.0,0
1869252,1850061,734,1849327,19191,93412,0,93412,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:00:28 CEST 2011,731470,139324,139324.0,0.0,0
1678446,1659476,644,1658832,18970,88032,0,88032,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:21 CEST 2011,664870,134355,134355.0,0.0,0
1733424,1714310,677,1713633,19114,90523,0,90523,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:50 CEST 2011,693944,135709,135709.0,0.0,0
5054742,5007557,2176,5005381,47185,277260,0,277260,Sat Jun 25 11:48:17 CEST 2011,Sat Jun 25 12:04:00 CEST 2011,942595,136160,136160.0,0.0,0
1678446,1659770,668,1659102,18676,76234,0,76234,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 11:59:14 CEST 2011,657668,138878,138878.0,0.0,0
1898358,1879827,826,1879001,18531,93295,0,93295,Sat Jun 25 11:48:17 CEST 2011,Sat Jun 25 12:00:31 CEST 2011,734261,135316,135316.0,0.0,0
2383458,2366921,1430,2365491,16537,199542,0,199542,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:01:59 CEST 2011,823513,134045,134045.0,0.0,0
2354352,2330348,975,2329373,24004,105803,0,105803,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:01:59 CEST 2011,823099,138387,138387.0,0.0,0
1924230,1905898,797,1905101,18332,95363,0,95363,Sat Jun 25 11:48:16 CEST 2011,Sat Jun 25 12:00:42 CEST 2011,746117,130719,130719.0,0.0,0
