iteration,cost,penalty,softConstraintViolations
1,125141,0.125,102
2,123919,0.25,93
3,122984,0.375,90
4,129949,0.5,61
5,142876,0.625,25
6,148525,0.75,10
7,146285,0.875,7
8,145949,1.0,4
9,144549,1.125,3
10,144523,1.25,2
11,141694,1.375,3
12,142286,1.5,1
13,142425,1.375,0
14,142037,1.25,0
15,141674,1.125,0
16,141379,1.0,0
17,140940,0.875,0
18,140735,0.75,0
19,140670,0.625,0
20,140402,0.5,0
21,139383,0.375,0
22,134436,0.5,8
23,135457,0.625,5
24,135457,0.75,5
25,135457,0.875,5
26,135457,1.0,5
27,135457,1.125,5
28,135457,1.25,5
29,135457,1.375,5
30,135457,1.5,5
31,135457,1.625,5
32,143775,1.5,0
33,139779,1.375,0
34,139779,1.25,0
35,139779,1.125,0
36,139779,1.0,0
37,139779,0.875,0
38,139779,0.75,0
39,139779,0.625,0
40,139779,0.5,0
41,139779,0.375,0
42,139779,0.25,0
43,139779,0.125,0
44,139779,0.0,0
45,137525,0.125,34
46,133621,0.25,35
47,135115,0.375,22
48,134384,0.5,20
49,137955,0.625,11
50,140595,0.75,4
51,141421,0.875,2
52,139949,1.0,2
53,141118,0.875,0
54,140378,0.75,0
55,140271,0.625,0
56,140127,0.5,0
57,140083,0.375,0
58,140083,0.25,0
59,136175,0.375,10
60,135911,0.5,10
61,139806,0.625,1
62,140140,0.5,0
63,140140,0.375,0
64,140140,0.25,0
65,140140,0.125,0
66,137033,0.25,14
67,135047,0.375,14
68,134605,0.5,11
69,140036,0.625,2
70,140202,0.75,1
71,140677,0.625,0
72,140620,0.5,0
73,140620,0.375,0
74,140620,0.25,0
75,140620,0.125,0
76,140620,0.0,0
77,138723,0.125,24
78,134639,0.25,18
79,133102,0.375,19
80,135172,0.5,11
81,133702,0.625,12
82,133531,0.75,11
83,133493,0.875,10
84,136533,1.0,6
85,136945,1.125,5
86,137762,1.25,4
87,138787,1.375,3
88,140491,1.5,2
89,140085,1.625,2
90,140865,1.75,1
91,140865,1.875,1
92,140865,2.0,1
93,140865,2.125,1
94,140865,2.25,1
95,140865,2.375,1
96,140865,2.5,1
97,140865,2.625,1
98,140865,2.75,1
99,140865,2.875,1
100,140865,3.0,1
101,140865,3.125,1
102,140865,3.25,1
103,140865,3.375,1
104,140865,3.5,1
105,140865,3.625,1
106,140865,3.75,1
107,140745,3.875,1
108,140296,4.0,1
109,139960,4.125,1
110,139238,4.25,1
111,139075,4.375,1
112,144933,4.25,0
113,143229,4.125,0
114,142697,4.0,0
115,142319,3.875,0
116,142071,3.75,0
117,141910,3.625,0
118,141855,3.5,0
119,141855,3.375,0
120,141855,3.25,0
121,141855,3.125,0
122,141855,3.0,0
123,141855,2.875,0
124,141855,2.75,0
125,141855,2.625,0
126,141855,2.5,0
127,141855,2.375,0
128,141855,2.25,0
129,141855,2.125,0
130,141855,2.0,0
131,141855,1.875,0
132,141855,1.75,0
133,141855,1.625,0
134,141855,1.5,0
135,141855,1.375,0
136,141855,1.25,0
137,141855,1.125,0
138,141855,1.0,0
139,141855,0.875,0
140,141855,0.75,0
141,141855,0.625,0
142,141855,0.5,0
143,141855,0.375,0
144,141855,0.25,0
145,141855,0.125,0
146,141855,0.0,0
147,141148,0.125,14
148,138840,0.25,4
149,137518,0.375,5
150,136546,0.5,5
151,135857,0.625,5
152,135258,0.75,5
153,134896,0.875,5
154,135622,1.0,4
155,135622,1.125,4
156,135622,1.25,4
157,135622,1.375,4
158,135622,1.5,4
159,135622,1.625,4
160,135622,1.75,4
161,135622,1.875,4
162,135622,2.0,4
163,137196,2.125,1
164,138518,2.0,0
165,137778,1.875,0
166,137778,1.75,0
167,137778,1.625,0
168,137778,1.5,0
169,137778,1.375,0
170,137778,1.25,0
171,137778,1.125,0
172,137778,1.0,0
173,137778,0.875,0
174,137778,0.75,0
175,137778,0.625,0
176,137778,0.5,0
177,137778,0.375,0
178,137778,0.25,0
179,137778,0.125,0
180,137778,0.0,0
181,134649,0.125,16
182,129298,0.25,29
183,127976,0.375,30
184,133129,0.5,15
185,134611,0.625,10
186,134000,0.75,10
187,135452,0.875,7
188,134696,1.0,7
189,134853,1.125,6
190,136483,1.25,4
191,137346,1.375,3
192,139124,1.5,2
193,140157,1.625,1
194,139172,1.75,1
195,138979,1.875,1
196,136806,2.0,1
197,135918,2.125,1
