neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
516384,512559,1566,510993,3825,129574,0,129574,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:44 CEST 2011,123451,131875,131875.0,0.0,0
277728,275726,883,274843,2002,68917,0,68917,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:06 CEST 2011,84982,135128,135128.0,0.0,0
308880,305787,728,305059,3093,65748,0,65748,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:17 CEST 2011,96037,139319,139319.0,0.0,0
335808,333136,929,332207,2672,73461,0,73461,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:24 CEST 2011,102633,134729,134729.0,0.0,0
459888,456044,1270,454774,3844,111139,0,111139,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:40 CEST 2011,119388,136611,136611.0,0.0,0
322080,318777,759,318018,3303,67018,0,67018,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:19 CEST 2011,98176,140294,140294.0,0.0,0
350592,348009,1060,346949,2583,84555,0,84555,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:23 CEST 2011,102198,135308,135308.0,0.0,0
419232,415474,1121,414353,3758,95141,0,95141,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:38 CEST 2011,116862,134862,134862.0,0.0,0
694848,688936,1851,687085,5912,156676,0,156676,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:53 CEST 2011,131365,135002,135002.0,0.0,0
307824,304886,835,304051,2938,63948,0,63948,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:15 CEST 2011,93564,133387,133387.0,0.0,0
285120,282177,673,281504,2943,67163,0,67163,Sat Jun 25 12:35:42 CEST 2011,Sat Jun 25 12:37:15 CEST 2011,93438,134102,134102.0,0.0,0
444576,440835,1195,439640,3741,103679,0,103679,Sat Jun 25 12:35:42 CEST 2011,Sat Jun 25 12:37:40 CEST 2011,118492,134274,134274.0,0.0,0
529056,525205,1594,523611,3851,125200,0,125200,Sat Jun 25 12:35:42 CEST 2011,Sat Jun 25 12:37:47 CEST 2011,124927,131457,131457.0,0.0,0
558096,553366,1513,551853,4730,134620,0,134620,Sat Jun 25 12:35:42 CEST 2011,Sat Jun 25 12:37:49 CEST 2011,127083,131026,131026.0,0.0,0
365376,361943,975,360968,3433,83463,0,83463,Sat Jun 25 12:35:42 CEST 2011,Sat Jun 25 12:37:30 CEST 2011,108212,136073,136073.0,0.0,0
