neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
39468,38205,2772,35433,1263,7354,0,7354,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,22599,140573,140573.0,0.0,0
48510,46548,3723,42825,1962,3265,0,3265,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:51 CEST 2011,24319,138181,138181.0,0.0,0
35772,34692,2718,31974,1080,7431,0,7431,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:44 CEST 2011,17723,147681,147681.0,0.0,0
36828,35668,3330,32338,1160,8341,0,8341,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:47 CEST 2011,20728,144597,144597.0,0.0,0
37752,36411,2505,33906,1341,7715,0,7715,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:47 CEST 2011,20621,140214,140214.0,0.0,0
40722,39547,2858,36689,1175,7795,0,7795,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:46 CEST 2011,19671,137219,137219.0,0.0,0
46860,44873,2806,42067,1987,10208,0,10208,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,22319,142730,142730.0,0.0,0
51744,49665,4835,44830,2079,11381,0,11381,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:52 CEST 2011,25171,144100,144100.0,0.0,0
64416,62305,5182,57123,2111,13930,0,13930,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,26451,140819,140819.0,0.0,0
39798,38545,3083,35462,1253,8235,0,8235,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,22372,141381,141381.0,0.0,0
40326,38949,3272,35677,1377,8173,0,8173,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,22470,141768,141768.0,0.0,0
72402,69622,3924,65698,2780,15321,0,15321,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,26741,139339,139339.0,0.0,0
62766,60819,4299,56520,1947,9652,0,9652,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,25898,140842,140842.0,0.0,0
43032,41740,3196,38544,1292,8391,0,8391,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,21961,137208,137208.0,0.0,0
36300,35087,2647,32440,1213,6123,0,6123,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:46 CEST 2011,19463,142771,142771.0,0.0,0
102828,99438,8766,90672,3390,20380,0,20380,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:54 CEST 2011,26688,142991,142991.0,0.0,0
48510,46548,3723,42825,1962,3265,0,3265,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:51 CEST 2011,24162,138181,138181.0,0.0,0
56958,54338,4821,49517,2620,12090,0,12090,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:51 CEST 2011,23426,140204,140204.0,0.0,0
56100,54147,3881,50266,1953,11780,0,11780,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:52 CEST 2011,25175,140495,140495.0,0.0,0
64614,62460,4941,57519,2154,13828,0,13828,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,26056,135159,135159.0,0.0,0
45144,43760,3254,40506,1384,8932,0,8932,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,22511,140599,140599.0,0.0,0
41844,40418,3288,37130,1426,8618,0,8618,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,22496,138864,138864.0,0.0,0
51876,50101,4761,45340,1775,11426,0,11426,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:51 CEST 2011,23551,134944,134944.0,0.0,0
38016,36878,3233,33645,1138,7488,0,7488,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,22648,143334,143334.0,0.0,0
41976,40543,3508,37035,1433,6802,0,6802,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,22633,134038,134038.0,0.0,0
48510,46548,3723,42825,1962,3265,0,3265,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:51 CEST 2011,23884,138181,138181.0,0.0,0
46068,44683,4353,40330,1385,9821,0,9821,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,21973,137614,137614.0,0.0,0
58806,56828,5551,51277,1978,11943,0,11943,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,26040,134709,134709.0,0.0,0
47520,46293,4442,41851,1227,9359,0,9359,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,22566,135615,135615.0,0.0,0
37422,35966,2469,33497,1456,5531,0,5531,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:48 CEST 2011,20904,130639,130639.0,0.0,0
48840,47212,4027,43185,1628,9291,0,9291,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,23316,138212,138212.0,0.0,0
45540,44237,4222,40015,1303,9638,0,9638,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:49 CEST 2011,21850,134371,134371.0,0.0,0
52668,50541,3471,47070,2127,10847,0,10847,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,25790,138717,138717.0,0.0,0
48840,46976,4254,42722,1864,10559,0,10559,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:50 CEST 2011,23439,137419,137419.0,0.0,0
53856,52280,4781,47499,1576,9431,0,9431,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:52 CEST 2011,25065,129657,129657.0,0.0,0
70092,67918,5768,62150,2174,14102,0,14102,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:53 CEST 2011,26306,142579,142579.0,0.0,0
37224,36009,3355,32654,1215,7229,0,7229,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:47 CEST 2011,20005,144944,144944.0,0.0,0
47190,45488,3261,42227,1702,5278,0,5278,Sat Jun 25 15:16:27 CEST 2011,Sat Jun 25 15:16:52 CEST 2011,24686,140169,140169.0,0.0,0
