iteration,cost,penalty,softConstraintViolations
1,119293,0.125,102
2,120247,0.25,81
3,122819,0.375,59
4,131325,0.5,31
5,133609,0.625,23
6,134635,0.75,19
7,138244,0.875,13
8,142147,1.0,7
9,142914,1.125,4
10,142676,1.25,3
11,145323,1.375,1
12,142669,1.5,1
13,144318,1.375,0
14,143885,1.25,0
15,143519,1.125,0
16,142663,1.0,0
17,141736,0.875,0
18,140600,0.75,0
19,138951,0.875,1
20,138703,1.0,1
21,138494,1.125,1
22,138335,1.25,1
23,138236,1.375,1
24,139885,1.25,0
25,139929,1.125,0
26,138280,1.25,1
27,138379,1.375,1
28,140028,1.25,0
29,139984,1.125,0
30,140068,1.0,0
31,139969,0.875,0
32,138608,1.0,1
33,138524,1.125,1
34,136875,1.25,2
35,136919,1.375,2
36,138568,1.5,1
37,138652,1.625,1
38,140013,1.5,0
39,140112,1.375,0
40,140217,1.25,0
41,140010,1.125,0
42,139911,1.0,0
43,139827,0.875,0
44,138178,1.0,1
45,136817,1.125,2
46,136916,1.25,2
47,138277,1.375,1
48,139926,1.25,0
49,140085,1.125,0
50,139986,1.0,0
51,138337,1.125,1
52,138436,1.25,1
53,138623,1.375,1
54,140272,1.25,0
55,140113,1.125,0
56,140014,1.0,0
57,138365,1.125,1
58,138464,1.25,1
59,138671,1.375,1
60,140320,1.25,0
61,140133,1.125,0
62,140034,1.0,0
63,138385,1.125,1
64,138341,1.25,1
65,139990,1.125,0
66,140074,1.0,0
67,138713,1.125,1
68,138629,1.25,1
69,136980,1.375,2
70,137024,1.5,2
71,138673,1.625,1
72,138466,1.75,1
73,140726,1.625,0
74,140704,1.5,0
75,138565,1.625,1
76,138649,1.75,1
77,140788,1.625,0
78,140810,1.5,0
79,138550,1.625,1
80,138709,1.75,1
81,140070,1.625,0
82,140169,1.5,0
83,140356,1.375,0
84,140197,1.25,0
85,140098,1.125,0
86,140257,1.0,0
87,140173,0.875,0
88,138524,1.0,1
89,137163,1.125,2
90,136976,1.25,2
91,138625,1.375,1
92,138724,1.5,1
93,140863,1.375,0
94,140885,1.25,0
95,140913,1.125,0
96,139264,1.25,1
97,139236,1.375,1
98,139077,1.5,1
99,136817,1.625,2
100,138178,1.75,1
101,139827,1.625,0
102,139911,1.5,0
103,140010,1.375,0
104,139926,1.25,0
105,138277,1.375,1
106,138436,1.5,1
107,140085,1.375,0
108,139986,1.25,0
109,138337,1.375,1
110,138544,1.5,1
111,140193,1.375,0
112,140088,1.25,0
113,139929,1.125,0
114,138280,1.25,1
115,138236,1.375,1
116,139885,1.25,0
117,139969,1.125,0
118,140013,1.0,0
119,138652,1.125,1
120,138568,1.25,1
121,138524,1.375,1
122,138608,1.5,1
123,138707,1.625,1
124,140068,1.5,0
125,139984,1.375,0
126,140028,1.25,0
127,138379,1.375,1
128,138335,1.5,1
129,138440,1.625,1
130,140089,1.5,0
131,139990,1.375,0
132,140034,1.25,0
133,138385,1.375,1
134,138341,1.5,1
135,138500,1.625,1
136,140149,1.5,0
137,140044,1.375,0
138,140128,1.25,0
139,140172,1.125,0
140,140271,1.0,0
141,140112,0.875,0
142,138751,1.0,1
143,138667,1.125,1
144,137018,1.25,2
145,136919,1.375,2
146,136875,1.5,2
147,136974,1.625,2
148,138623,1.75,1
149,140762,1.625,0
150,140693,1.5,0
151,140687,1.375,0
152,140709,1.25,0
153,140715,1.125,0
154,139022,1.25,1
155,140383,1.125,0
156,138734,1.25,1
157,138833,1.375,1
158,140482,1.25,0
159,140566,1.125,0
160,140467,1.0,0
161,139106,1.125,1
162,139205,1.25,1
163,140777,1.125,0
164,140771,1.0,0
165,140793,0.875,0
166,140799,0.75,0
167,140868,0.625,0
168,140784,0.5,0
169,139135,0.625,1
170,139066,0.75,1
171,137373,0.875,2
172,137472,1.0,2
173,137577,1.125,2
174,137079,1.25,2
175,136980,1.375,2
176,138629,1.5,1
177,138524,1.625,1
178,139885,1.5,0
179,139929,1.375,0
180,140013,1.25,0
181,139969,1.125,0
182,140068,1.0,0
183,139984,0.875,0
184,138335,1.0,1
185,138236,1.125,1
186,138280,1.25,1
187,138379,1.375,1
188,140028,1.25,0
189,140133,1.125,0
190,139926,1.0,0
191,138277,1.125,1
192,138178,1.25,1
193,139827,1.125,0
194,139911,1.0,0
195,138550,1.125,1
196,138466,1.25,1
197,136817,1.375,2
198,136916,1.5,2
199,138565,1.625,1
200,140704,1.5,0
201,140726,1.375,0
202,140810,1.25,0
203,140788,1.125,0
204,138649,1.25,1
205,140010,1.125,0
206,140169,1.0,0
207,140070,0.875,0
208,138709,1.0,1
209,138625,1.125,1
210,139986,1.0,0
211,138337,1.125,1
212,138436,1.25,1
213,140085,1.125,0
214,140272,1.0,0
215,138623,1.125,1
216,138464,1.25,1
217,138365,1.375,1
218,140014,1.25,0
219,140098,1.125,0
220,140197,1.0,0
221,140113,0.875,0
222,138752,1.0,1
223,137103,1.125,2
224,137004,1.25,2
225,138653,1.375,1
226,138737,1.5,1
227,138836,1.625,1
228,140975,1.5,0
229,140891,1.375,0
230,140913,1.25,0
231,140997,1.125,0
232,141156,1.0,0
233,138896,1.125,1
234,140257,1.0,0
235,140173,0.875,0
236,138524,1.0,1
237,137163,1.125,2
238,136976,1.25,2
239,137075,1.375,2
240,138724,1.5,1
241,140863,1.375,0
242,140885,1.25,0
243,140913,1.125,0
244,139264,1.25,1
245,139236,1.375,1
246,139077,1.5,1
247,139055,1.625,1
248,141371,1.5,0
249,140601,1.375,0
250,138462,1.5,1
251,139823,1.375,0
252,139764,1.25,0
253,139923,1.125,0
254,139982,1.0,0
255,138389,1.125,1
256,138663,1.0,0
257,137943,0.875,0
258,137743,0.75,0
259,136372,0.875,1
260,137028,0.75,0
261,135667,0.875,1
262,134937,1.0,1
263,134778,1.125,1
264,135994,1.0,0
265,135994,0.875,0
266,134778,1.0,1
267,134430,1.125,1
268,134630,1.25,1
269,134792,1.375,1
270,134708,1.5,1
271,135056,1.625,1
272,134778,1.75,1
273,134937,1.875,1
274,137400,1.75,0
275,137049,1.625,0
276,136828,1.5,0
277,134365,1.625,1
278,134136,1.75,1
279,136128,1.625,0
280,135477,1.5,0
281,135505,1.375,0
282,134681,1.25,0
283,134527,1.125,0
284,134643,1.0,0
285,134643,0.875,0
286,134756,0.75,0
287,134910,0.625,0
288,134797,0.5,0
289,134797,0.375,0
290,132674,0.5,4
291,133390,0.625,2
292,133975,0.75,1
293,133821,0.875,1
294,133705,1.0,1
295,133796,1.125,1
296,133796,1.25,1
297,133796,1.375,1
298,133821,1.5,1
299,135686,1.375,0
300,135232,1.25,0
301,135232,1.125,0
302,135116,1.0,0
303,135270,0.875,0
304,135386,0.75,0
305,135386,0.625,0
306,133390,0.75,2
307,133975,0.875,1
308,133950,1.0,1
309,133950,1.125,1
310,133950,1.25,1
311,133859,1.375,1
312,135724,1.25,0
313,135332,1.125,0
314,135178,1.0,0
315,135294,0.875,0
316,135294,0.75,0
317,133302,0.875,2
318,133277,1.0,2
319,135803,0.875,0
320,135152,0.75,0
321,135152,0.625,0
322,135152,0.5,0
323,133692,0.625,2
324,133277,0.75,2
325,133186,0.875,2
326,133302,1.0,2
327,133277,1.125,2
328,135803,1.0,0
329,135803,0.875,0
330,135943,0.75,0
331,135318,0.625,0
332,135429,0.5,0
333,133306,0.625,3
334,133986,0.75,2
335,133120,0.875,2
336,133220,1.0,2
337,133805,1.125,1
338,133896,1.25,1
339,133896,1.375,1
340,133896,1.5,1
341,133921,1.625,1
342,133921,1.75,1
343,134075,1.875,1
344,133959,2.0,1
345,134050,2.125,1
346,134050,2.25,1
347,134050,2.375,1
348,134075,2.5,1
349,137351,2.375,0
350,136845,2.25,0
351,136691,2.125,0
352,136660,2.0,0
353,135947,1.875,0
354,135547,1.75,0
355,135431,1.625,0
356,135318,1.5,0
357,134925,1.375,0
358,134803,1.25,0
359,134777,1.125,0
360,134899,1.0,0
361,135046,0.875,0
362,134924,0.75,0
363,134950,0.625,0
364,134950,0.5,0
365,134803,0.375,0
366,134922,0.25,0
367,133896,0.375,3
368,133777,0.5,3
369,133777,0.625,3
370,133751,0.75,3
371,133873,0.875,3
372,136093,1.0,1
373,135405,0.875,0
374,135283,0.75,0
375,135309,0.625,0
376,135309,0.5,0
377,135428,0.375,0
378,135425,0.25,0
379,134919,0.125,0
380,133893,0.25,3
381,133503,0.375,4
382,134529,0.5,1
383,134529,0.625,1
384,134966,0.5,0
385,134940,0.375,0
386,134297,0.5,1
387,134323,0.625,1
388,134276,0.75,1
389,134398,0.875,1
390,135041,0.75,0
391,135044,0.625,0
392,134925,0.5,0
393,135072,0.375,0
394,135072,0.25,0
395,134046,0.375,3
396,133899,0.5,3
397,133899,0.625,3
398,134018,0.75,3
399,134015,0.875,3
400,136235,1.0,1
401,135547,0.875,0
402,135550,0.75,0
403,135431,0.625,0
404,135431,0.5,0
405,135578,0.375,0
406,135456,0.25,0
407,134550,0.375,2
408,133596,0.5,1
409,133384,0.625,1
410,133177,0.75,1
411,133168,0.875,1
412,133287,1.0,1
413,133296,1.125,1
414,134490,1.0,0
415,134257,0.875,0
416,134257,0.75,0
417,134464,0.625,0
418,133954,0.5,0
419,133899,0.375,0
420,131615,0.5,4
421,131670,0.625,4
422,131903,0.75,4
423,134187,0.625,0
424,134132,0.5,0
425,131848,0.625,4
426,133889,0.75,2
427,133656,0.875,2
428,135940,0.75,0
429,134904,0.875,1
430,134577,0.75,0
431,134604,0.625,0
432,134659,0.5,0
433,134580,0.375,0
434,134306,0.5,1
435,134385,0.625,1
436,134330,0.75,1
437,135294,0.625,0
438,135267,0.5,0
439,134589,0.375,0
440,133625,0.5,1
441,133680,0.625,1
442,134644,0.5,0
443,134877,0.375,0
444,133913,0.5,1
445,133858,0.625,1
446,134822,0.5,0
447,134809,0.375,0
448,132525,0.5,4
449,132292,0.625,4
450,134576,0.5,0
451,134369,0.375,0
452,132085,0.5,4
453,132318,0.625,4
454,134602,0.5,0
455,134876,0.375,0
456,133912,0.5,1
457,133679,0.625,1
458,134643,0.5,0
459,134850,0.375,0
460,133886,0.5,1
461,134043,0.625,1
462,134364,0.5,0
463,134390,0.375,0
464,132106,0.5,4
465,132080,0.625,4
466,134121,0.75,2
467,134147,0.875,2
468,135137,1.0,1
469,136412,0.875,0
470,136409,0.75,0
471,136032,0.625,0
472,134757,0.75,1
473,134792,0.875,1
474,136067,0.75,0
475,136317,0.625,0
476,133689,0.75,2
477,131467,0.875,4
478,131569,1.0,3
479,132604,1.125,2
480,132718,1.25,2
481,132812,1.375,1
482,133086,1.5,1
483,132934,1.625,1
484,132843,1.75,1
485,135065,1.625,0
486,135032,1.5,0
487,132810,1.625,1
488,132887,1.75,1
489,132350,1.875,1
490,134572,1.75,0
491,134605,1.625,0
492,132383,1.75,1
493,132474,1.875,1
494,134696,1.75,0
495,134850,1.625,0
496,132628,1.75,1
497,135131,1.625,0
498,134853,1.5,0
499,134886,1.375,0
500,134977,1.25,0
501,134866,1.125,0
502,134354,1.0,0
503,134552,0.875,0
504,134826,0.75,0
505,134628,0.625,0
506,134947,0.5,0
507,134673,0.375,0
508,132422,0.5,3
509,132959,0.625,2
510,132882,0.75,2
511,134011,0.875,1
512,133386,1.0,1
513,130935,1.125,3
514,130873,1.25,3
515,132621,1.375,2
516,132510,1.5,2
517,134458,1.625,1
518,134150,1.75,1
519,134833,1.625,0
520,134167,1.5,0
521,133855,1.375,0
522,133562,1.25,0
523,133534,1.125,0
524,133396,1.0,0
525,133174,0.875,0
526,133265,0.75,0
527,132769,0.625,0
528,132921,0.5,0
529,132848,0.375,0
530,132311,0.5,1
531,132641,0.375,0
532,132654,0.25,0
533,131382,0.375,3
534,131232,0.5,3
535,132504,0.375,0
536,132550,0.25,0
537,131278,0.375,3
538,132596,0.25,0
539,132292,0.125,0
540,131496,0.25,2
541,131647,0.375,2
542,132443,0.25,0
543,132430,0.125,0
544,130752,0.25,4
545,130309,0.375,4
546,129379,0.5,5
547,128953,0.625,5
548,128862,0.75,5
549,128566,0.875,5
550,129146,1.0,4
551,132223,1.125,1
552,132621,1.0,0
553,131808,0.875,0
554,132030,0.75,0
555,132293,0.625,0
556,132071,0.5,0
557,132071,0.375,0
558,131301,0.5,1
559,130049,0.625,2
560,129973,0.75,2
561,130735,0.875,1
562,131578,0.75,0
563,131654,0.625,0
564,130811,0.75,1
565,131033,0.875,1
566,131876,0.75,0
567,131800,0.625,0
568,130957,0.75,1
569,130195,0.875,2
570,131038,1.0,1
571,130816,1.125,1
572,131940,1.0,0
573,131309,0.875,0
574,131309,0.75,0
575,131309,0.625,0
576,131309,0.5,0
577,130671,0.625,1
578,130671,0.75,1
579,130708,0.875,1
580,129569,1.0,2
581,131561,0.875,0
582,130371,1.0,1
583,130447,1.125,1
584,131637,1.0,0
585,131823,0.875,0
586,131747,0.75,0
587,130557,0.875,1
588,130409,1.0,1
589,130485,1.125,1
590,130633,1.25,1
591,130630,1.375,1
592,131820,1.25,0
593,131908,1.125,0
594,132130,1.0,0
595,131859,0.875,0
596,131783,0.75,0
597,130593,0.875,1
598,130669,1.0,1
599,130920,1.125,1
600,130585,1.25,1
601,130115,1.375,1
602,129893,1.5,1
603,129720,1.625,1
604,130877,1.5,0
605,130992,1.375,0
606,131200,1.25,0
607,131085,1.125,0
608,131307,1.0,0
609,131099,0.875,0
610,129942,1.0,1
611,130057,1.125,1
612,131214,1.0,0
613,131422,0.875,0
614,130265,1.0,1
615,130043,1.125,1
616,129835,1.25,1
617,130008,1.375,1
618,130214,1.5,1
619,130099,1.625,1
620,132148,1.5,0
621,131942,1.375,0
622,131769,1.25,0
623,131884,1.125,0
624,132057,1.0,0
625,132263,0.875,0
626,132214,0.75,0
627,130165,0.875,1
628,130050,1.0,1
629,130071,1.125,1
630,131228,1.0,0
631,131277,0.875,0
632,130120,1.0,1
633,130235,1.125,1
634,131392,1.0,0
635,131343,0.875,0
636,130186,1.0,1
637,130394,1.125,1
638,131551,1.0,0
639,131436,0.875,0
640,130279,1.0,1
641,130258,1.125,1
642,130255,1.25,1
643,130276,1.375,1
644,131433,1.25,0
645,131482,1.125,0
646,131485,1.0,0
647,131600,0.875,0
648,130443,1.0,1
649,130328,1.125,1
650,129928,1.25,1
651,130101,1.375,1
652,130098,1.5,1
653,130164,1.625,1
654,129893,1.75,1
655,129720,1.875,1
656,130877,1.75,0
657,130992,1.625,0
658,131200,1.5,0
659,131085,1.375,0
660,131307,1.25,0
661,131099,1.125,0
662,129942,1.25,1
663,130057,1.375,1
664,131214,1.25,0
665,131422,1.125,0
666,130265,1.25,1
667,130043,1.375,1
668,129835,1.5,1
669,130008,1.625,1
670,132210,1.5,0
671,132037,1.375,0
