neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
155331,153656,2348,151308,1675,13747,0,13747,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:39:55 CEST 2011,88128,141262,141262.0,0.0,0
228393,226832,4049,222783,1561,22621,0,22621,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:20 CEST 2011,112965,137044,137044.0,0.0,0
169587,168405,2759,165646,1182,13724,0,13724,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:39:59 CEST 2011,91350,135908,135908.0,0.0,0
176418,175150,2713,172437,1268,15732,0,15732,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:10 CEST 2011,102622,136731,136731.0,0.0,0
267894,265911,3646,262265,1983,30438,0,30438,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:26 CEST 2011,118662,130590,130590.0,0.0,0
253044,251121,4825,246296,1923,23167,0,23167,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:29 CEST 2011,121364,132977,132977.0,0.0,0
257796,255759,4294,251465,2037,23120,0,23120,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:21 CEST 2011,113632,133997,133997.0,0.0,0
291951,289636,3739,285897,2315,27420,0,27420,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:26 CEST 2011,118289,130061,130061.0,0.0,0
184734,183550,2983,180567,1184,16703,0,16703,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:10 CEST 2011,102566,132821,132821.0,0.0,0
217701,216243,4067,212176,1458,21180,0,21180,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:15 CEST 2011,107944,129030,129030.0,0.0,0
263439,261113,5142,255971,2326,24631,0,24631,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:24 CEST 2011,116425,134271,134271.0,0.0,0
195723,193896,3960,189936,1827,19097,0,19097,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:04 CEST 2011,96303,135476,135476.0,0.0,0
240273,238442,4213,234229,1831,20557,0,20557,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:22 CEST 2011,115016,138313,138313.0,0.0,0
434214,430728,7255,423473,3486,42400,0,42400,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:32 CEST 2011,124250,133978,133978.0,0.0,0
180279,179017,2449,176568,1262,17091,0,17091,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:39:53 CEST 2011,85410,134053,134053.0,0.0,0
