neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1912680,1909328,3266,1906062,3352,148818,0,148818,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:51:39 CEST 2011,826364,134729,134729.0,0.0,0
1552320,1549576,2803,1546773,2744,87672,0,87672,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:49:25 CEST 2011,691957,135358,135358.0,0.0,0
1549548,1545418,2033,1543385,4130,102500,0,102500,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:49:09 CEST 2011,676241,136774,136774.0,0.0,0
1649340,1646462,2583,1643879,2878,107722,0,107722,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:50:39 CEST 2011,765678,136072,136072.0,0.0,0
1738044,1732344,2496,1729848,5700,127160,0,127160,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:51:08 CEST 2011,795141,133383,133383.0,0.0,0
2442132,2436998,4040,2432958,5134,144672,0,144672,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:52:42 CEST 2011,888790,130739,130739.0,0.0,0
2237004,2230422,3311,2227111,6582,123336,0,123336,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:52:04 CEST 2011,850921,136582,136582.0,0.0,0
1544004,1541434,1871,1539563,2570,98092,0,98092,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:50:38 CEST 2011,764546,133177,133177.0,0.0,0
1823976,1819324,3424,1815900,4652,87210,0,87210,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:50:55 CEST 2011,781452,133909,133909.0,0.0,0
2081772,2077784,4575,2073209,3988,133838,0,133838,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:52:28 CEST 2011,874783,131170,131170.0,0.0,0
1821204,1816866,3537,1813329,4338,119902,0,119902,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:50:54 CEST 2011,780748,132464,132464.0,0.0,0
1688148,1685006,3854,1681152,3142,104146,0,104146,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:49:29 CEST 2011,695333,135366,135366.0,0.0,0
2888424,2883408,5565,2877843,5016,192370,0,192370,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:52:50 CEST 2011,897157,131911,131911.0,0.0,0
1948716,1944940,2832,1942108,3776,98000,0,98000,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:52:02 CEST 2011,849013,134854,134854.0,0.0,0
2045736,2041532,4356,2037176,4204,115360,0,115360,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:51:24 CEST 2011,810862,132926,132926.0,0.0,0
2004156,2000540,4130,1996410,3616,132282,0,132282,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:51:09 CEST 2011,795785,133809,133809.0,0.0,0
2239776,2235332,5112,2230220,4444,131316,0,131316,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:52:10 CEST 2011,856511,133482,133482.0,0.0,0
2018016,2014398,3335,2011063,3618,162296,0,162296,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:51:26 CEST 2011,813028,136059,136059.0,0.0,0
1516284,1510096,3044,1507052,6188,85156,0,85156,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:01 CEST 2011,787759,138031,138031.0,0.0,0
1449756,1445980,1879,1444101,3776,118420,0,118420,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:50:00 CEST 2011,726289,139291,139291.0,0.0,0
1704780,1700968,3448,1697520,3812,98994,0,98994,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:29 CEST 2011,815407,135021,135021.0,0.0,0
1765764,1762932,2935,1759997,2832,113414,0,113414,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:50:39 CEST 2011,765302,134715,134715.0,0.0,0
1890504,1885762,2748,1883014,4742,107220,0,107220,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:02 CEST 2011,787660,133936,133936.0,0.0,0
1563408,1559192,2357,1556835,4216,130402,0,130402,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:50:22 CEST 2011,748744,135080,135080.0,0.0,0
2189880,2186020,3126,2182894,3860,129558,0,129558,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:58 CEST 2011,844392,133671,133671.0,0.0,0
1945944,1941714,2772,1938942,4230,111904,0,111904,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:33 CEST 2011,818762,135724,135724.0,0.0,0
3664584,3656358,5244,3651114,8226,244634,0,244634,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:53:19 CEST 2011,925516,134466,134466.0,0.0,0
3331944,3325192,5309,3319883,6752,221812,0,221812,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:53:08 CEST 2011,913755,131401,131401.0,0.0,0
1948716,1945012,3560,1941452,3704,113086,0,113086,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:28 CEST 2011,813851,132211,132211.0,0.0,0
1491336,1488558,3220,1485338,2778,96444,0,96444,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:49:51 CEST 2011,717355,138385,138385.0,0.0,0
1762992,1759844,2816,1757028,3148,117252,0,117252,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:50:29 CEST 2011,754691,136390,136390.0,0.0,0
1810116,1804502,2610,1801892,5614,142094,0,142094,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:50:45 CEST 2011,771345,136344,136344.0,0.0,0
1527372,1524130,3345,1520785,3242,107054,0,107054,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:49:48 CEST 2011,714543,136962,136962.0,0.0,0
1804572,1801242,4314,1796928,3330,137554,0,137554,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:59 CEST 2011,844880,132528,132528.0,0.0,0
1643796,1640932,4001,1636931,2864,90886,0,90886,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:35 CEST 2011,821265,137911,137911.0,0.0,0
1796256,1792838,3381,1789457,3418,85036,0,85036,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:51:37 CEST 2011,823583,135182,135182.0,0.0,0
1474704,1471846,2307,1469539,2858,71510,0,71510,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:49:15 CEST 2011,681654,133728,133728.0,0.0,0
2550240,2541654,3958,2537696,8586,169228,0,169228,Sat Jun 25 12:37:54 CEST 2011,Sat Jun 25 12:52:41 CEST 2011,887147,132239,132239.0,0.0,0
