iteration,cost,penalty,softConstraintViolations
1,116513,0.125,96
2,116198,0.25,90
3,116019,0.375,86
4,117595,0.5,78
5,121373,0.625,64
6,124984,0.75,46
7,125162,0.875,39
8,136429,1.0,20
9,143186,1.125,9
10,147977,1.25,3
11,147311,1.375,1
12,146731,1.25,0
13,145659,1.125,0
14,144383,1.0,0
15,143433,0.875,0
16,142927,0.75,0
17,142549,0.625,0
18,142422,0.5,0
19,141493,0.625,1
20,141623,0.5,0
21,134889,0.625,8
22,134528,0.75,8
23,141576,0.625,0
24,141419,0.5,0
25,134749,0.625,8
26,136290,0.75,6
27,141383,0.625,0
28,140315,0.75,1
29,140377,0.625,0
30,140078,0.5,0
31,134985,0.625,6
32,134764,0.75,6
33,135894,0.875,4
34,139269,1.0,1
35,139374,1.125,1
36,139569,1.25,1
37,139464,1.375,1
38,139731,1.5,1
39,139536,1.625,1
40,141866,1.5,0
41,140878,1.375,0
42,140611,1.25,0
43,140492,1.125,0
44,139514,1.0,0
45,139200,0.875,0
46,138666,0.75,0
47,138354,0.625,0
48,137007,0.75,1
49,136540,0.875,1
50,136459,1.0,1
51,136433,1.125,1
52,137780,1.0,0
53,137784,0.875,0
54,137331,0.75,0
55,137108,0.625,0
56,135276,0.75,2
57,136924,0.625,0
58,136831,0.5,0
59,135183,0.625,2
60,134952,0.75,2
61,134950,0.875,2
62,135173,1.0,2
63,135175,1.125,2
64,135201,1.25,2
65,136849,1.375,1
66,137080,1.25,0
67,137054,1.125,0
68,137052,1.0,0
69,136829,0.875,0
70,137141,0.75,0
71,137143,0.625,0
72,137236,0.5,0
73,136408,0.625,1
74,136096,0.75,1
75,136096,0.875,1
76,135290,1.0,1
77,136491,0.875,0
78,136517,0.75,0
79,135794,0.875,1
80,135563,1.0,1
81,135537,1.125,1
82,135623,1.25,1
83,135854,1.375,1
84,136577,1.25,0
85,136889,1.125,0
86,136803,1.0,0
87,136689,0.875,0
88,136593,0.75,0
89,136306,0.625,0
90,136332,0.5,0
91,134899,0.625,2
92,134668,0.75,2
93,134642,0.875,2
94,134668,1.0,2
95,134694,1.125,2
96,136127,1.25,1
97,136358,1.125,0
98,136332,1.0,0
99,136427,0.875,0
