iteration,cost,penalty,softConstraintViolations
1,119420,0.125,102
2,118857,0.25,93
3,122756,0.375,68
4,124958,0.5,47
5,126133,0.625,38
6,127204,0.75,31
7,128411,0.875,26
8,129841,1.0,21
9,133686,1.125,14
10,135213,1.25,10
11,138110,1.375,6
12,142907,1.5,2
13,143443,1.625,1
14,142099,1.75,1
15,141585,1.875,1
16,140306,2.0,1
17,139842,2.125,1
18,139727,2.25,1
19,139646,2.375,1
20,139646,2.5,1
21,139688,2.625,1
22,139688,2.75,1
23,139746,2.875,1
24,139665,3.0,1
25,139769,3.125,1
26,139884,3.25,1
27,143786,3.125,0
28,143158,3.0,0
29,142883,2.875,0
30,142527,2.75,0
31,141643,2.625,0
32,141446,2.5,0
33,141365,2.375,0
34,141365,2.25,0
35,140914,2.125,0
36,140914,2.0,0
37,140557,1.875,0
38,140638,1.75,0
39,140767,1.625,0
40,139906,1.5,0
41,139803,1.375,0
42,139884,1.25,0
43,139987,1.125,0
44,140154,1.0,0
45,139771,0.875,0
46,139668,0.75,0
47,138385,0.875,1
48,138304,1.0,1
49,139587,0.875,0
50,139690,0.75,0
51,138407,0.875,1
52,138404,1.0,1
53,137886,1.125,1
54,137783,1.25,1
55,137864,1.375,1
56,137967,1.5,1
57,139978,1.375,0
58,139875,1.25,0
59,139794,1.125,0
60,139897,1.0,0
61,140067,0.875,0
62,138056,1.0,1
63,137953,1.125,1
64,137954,1.25,1
65,137798,1.375,1
66,137783,1.5,1
67,139066,1.375,0
68,139147,1.25,0
69,139250,1.125,0
70,139169,1.0,0
71,137886,1.125,1
72,137901,1.25,1
73,137982,1.375,1
74,137879,1.5,1
75,139890,1.375,0
76,139809,1.25,0
77,139865,1.125,0
78,139894,1.0,0
79,139997,0.875,0
80,139968,0.75,0
81,139912,0.625,0
82,138883,0.75,1
83,136872,0.875,2
84,136769,1.0,2
85,136754,1.125,2
86,138037,1.25,1
87,139533,1.125,0
88,139614,1.0,0
89,138118,1.125,1
90,138221,1.25,1
91,139717,1.125,0
92,139636,1.0,0
93,138140,1.125,1
94,138376,1.25,1
95,139405,1.125,0
96,139302,1.0,0
97,139383,0.875,0
98,139486,0.75,0
99,138457,0.875,1
100,138354,1.0,1
101,138273,1.125,1
102,139769,1.0,0
103,139850,0.875,0
104,139953,0.75,0
105,139872,0.625,0
106,139145,0.75,1
107,138909,0.875,1
108,138806,1.0,1
109,138850,1.125,1
110,140008,1.0,0
111,138512,1.125,1
112,139541,1.0,0
113,139622,0.875,0
114,138339,1.0,1
115,137864,1.125,1
116,137967,1.25,1
117,138324,1.375,1
118,139607,1.25,0
119,139504,1.125,0
120,139147,1.0,0
121,139066,0.875,0
122,137783,1.0,1
123,137798,1.125,1
124,137901,1.25,1
125,137886,1.375,1
126,139169,1.25,0
127,139250,1.125,0
128,139633,1.0,0
129,139466,0.875,0
130,139363,0.75,0
131,136804,0.875,2
132,138481,0.75,0
133,137452,0.625,0
134,137371,0.5,0
135,137291,0.375,0
136,135614,0.5,3
137,135639,0.625,3
138,135942,0.75,2
139,134737,0.875,3
140,135766,1.0,2
141,136971,1.125,1
142,136931,1.25,1
143,136931,1.375,1
144,136931,1.5,1
145,136931,1.625,1
146,136971,1.75,1
147,136971,1.875,1
148,136971,2.0,1
149,139651,1.875,0
150,139611,1.75,0
151,139611,1.625,0
152,139611,1.5,0
153,139142,1.375,0
154,138218,1.25,0
155,138258,1.125,0
156,138338,1.0,0
157,138298,0.875,0
158,135618,1.0,2
159,135538,1.125,2
160,137018,1.25,1
161,137018,1.375,1
162,137058,1.5,1
163,137058,1.625,1
164,137138,1.75,1
165,137051,1.875,1
166,137011,2.0,1
167,139691,1.875,0
168,139222,1.75,0
169,139262,1.625,0
170,139182,1.5,0
171,139263,1.375,0
172,138339,1.25,0
173,138203,1.125,0
174,137146,1.0,0
175,137106,0.875,0
176,137124,0.75,0
177,137148,0.625,0
178,136963,0.5,0
179,136131,0.625,1
180,136113,0.75,1
181,136945,0.625,0
182,136985,0.5,0
183,136153,0.625,1
184,136170,0.75,1
185,135941,0.875,1
186,135959,1.0,1
187,137164,0.875,0
188,137188,0.75,0
189,137003,0.625,0
190,136171,0.75,1
191,136188,0.875,1
192,136326,1.0,1
193,136097,1.125,1
194,137302,1.0,0
195,137262,0.875,0
196,137244,0.75,0
197,137268,0.625,0
198,137083,0.5,0
199,136251,0.625,1
200,136269,0.75,1
201,137101,0.625,0
202,137141,0.5,0
203,136309,0.625,1
204,136291,0.75,1
205,137123,0.625,0
206,137203,0.5,0
207,136371,0.625,1
208,136233,0.75,1
209,137065,0.625,0
210,137025,0.5,0
211,136193,0.625,1
212,136193,0.75,1
213,137025,0.625,0
214,136975,0.5,0
215,136143,0.625,1
216,136161,0.75,1
217,136993,0.625,0
218,137033,0.5,0
219,136201,0.625,1
220,136183,0.75,1
221,137015,0.625,0
222,137065,0.5,0
223,136233,0.625,1
224,136251,0.75,1
225,137083,0.625,0
226,137043,0.5,0
227,136211,0.625,1
228,136211,0.75,1
229,137043,0.625,0
230,136963,0.5,0
231,136131,0.625,1
232,136113,0.75,1
233,136945,0.625,0
234,136985,0.5,0
235,136153,0.625,1
236,136170,0.75,1
237,135941,0.875,1
238,137146,0.75,0
239,137106,0.625,0
240,137124,0.5,0
241,137148,0.375,0
242,135915,0.5,2
243,135730,0.625,2
244,135646,0.75,2
245,136110,0.875,1
246,136092,1.0,1
247,136172,1.125,1
248,136172,1.25,1
249,136122,1.375,1
250,136140,1.5,1
251,136190,1.625,1
252,138364,1.5,0
253,138314,1.375,0
254,138296,1.25,0
255,138346,1.125,0
256,138346,1.0,0
257,138266,0.875,0
258,138284,0.75,0
259,138364,0.625,0
260,136190,0.75,1
261,136328,0.875,1
262,136248,1.0,1
263,136230,1.125,1
264,136310,1.25,1
265,136310,1.375,1
266,136260,1.5,1
267,136278,1.625,1
268,138452,1.5,0
269,138434,1.375,0
270,138484,1.25,0
271,138484,1.125,0
272,138404,1.0,0
273,138422,0.875,0
274,138502,0.75,0
275,138502,0.625,0
276,136328,0.75,1
277,136512,0.875,1
278,136374,1.0,1
279,136356,1.125,1
280,136356,1.25,1
281,136276,1.375,1
282,136294,1.5,1
283,136374,1.625,1
284,138548,1.5,0
285,138468,1.375,0
286,138450,1.25,0
287,138530,1.125,0
288,138530,1.0,0
289,138548,0.875,0
290,138686,0.75,0
291,138668,0.625,0
292,136494,0.75,1
293,136494,0.875,1
294,136414,1.0,1
295,136432,1.125,1
296,136512,1.25,1
297,136697,1.375,1
298,136513,1.5,1
299,136375,1.625,1
300,136295,1.75,1
301,138469,1.625,0
302,138451,1.5,0
303,136277,1.625,1
304,136092,1.75,1
305,136110,1.875,1
306,138528,1.75,0
307,138510,1.625,0
308,138590,1.5,0
309,136172,1.625,1
310,138346,1.5,0
311,138266,1.375,0
312,138284,1.25,0
313,138364,1.125,0
314,136190,1.25,1
315,136190,1.375,1
316,136140,1.5,1
317,136122,1.625,1
318,138296,1.5,0
319,138314,1.375,0
320,138364,1.25,0
321,138346,1.125,0
322,136172,1.25,1
323,136310,1.375,1
324,136260,1.5,1
325,136278,1.625,1
326,138452,1.5,0
327,138434,1.375,0
328,138484,1.25,0
329,138484,1.125,0
330,136310,1.25,1
331,136230,1.375,1
332,136248,1.5,1
333,136328,1.625,1
334,138502,1.5,0
335,138422,1.375,0
336,138404,1.25,0
337,138588,1.125,0
338,138450,1.0,0
339,136276,1.125,1
340,136294,1.25,1
341,136374,1.375,1
342,136356,1.5,1
343,136356,1.625,1
344,138530,1.5,0
345,138530,1.375,0
346,138548,1.25,0
347,138468,1.125,0
348,138606,1.0,0
349,136432,1.125,1
350,136414,1.25,1
351,136494,1.375,1
352,136494,1.5,1
353,136512,1.625,1
354,136328,1.75,1
355,138502,1.625,0
356,138686,1.5,0
357,138548,1.375,0
358,136374,1.5,1
359,136559,1.625,1
360,136375,1.75,1
361,138549,1.625,0
362,138499,1.5,0
363,136325,1.625,1
364,136307,1.75,1
365,138481,1.625,0
366,138531,1.5,0
367,136357,1.625,1
368,136357,1.75,1
369,138531,1.625,0
370,138346,1.5,0
371,136172,1.625,1
372,136092,1.75,1
373,138266,1.625,0
374,138284,1.5,0
375,136110,1.625,1
376,136190,1.75,1
377,138364,1.625,0
378,138364,1.5,0
379,136190,1.625,1
380,136140,1.75,1
381,138314,1.625,0
382,138296,1.5,0
383,136122,1.625,1
384,136172,1.75,1
385,138346,1.625,0
386,138484,1.5,0
387,136310,1.625,1
388,136260,1.75,1
389,138434,1.625,0
390,138452,1.5,0
391,136278,1.625,1
392,136463,1.75,1
393,138637,1.625,0
394,138619,1.5,0
395,136445,1.625,1
396,136495,1.75,1
397,138669,1.625,0
398,138669,1.5,0
399,138484,1.375,0
400,136310,1.5,1
401,136230,1.625,1
402,138404,1.5,0
403,138422,1.375,0
404,136248,1.5,1
405,136328,1.625,1
406,138502,1.5,0
407,138502,1.375,0
408,136328,1.5,1
409,136512,1.625,1
410,136374,1.75,1
411,138548,1.625,0
412,138530,1.5,0
413,136356,1.625,1
414,136356,1.75,1
415,138530,1.625,0
416,138450,1.5,0
417,136276,1.625,1
418,136294,1.75,1
419,138468,1.625,0
420,138548,1.5,0
421,136374,1.625,1
422,136512,1.75,1
423,138686,1.625,0
424,138606,1.5,0
425,136432,1.625,1
426,136414,1.75,1
427,138588,1.625,0
428,138668,1.5,0
429,136494,1.625,1
430,136494,1.75,1
431,138668,1.625,0
432,138686,1.5,0
433,138871,1.375,0
434,136697,1.5,1
435,136513,1.625,1
436,136375,1.75,1
437,138549,1.625,0
438,138364,1.5,0
439,136190,1.625,1
440,136140,1.75,1
441,138314,1.625,0
442,138296,1.5,0
443,136122,1.625,1
444,136172,1.75,1
445,138346,1.625,0
446,138346,1.5,0
447,136172,1.625,1
448,136092,1.75,1
449,138266,1.625,0
450,138284,1.5,0
451,136110,1.625,1
452,136190,1.75,1
453,138364,1.625,0
454,138549,1.5,0
455,136375,1.625,1
456,136295,1.75,1
457,138469,1.625,0
458,138451,1.5,0
459,136277,1.625,1
460,136357,1.75,1
461,138531,1.625,0
462,138531,1.5,0
463,136357,1.625,1
464,136307,1.75,1
465,138481,1.625,0
466,138499,1.5,0
467,136325,1.625,1
468,136463,1.75,1
469,138637,1.625,0
470,138452,1.5,0
471,136278,1.625,1
472,136260,1.75,1
473,138434,1.625,0
474,138484,1.5,0
475,136310,1.625,1
476,136310,1.75,1
477,138484,1.625,0
478,138404,1.5,0
479,136230,1.625,1
480,136248,1.75,1
481,138422,1.625,0
482,138502,1.5,0
483,136328,1.625,1
484,136328,1.75,1
485,138502,1.625,0
