neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
2228226,2222801,3395,2219406,5425,128652,0,128652,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:10:52 CEST 2011,985458,137024,137024.0,0.0,0
4168164,4160417,6263,4154154,7747,260894,0,260894,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:15:12 CEST 2011,1245844,132193,132193.0,0.0,0
1903902,1900410,3206,1897204,3492,100248,0,100248,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:08:38 CEST 2011,851447,130643,130643.0,0.0,0
1885884,1882299,3625,1878674,3585,136384,0,136384,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:09:46 CEST 2011,919951,137415,137415.0,0.0,0
2540538,2533900,4251,2529649,6638,115158,0,115158,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:12:01 CEST 2011,1054290,134989,134989.0,0.0,0
2201199,2196853,3063,2193790,4346,142718,0,142718,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:11:08 CEST 2011,1001714,129030,129030.0,0.0,0
1714713,1711777,4503,1707274,2936,99710,0,99710,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:09:03 CEST 2011,876743,135908,135908.0,0.0,0
1672671,1668574,2959,1665615,4097,106142,0,106142,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:11:31 CEST 2011,1024396,135765,135765.0,0.0,0
2729727,2723096,9217,2713879,6631,159490,0,159490,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:12:39 CEST 2011,1092348,135603,135603.0,0.0,0
3060057,3054563,7483,3047080,5494,215280,0,215280,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:14:03 CEST 2011,1176208,135577,135577.0,0.0,0
2069067,2064634,3948,2060686,4433,97015,0,97015,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:10:47 CEST 2011,980330,136462,136462.0,0.0,0
1804803,1801136,3131,1798005,3667,121372,0,121372,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:08:02 CEST 2011,815629,133692,133692.0,0.0,0
4171167,4163358,7099,4156259,7809,263608,0,263608,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:14:28 CEST 2011,1200836,130174,130174.0,0.0,0
1648647,1645679,3855,1641824,2968,125074,0,125074,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:07:29 CEST 2011,782215,137983,137983.0,0.0,0
1564563,1561978,3387,1558591,2585,89011,0,89011,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:07:58 CEST 2011,811596,136190,136190.0,0.0,0
2192190,2188225,4391,2183834,3965,121009,0,121009,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:11:36 CEST 2011,1029517,138269,138269.0,0.0,0
1855854,1850836,2939,1847897,5018,205477,0,205477,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:10:08 CEST 2011,941064,134922,134922.0,0.0,0
3147144,3141201,5610,3135591,5943,196615,0,196615,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:13:44 CEST 2011,1157830,133335,133335.0,0.0,0
1987986,1984340,4127,1980213,3646,117687,0,117687,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:11:03 CEST 2011,996178,131544,131544.0,0.0,0
2651649,2646670,3893,2642777,4979,164787,0,164787,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:12:32 CEST 2011,1085700,131861,131861.0,0.0,0
1603602,1601124,3314,1597810,2478,88610,0,88610,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:09:15 CEST 2011,888904,138687,138687.0,0.0,0
2261259,2256569,4012,2252557,4690,144047,0,144047,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:11:37 CEST 2011,1030679,135809,135809.0,0.0,0
1732731,1727183,2511,1724672,5548,123854,0,123854,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:07:09 CEST 2011,762012,133656,133656.0,0.0,0
3450447,3444135,6230,3437905,6312,212621,0,212621,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:14:07 CEST 2011,1180906,132339,132339.0,0.0,0
2636634,2632318,5439,2626879,4316,212016,0,212016,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:13:00 CEST 2011,1113331,134813,134813.0,0.0,0
1873872,1870652,3671,1866981,3220,108891,0,108891,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:09:19 CEST 2011,892214,134017,134017.0,0.0,0
2141139,2137773,3734,2134039,3366,150549,0,150549,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:11:08 CEST 2011,1001351,136086,136086.0,0.0,0
1675674,1668267,2042,1666225,7407,170978,0,170978,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:06:30 CEST 2011,723336,136823,136823.0,0.0,0
1993992,1990120,3280,1986840,3872,126246,0,126246,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:11:18 CEST 2011,1011346,135971,135971.0,0.0,0
1606605,1602991,2194,1600797,3614,147395,0,147395,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:07:02 CEST 2011,754775,135912,135912.0,0.0,0
3207204,3198980,5679,3193301,8224,171941,0,171941,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:13:31 CEST 2011,1143763,131911,131911.0,0.0,0
2036034,2032336,2780,2029556,3698,119344,0,119344,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:10:39 CEST 2011,972262,136945,136945.0,0.0,0
2597595,2593423,4635,2588788,4172,194060,0,194060,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:12:00 CEST 2011,1053214,134288,134288.0,0.0,0
3846843,3833944,6070,3827874,12899,300097,0,300097,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:14:28 CEST 2011,1200748,130777,130777.0,0.0,0
1756755,1753595,3290,1750305,3160,87618,0,87618,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:08:26 CEST 2011,838613,136272,136272.0,0.0,0
2555553,2550969,3934,2547035,4584,165404,0,165404,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:12:15 CEST 2011,1068345,134841,134841.0,0.0,0
3669666,3662223,5768,3656455,7443,197178,0,197178,Sat Jun 25 12:54:27 CEST 2011,Sat Jun 25 13:14:33 CEST 2011,1206517,132874,132874.0,0.0,0
