iteration,cost,penalty,softConstraintViolations
1,121198,0.125,102
2,120752,0.25,94
3,121877,0.375,84
4,124052,0.5,71
5,134727,0.625,38
6,136986,0.75,25
7,135209,0.875,22
8,134426,1.0,19
9,135028,1.125,15
10,138849,1.25,10
11,139256,1.375,8
12,141409,1.5,5
13,142392,1.625,2
14,140147,1.75,2
15,140465,1.875,1
16,141468,1.75,0
17,140388,1.625,0
18,140018,1.5,0
19,139815,1.375,0
20,139794,1.25,0
21,139794,1.125,0
22,139728,1.0,0
23,139728,0.875,0
24,139792,0.75,0
25,139792,0.625,0
26,139858,0.5,0
27,139858,0.375,0
28,138579,0.5,2
29,138517,0.625,1
30,138989,0.5,0
31,138098,0.625,1
32,138034,0.75,1
33,138925,0.625,0
34,138925,0.5,0
35,138034,0.625,1
36,137968,0.75,1
37,138859,0.625,0
38,138859,0.5,0
39,135934,0.625,3
40,137359,0.75,1
41,136807,0.875,1
42,136871,1.0,1
43,138218,0.875,0
44,138154,0.75,0
45,138241,0.625,0
46,136894,0.75,1
47,136894,0.875,1
48,136958,1.0,1
49,138305,0.875,0
50,138241,0.75,0
51,137350,0.875,1
52,137738,0.75,0
53,137738,0.625,0
54,137651,0.5,0
55,136931,0.625,1
56,135253,0.75,1
57,135317,0.875,1
58,135404,1.0,1
59,135340,1.125,1
60,136780,1.0,0
61,136392,0.875,0
62,135045,1.0,1
63,134779,1.125,1
64,136130,1.0,0
65,136043,0.875,0
66,134692,1.0,1
67,134702,1.125,1
68,136053,1.0,0
69,134537,1.125,1
70,135718,1.0,0
71,135676,0.875,0
72,134325,1.0,1
73,134367,1.125,1
74,134427,1.25,1
75,135778,1.125,0
76,135736,1.0,0
77,134385,1.125,1
78,134644,1.25,1
79,135995,1.125,0
80,135935,1.0,0
81,134584,1.125,1
82,134626,1.25,1
83,135977,1.125,0
84,136037,1.0,0
85,134686,1.125,1
86,134952,1.25,1
87,136299,1.125,0
88,136040,1.0,0
89,135980,0.875,0
90,134633,1.0,1
91,134591,1.125,1
92,135938,1.0,0
93,135998,0.875,0
94,134651,1.0,1
95,134693,1.125,1
96,134997,1.25,1
97,136344,1.125,0
98,136284,1.0,0
99,136242,0.875,0
100,134895,1.0,1
101,134629,1.125,1
102,135980,1.0,0
103,136022,0.875,0
104,134671,1.0,1
105,134731,1.125,1
106,136082,1.0,0
107,136040,0.875,0
108,134689,1.0,1
109,133508,1.125,2
110,133204,1.25,2
111,134555,1.375,1
112,134495,1.5,1
113,134754,1.625,1
114,134796,1.75,1
115,136312,1.625,0
116,136302,1.5,0
117,136043,1.375,0
118,136107,1.25,0
119,136117,1.125,0
120,136053,1.0,0
121,134537,1.125,1
122,135718,1.0,0
123,135676,0.875,0
124,134325,1.0,1
125,134367,1.125,1
126,134427,1.25,1
127,135778,1.125,0
128,135736,1.0,0
129,134385,1.125,1
130,134644,1.25,1
131,135995,1.125,0
132,135935,1.0,0
133,134584,1.125,1
134,134626,1.25,1
135,135977,1.125,0
136,136037,1.0,0
137,134686,1.125,1
138,134952,1.25,1
139,136299,1.125,0
140,136040,1.0,0
141,135980,0.875,0
142,134633,1.0,1
143,134591,1.125,1
144,135938,1.0,0
145,135998,0.875,0
146,134651,1.0,1
147,134693,1.125,1
148,134997,1.25,1
149,136344,1.125,0
150,136284,1.0,0
151,136242,0.875,0
152,134895,1.0,1
153,134629,1.125,1
154,135980,1.0,0
155,136022,0.875,0
156,134671,1.0,1
157,134731,1.125,1
158,136082,1.0,0
159,136040,0.875,0
160,134689,1.0,1
161,133508,1.125,2
162,133204,1.25,2
163,134555,1.375,1
164,134495,1.5,1
165,134754,1.625,1
166,134796,1.75,1
167,136312,1.625,0
168,136302,1.5,0
169,136043,1.375,0
170,136107,1.25,0
171,136117,1.125,0
172,136053,1.0,0
173,134537,1.125,1
174,135718,1.0,0
175,135676,0.875,0
176,134325,1.0,1
177,134367,1.125,1
178,134427,1.25,1
179,135778,1.125,0
180,135736,1.0,0
181,134385,1.125,1
182,134644,1.25,1
183,135995,1.125,0
184,135935,1.0,0
185,134584,1.125,1
186,134626,1.25,1
187,135977,1.125,0
188,136037,1.0,0
189,134686,1.125,1
190,134952,1.25,1
191,136299,1.125,0
192,136040,1.0,0
193,135980,0.875,0
194,134633,1.0,1
195,134591,1.125,1
196,135938,1.0,0
197,135998,0.875,0
198,134651,1.0,1
199,134693,1.125,1
200,134997,1.25,1
201,136344,1.125,0
202,136284,1.0,0
203,136242,0.875,0
204,134895,1.0,1
205,134629,1.125,1
206,135980,1.0,0
207,136022,0.875,0
208,134671,1.0,1
209,134731,1.125,1
210,136082,1.0,0
211,136040,0.875,0
212,134689,1.0,1
213,133508,1.125,2
214,133204,1.25,2
215,134555,1.375,1
216,134495,1.5,1
217,134754,1.625,1
218,134796,1.75,1
219,136312,1.625,0
220,136302,1.5,0
221,136043,1.375,0
222,136107,1.25,0
223,136117,1.125,0
224,136053,1.0,0
225,134537,1.125,1
226,135718,1.0,0
227,135676,0.875,0
228,134325,1.0,1
229,134367,1.125,1
230,134427,1.25,1
231,135778,1.125,0
232,135736,1.0,0
233,134385,1.125,1
234,134644,1.25,1
235,135995,1.125,0
236,135935,1.0,0
237,134584,1.125,1
238,134626,1.25,1
239,135977,1.125,0
240,136037,1.0,0
241,134686,1.125,1
242,134952,1.25,1
243,136299,1.125,0
244,136040,1.0,0
245,135980,0.875,0
246,134633,1.0,1
247,134591,1.125,1
248,135938,1.0,0
249,135998,0.875,0
250,134651,1.0,1
251,134693,1.125,1
252,134997,1.25,1
253,136344,1.125,0
254,136284,1.0,0
255,136242,0.875,0
256,134895,1.0,1
257,134629,1.125,1
258,135980,1.0,0
259,136022,0.875,0
260,134671,1.0,1
261,134731,1.125,1
262,136082,1.0,0
263,136040,0.875,0
264,134689,1.0,1
265,133508,1.125,2
266,133204,1.25,2
267,134555,1.375,1
268,134495,1.5,1
269,134754,1.625,1
270,134796,1.75,1
271,136312,1.625,0
272,136302,1.5,0
273,136043,1.375,0
274,136107,1.25,0
275,136117,1.125,0
276,136053,1.0,0
277,134537,1.125,1
278,135718,1.0,0
279,135676,0.875,0
280,134325,1.0,1
281,134367,1.125,1
282,134427,1.25,1
283,135778,1.125,0
284,135736,1.0,0
285,134385,1.125,1
286,134644,1.25,1
287,135995,1.125,0
288,135935,1.0,0
289,134584,1.125,1
290,134626,1.25,1
291,135977,1.125,0
292,136037,1.0,0
293,134686,1.125,1
294,134952,1.25,1
295,136299,1.125,0
296,136040,1.0,0
297,135980,0.875,0
298,134633,1.0,1
299,134591,1.125,1
300,135938,1.0,0
301,135998,0.875,0
302,134651,1.0,1
303,134693,1.125,1
304,134997,1.25,1
305,136344,1.125,0
306,136284,1.0,0
307,136242,0.875,0
308,134895,1.0,1
309,134629,1.125,1
310,135980,1.0,0
311,136022,0.875,0
312,134671,1.0,1
313,134731,1.125,1
314,136082,1.0,0
315,136040,0.875,0
316,134689,1.0,1
317,133508,1.125,2
318,133204,1.25,2
319,134555,1.375,1
320,134495,1.5,1
321,134754,1.625,1
322,134796,1.75,1
323,136312,1.625,0
324,136302,1.5,0
325,136043,1.375,0
326,136107,1.25,0
327,136117,1.125,0
328,136053,1.0,0
329,134537,1.125,1
330,135718,1.0,0
331,135676,0.875,0
332,134325,1.0,1
333,134367,1.125,1
334,134427,1.25,1
335,135778,1.125,0
336,135736,1.0,0
337,134385,1.125,1
338,134644,1.25,1
339,135995,1.125,0
340,135935,1.0,0
341,134584,1.125,1
342,134626,1.25,1
343,135977,1.125,0
344,136037,1.0,0
345,134686,1.125,1
346,134952,1.25,1
347,136299,1.125,0
348,136040,1.0,0
349,135980,0.875,0
350,134633,1.0,1
351,134591,1.125,1
352,135938,1.0,0
353,135998,0.875,0
354,134651,1.0,1
355,134693,1.125,1
356,134997,1.25,1
357,136344,1.125,0
358,136284,1.0,0
359,136242,0.875,0
360,134895,1.0,1
361,134629,1.125,1
362,135980,1.0,0
363,136022,0.875,0
364,134671,1.0,1
365,134731,1.125,1
366,136082,1.0,0
367,136040,0.875,0
368,134689,1.0,1
369,133508,1.125,2
370,133204,1.25,2
371,134555,1.375,1
372,134495,1.5,1
373,134754,1.625,1
374,134796,1.75,1
375,136312,1.625,0
376,136302,1.5,0
377,136043,1.375,0
378,136107,1.25,0
379,136117,1.125,0
380,136053,1.0,0
381,134537,1.125,1
382,135718,1.0,0
383,135676,0.875,0
384,134325,1.0,1
385,134367,1.125,1
386,134427,1.25,1
387,135778,1.125,0
388,135736,1.0,0
389,134385,1.125,1
390,134644,1.25,1
391,135995,1.125,0
392,135935,1.0,0
393,134584,1.125,1
394,134626,1.25,1
395,135977,1.125,0
396,136037,1.0,0
397,134686,1.125,1
398,134952,1.25,1
399,136299,1.125,0
400,136040,1.0,0
401,135980,0.875,0
402,134633,1.0,1
403,134591,1.125,1
404,135938,1.0,0
405,135998,0.875,0
406,134651,1.0,1
407,134693,1.125,1
408,134997,1.25,1
409,136344,1.125,0
410,136284,1.0,0
411,136242,0.875,0
412,134895,1.0,1
413,134629,1.125,1
414,135980,1.0,0
415,136022,0.875,0
416,134671,1.0,1
417,134731,1.125,1
418,136082,1.0,0
419,136040,0.875,0
420,134689,1.0,1
421,133508,1.125,2
422,133204,1.25,2
423,134555,1.375,1
424,134495,1.5,1
425,134754,1.625,1
426,134796,1.75,1
427,136312,1.625,0
428,136302,1.5,0
429,136043,1.375,0
430,136107,1.25,0
431,136117,1.125,0
432,136053,1.0,0
433,134537,1.125,1
434,135718,1.0,0
435,135676,0.875,0
436,134325,1.0,1
437,134367,1.125,1
438,134427,1.25,1
439,135778,1.125,0
440,135736,1.0,0
441,134385,1.125,1
442,134644,1.25,1
443,135995,1.125,0
444,135935,1.0,0
445,134584,1.125,1
446,134626,1.25,1
447,135977,1.125,0
448,136037,1.0,0
449,134686,1.125,1
450,134952,1.25,1
451,136299,1.125,0
452,136040,1.0,0
453,135980,0.875,0
454,134633,1.0,1
455,134591,1.125,1
456,135938,1.0,0
457,135998,0.875,0
458,134651,1.0,1
459,134693,1.125,1
460,134997,1.25,1
461,136344,1.125,0
462,136284,1.0,0
463,136242,0.875,0
464,134895,1.0,1
465,134629,1.125,1
466,135980,1.0,0
467,136022,0.875,0
468,134671,1.0,1
469,134731,1.125,1
470,136082,1.0,0
471,136040,0.875,0
472,134689,1.0,1
473,133508,1.125,2
474,133204,1.25,2
475,134555,1.375,1
476,134495,1.5,1
477,134754,1.625,1
478,134796,1.75,1
479,136312,1.625,0
480,136302,1.5,0
481,136043,1.375,0
482,136107,1.25,0
483,136117,1.125,0
484,136053,1.0,0
485,134537,1.125,1
486,135718,1.0,0
487,135676,0.875,0
488,134325,1.0,1
489,134367,1.125,1
490,134427,1.25,1
491,135778,1.125,0
492,135736,1.0,0
493,134385,1.125,1
494,134644,1.25,1
495,135995,1.125,0
496,135935,1.0,0
497,134584,1.125,1
498,134626,1.25,1
499,135977,1.125,0
500,136037,1.0,0
501,134686,1.125,1
502,134952,1.25,1
503,136299,1.125,0
504,136040,1.0,0
505,135980,0.875,0
506,134633,1.0,1
507,134591,1.125,1
508,135938,1.0,0
509,135998,0.875,0
510,134651,1.0,1
511,134693,1.125,1
512,134997,1.25,1
513,136344,1.125,0
514,136284,1.0,0
515,136242,0.875,0
516,134895,1.0,1
517,134629,1.125,1
518,135980,1.0,0
519,136022,0.875,0
520,134671,1.0,1
521,134731,1.125,1
522,136082,1.0,0
523,136040,0.875,0
524,134689,1.0,1
525,133508,1.125,2
526,133204,1.25,2
527,134555,1.375,1
528,134495,1.5,1
529,134754,1.625,1
530,134796,1.75,1
