neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
2304819,2299382,4575,2294807,5437,154983,0,154983,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:34:40 CEST 2011,1060258,131170,131170.0,0.0,0
2053161,2048758,3337,2045421,4403,136217,0,136217,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:31:57 CEST 2011,896899,131542,131542.0,0.0,0
3609144,3600678,5656,3595022,8466,235290,0,235290,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:36:02 CEST 2011,1142352,132194,132194.0,0.0,0
1804572,1800352,3124,1797228,4220,102291,0,102291,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:31:27 CEST 2011,867181,136018,136018.0,0.0,0
2129886,2124242,2577,2121665,5644,153878,0,153878,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:32:21 CEST 2011,920770,128712,128712.0,0.0,0
2022471,2017532,3236,2014296,4939,133335,0,133335,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:34:08 CEST 2011,1028443,134181,134181.0,0.0,0
1663398,1658804,3241,1655563,4594,117581,0,117581,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:31:28 CEST 2011,868006,134717,134717.0,0.0,0
1737054,1732414,3719,1728695,4640,102894,0,102894,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:31:08 CEST 2011,848142,136602,136602.0,0.0,0
2418372,2412505,3518,2408987,5867,151219,0,151219,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:33:57 CEST 2011,1017491,131826,131826.0,0.0,0
1915056,1909002,4352,1904650,6054,111210,0,111210,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:33:08 CEST 2011,967757,137311,137311.0,0.0,0
1635777,1630558,3208,1627350,5219,129175,0,129175,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:32:58 CEST 2011,957763,141003,141003.0,0.0,0
1872090,1867839,3478,1864361,4251,135750,0,135750,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:31:10 CEST 2011,849719,135904,135904.0,0.0,0
3722697,3712939,5915,3707024,9758,225312,0,225312,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:36:08 CEST 2011,1147751,133099,133099.0,0.0,0
4201461,4191944,8825,4183119,9517,258318,0,258318,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:36:33 CEST 2011,1172604,134506,134506.0,0.0,0
1933470,1928650,3153,1925497,4820,124417,0,124417,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:32:54 CEST 2011,953802,139250,139250.0,0.0,0
2421441,2411565,4627,2406938,9876,143096,0,143096,Sat Jun 25 16:17:00 CEST 2011,Sat Jun 25 16:33:53 CEST 2011,1012592,138340,138340.0,0.0,0
1733985,1729727,2385,1727342,4258,99553,0,99553,Sat Jun 25 16:17:01 CEST 2011,Sat Jun 25 16:31:28 CEST 2011,867425,138322,138322.0,0.0,0
