iteration,cost,penalty,softConstraintViolations
1,107335,0.125,102
2,102817,0.25,102
3,103017,0.375,94
4,103502,0.5,86
5,105059,0.625,74
6,107656,0.75,64
7,107616,0.875,60
8,107845,1.0,56
9,108732,1.125,52
10,112631,1.25,44
11,120305,1.375,32
12,125215,1.5,24
13,132907,1.625,16
14,134948,1.75,12
15,135831,1.875,10
16,139166,2.0,7
17,140384,2.125,5
18,141973,2.25,3
19,146888,2.125,0
20,144449,2.0,0
21,143113,1.875,0
22,141800,1.75,0
23,141344,1.625,0
24,140349,1.5,0
25,139874,1.375,0
26,139587,1.25,0
27,139324,1.125,0
28,134382,1.25,3
29,134003,1.375,3
30,138945,1.25,0
31,138641,1.125,0
32,138315,1.0,0
33,135435,1.125,2
34,136561,1.0,0
35,136432,0.875,0
36,132093,1.0,3
37,132093,1.125,3
38,132093,1.25,3
39,132093,1.375,3
40,132093,1.5,3
41,132093,1.625,3
42,138128,1.5,0
43,138066,1.375,0
44,137929,1.25,0
45,136721,1.125,0
46,136721,1.0,0
47,136721,0.875,0
48,136721,0.75,0
49,136721,0.625,0
50,132112,0.75,3
51,132112,0.875,3
52,132112,1.0,3
53,132112,1.125,3
54,132112,1.25,3
55,132112,1.375,3
56,132112,1.5,3
57,132112,1.625,3
58,132112,1.75,3
59,132112,1.875,3
60,132112,2.0,3
61,132112,2.125,3
62,132112,2.25,3
63,132112,2.375,3
64,132112,2.5,3
65,132112,2.625,3
66,132112,2.75,3
67,138857,2.875,1
68,139568,2.75,0
69,138961,2.625,0
70,138961,2.5,0
71,138961,2.375,0
72,138961,2.25,0
73,138961,2.125,0
74,138961,2.0,0
75,138961,1.875,0
76,138961,1.75,0
77,138961,1.625,0
78,138961,1.5,0
79,138961,1.375,0
80,138961,1.25,0
81,138961,1.125,0
82,138961,1.0,0
83,138961,0.875,0
84,138961,0.75,0
85,138624,0.625,0
86,138073,0.5,0
87,132366,0.625,5
88,132206,0.75,5
89,132962,0.875,4
90,132511,1.0,4
91,132511,1.125,4
92,134986,1.25,2
93,136275,1.375,1
94,136275,1.5,1
95,136275,1.625,1
96,136275,1.75,1
97,136275,1.875,1
98,136275,2.0,1
99,136275,2.125,1
100,136275,2.25,1
101,136275,2.375,1
102,136275,2.5,1
103,136275,2.625,1
104,136275,2.75,1
105,136275,2.875,1
106,136275,3.0,1
107,136275,3.125,1
108,136275,3.25,1
109,136275,3.375,1
110,136275,3.5,1
111,136275,3.625,1
112,136275,3.75,1
113,136275,3.875,1
114,136275,4.0,1
115,136275,4.125,1
116,136275,4.25,1
117,136275,4.375,1
118,136275,4.5,1
119,136275,4.625,1
120,136275,4.75,1
121,136275,4.875,1
122,136275,5.0,1
123,136275,5.125,1
124,136275,5.25,1
125,136275,5.375,1
126,136275,5.5,1
127,136275,5.625,1
128,136275,5.75,1
129,136275,5.875,1
130,136275,6.0,1
131,136275,6.125,1
132,136275,6.25,1
133,136275,6.375,1
134,136275,6.5,1
135,136275,6.625,1
136,136275,6.75,1
137,136275,6.875,1
138,136275,7.0,1
139,136275,7.125,1
140,136275,7.25,1
141,136275,7.375,1
142,136275,7.5,1
143,136275,7.625,1
144,136275,7.75,1
145,136275,7.875,1
146,136275,8.0,1
147,136275,8.125,1
148,136275,8.25,1
149,136275,8.375,1
150,136275,8.5,1
151,136275,8.625,1
152,136275,8.75,1
153,136275,8.875,1
154,136275,9.0,1
155,136275,9.125,1
156,136275,9.25,1
157,136275,9.375,1
158,141514,9.25,0
159,140271,9.125,0
160,140249,9.0,0
161,139641,8.875,0
162,139641,8.75,0
163,139641,8.625,0
164,139641,8.5,0
165,139641,8.375,0
166,139641,8.25,0
167,139641,8.125,0
168,139641,8.0,0
169,139641,7.875,0
170,139641,7.75,0
171,139641,7.625,0
172,139641,7.5,0
173,139641,7.375,0
174,139641,7.25,0
175,139641,7.125,0
176,139641,7.0,0
177,139641,6.875,0
178,139641,6.75,0
179,139641,6.625,0
180,139641,6.5,0
181,139641,6.375,0
182,139641,6.25,0
183,139641,6.125,0
184,139641,6.0,0
185,139641,5.875,0
186,139641,5.75,0
187,139641,5.625,0
188,139641,5.5,0
189,139641,5.375,0
190,139641,5.25,0
191,139641,5.125,0
192,139641,5.0,0
193,139641,4.875,0
194,139641,4.75,0
195,139641,4.625,0
196,139641,4.5,0
197,139641,4.375,0
198,139641,4.25,0
199,139641,4.125,0
200,139641,4.0,0
201,139641,3.875,0
202,139641,3.75,0
203,139641,3.625,0
204,139641,3.5,0
205,139641,3.375,0
206,139641,3.25,0
207,139641,3.125,0
208,139641,3.0,0
209,139641,2.875,0
210,139641,2.75,0
211,139641,2.625,0
212,139641,2.5,0
213,139641,2.375,0
214,139641,2.25,0
215,139641,2.125,0
216,139641,2.0,0
217,139641,1.875,0
218,139641,1.75,0
219,139641,1.625,0
220,139641,1.5,0
221,139641,1.375,0
222,139641,1.25,0
223,139641,1.125,0
224,139641,1.0,0
225,139641,0.875,0
226,138376,1.0,1
227,137866,1.125,1
228,137866,1.25,1
229,137273,1.375,1
230,136904,1.5,1
231,136541,1.625,1
232,136541,1.75,1
233,136541,1.875,1
234,136541,2.0,1
235,136541,2.125,1
236,136541,2.25,1
237,136541,2.375,1
238,136541,2.5,1
239,136541,2.625,1
240,136541,2.75,1
241,136541,2.875,1
242,136541,3.0,1
243,136541,3.125,1
244,136541,3.25,1
245,136541,3.375,1
246,136541,3.5,1
247,136541,3.625,1
248,136541,3.75,1
249,136541,3.875,1
250,136541,4.0,1
251,136541,4.125,1
252,136541,4.25,1
253,136541,4.375,1
254,136541,4.5,1
255,136541,4.625,1
256,136541,4.75,1
257,136541,4.875,1
258,136541,5.0,1
259,136541,5.125,1
260,136541,5.25,1
261,136541,5.375,1
262,136541,5.5,1
263,136541,5.625,1
264,136541,5.75,1
265,136541,5.875,1
266,136541,6.0,1
267,136541,6.125,1
268,136541,6.25,1
269,136541,6.375,1
270,136541,6.5,1
271,136541,6.625,1
272,136541,6.75,1
273,136541,6.875,1
274,136541,7.0,1
275,136541,7.125,1
276,136541,7.25,1
277,136541,7.375,1
278,136541,7.5,1
279,136541,7.625,1
280,136541,7.75,1
281,136541,7.875,1
282,136541,8.0,1
283,136541,8.125,1
284,136541,8.25,1
285,136541,8.375,1
286,136541,8.5,1
287,136541,8.625,1
288,136541,8.75,1
289,136541,8.875,1
290,136541,9.0,1
291,136541,9.125,1
292,136541,9.25,1
293,136541,9.375,1
294,136541,9.5,1
295,136541,9.625,1
296,136541,9.75,1
297,136541,9.875,1
298,136541,10.0,1
299,136541,10.125,1
300,136541,10.25,1
301,136541,10.375,1
302,136541,10.5,1
303,136541,10.625,1
304,136541,10.75,1
305,136541,10.875,1
306,136541,11.0,1
307,136541,11.125,1
308,136541,11.25,1
309,136541,11.375,1
310,136541,11.5,1
311,136541,11.625,1
312,136541,11.75,1
313,136541,11.875,1
314,136541,12.0,1
315,136541,12.125,1
316,136541,12.25,1
317,136541,12.375,1
318,136541,12.5,1
319,136541,12.625,1
320,136541,12.75,1
321,136541,12.875,1
322,136541,13.0,1
323,136541,13.125,1
324,136541,13.25,1
325,136541,13.375,1
326,136541,13.5,1
327,136541,13.625,1
328,136541,13.75,1
329,136541,13.875,1
330,136541,14.0,1
331,136541,14.125,1
332,136541,14.25,1
333,136541,14.375,1
334,136541,14.5,1
335,136541,14.625,1
336,136541,14.75,1
337,136541,14.875,1
338,136541,15.0,1
339,136541,15.125,1
340,136541,15.25,1
341,136541,15.375,1
342,136541,15.5,1
343,136541,15.625,1
344,136541,15.75,1
345,136541,15.875,1
346,136541,16.0,1
347,136541,16.125,1
348,136541,16.25,1
349,136541,16.375,1
350,136541,16.5,1
351,136541,16.625,1
352,136541,16.75,1
353,136541,16.875,1
354,136541,17.0,1
355,136541,17.125,1
356,136541,17.25,1
357,136541,17.375,1
358,136541,17.5,1
359,136541,17.625,1
360,136541,17.75,1
361,136541,17.875,1
362,136541,18.0,1
363,136541,18.125,1
364,136541,18.25,1
365,136541,18.375,1
366,136541,18.5,1
367,136541,18.625,1
368,136541,18.75,1
369,136541,18.875,1
370,136541,19.0,1
371,136541,19.125,1
372,136541,19.25,1
373,136541,19.375,1
374,136541,19.5,1
375,136541,19.625,1
376,136541,19.75,1
377,136541,19.875,1
378,136541,20.0,1
379,136541,20.125,1
380,136541,20.25,1
381,136541,20.375,1
382,136541,20.5,1
383,136541,20.625,1
384,136541,20.75,1
385,136541,20.875,1
386,136541,21.0,1
387,136541,21.125,1
388,136541,21.25,1
389,136541,21.375,1
390,136541,21.5,1
391,136541,21.625,1
392,136541,21.75,1
393,136541,21.875,1
394,136541,22.0,1
395,136541,22.125,1
396,136541,22.25,1
397,136541,22.375,1
398,136541,22.5,1
399,136541,22.625,1
400,136541,22.75,1
401,136541,22.875,1
402,136541,23.0,1
403,136541,23.125,1
404,136541,23.25,1
405,136541,23.375,1
406,136541,23.5,1
407,136541,23.625,1
408,136541,23.75,1
409,136541,23.875,1
410,136541,24.0,1
411,136541,24.125,1
412,136541,24.25,1
