iteration,cost,penalty,softConstraintViolations
1,106187,0.125,102
2,104086,0.25,102
3,101056,0.375,102
4,102603,0.5,92
5,102620,0.625,88
6,104897,0.75,78
7,124442,0.875,40
8,127899,1.0,30
9,131417,1.125,22
10,134597,1.25,16
11,134023,1.375,14
12,137663,1.5,10
13,138505,1.625,8
14,145216,1.75,3
15,147727,1.625,0
16,146430,1.5,0
17,145061,1.375,0
18,143731,1.25,0
19,142497,1.125,0
20,141395,1.0,0
21,140617,0.875,0
22,139931,0.75,0
23,139702,0.625,0
24,138680,0.75,1
25,138642,0.875,1
26,139664,0.75,0
27,139655,0.625,0
28,138633,0.75,1
29,138633,0.875,1
30,138344,1.0,1
31,139398,0.875,0
32,139352,0.75,0
33,139299,0.625,0
34,138459,0.5,0
35,135249,0.625,4
36,136492,0.75,2
37,137207,0.875,1
38,137207,1.0,1
39,137207,1.125,1
40,137207,1.25,1
41,137207,1.375,1
42,137207,1.5,1
43,137207,1.625,1
44,137207,1.75,1
45,137207,1.875,1
46,137207,2.0,1
47,137207,2.125,1
48,137207,2.25,1
49,137207,2.375,1
50,137207,2.5,1
51,137207,2.625,1
52,137207,2.75,1
53,137207,2.875,1
54,137207,3.0,1
55,137207,3.125,1
56,137207,3.25,1
57,137207,3.375,1
58,137207,3.5,1
59,137207,3.625,1
60,137207,3.75,1
61,137207,3.875,1
62,137207,4.0,1
63,137207,4.125,1
64,137207,4.25,1
65,137207,4.375,1
66,137207,4.5,1
67,137207,4.625,1
68,137207,4.75,1
69,137207,4.875,1
70,137207,5.0,1
71,137207,5.125,1
72,137207,5.25,1
73,137207,5.375,1
74,137207,5.5,1
75,137207,5.625,1
76,137207,5.75,1
77,137207,5.875,1
78,137207,6.0,1
79,137207,6.125,1
80,137207,6.25,1
81,137207,6.375,1
82,137207,6.5,1
83,137207,6.625,1
84,137207,6.75,1
85,137207,6.875,1
86,137207,7.0,1
87,137207,7.125,1
88,137207,7.25,1
89,137207,7.375,1
90,137207,7.5,1
91,137207,7.625,1
92,137207,7.75,1
93,137207,7.875,1
94,137207,8.0,1
95,137207,8.125,1
96,137207,8.25,1
97,137207,8.375,1
98,137207,8.5,1
99,137207,8.625,1
100,137207,8.75,1
101,144785,8.625,0
102,140070,8.5,0
103,139512,8.375,0
104,139267,8.25,0
105,139186,8.125,0
106,139021,8.0,0
107,138893,7.875,0
108,138821,7.75,0
109,138615,7.625,0
110,138586,7.5,0
111,138586,7.375,0
112,138586,7.25,0
113,138586,7.125,0
114,138586,7.0,0
115,138586,6.875,0
116,138586,6.75,0
117,138586,6.625,0
118,138586,6.5,0
119,138586,6.375,0
120,138586,6.25,0
121,138586,6.125,0
122,138586,6.0,0
123,138586,5.875,0
124,138586,5.75,0
125,138586,5.625,0
126,138586,5.5,0
127,138586,5.375,0
128,138586,5.25,0
129,138586,5.125,0
130,138586,5.0,0
131,138586,4.875,0
132,138586,4.75,0
133,138586,4.625,0
134,138586,4.5,0
135,138586,4.375,0
136,138586,4.25,0
137,138586,4.125,0
138,138586,4.0,0
139,138586,3.875,0
140,138586,3.75,0
141,138586,3.625,0
142,138586,3.5,0
143,138586,3.375,0
144,138586,3.25,0
145,138586,3.125,0
146,138586,3.0,0
147,138586,2.875,0
148,138586,2.75,0
149,138586,2.625,0
150,138586,2.5,0
151,138586,2.375,0
152,138586,2.25,0
153,138586,2.125,0
154,138586,2.0,0
155,138586,1.875,0
156,138586,1.75,0
157,138586,1.625,0
158,138586,1.5,0
159,138586,1.375,0
160,138586,1.25,0
161,138586,1.125,0
162,138586,1.0,0
163,138586,0.875,0
164,138586,0.75,0
165,138586,0.625,0
166,138586,0.5,0
167,138586,0.375,0
168,138586,0.25,0
169,138586,0.125,0
170,138586,0.0,0
171,138586,0.0,0
172,138586,0.0,0
173,138582,0.125,16
174,136572,0.25,14
175,135551,0.375,14
176,135885,0.5,11
177,135823,0.625,9
178,135754,0.75,8
179,136491,0.875,6
180,137004,1.0,4
181,137004,1.125,3
182,136348,1.25,3
183,136812,1.375,2
184,136728,1.5,1
185,138130,1.375,0
186,137791,1.25,0
187,136834,1.125,0
188,136738,1.0,0
189,135225,1.125,1
190,135225,1.25,1
191,135225,1.375,1
192,135225,1.5,1
193,135225,1.625,1
194,135225,1.75,1
195,135225,1.875,1
196,135225,2.0,1
197,135225,2.125,1
198,135225,2.25,1
199,135225,2.375,1
200,135225,2.5,1
201,135225,2.625,1
202,135225,2.75,1
203,135225,2.875,1
204,135225,3.0,1
205,135225,3.125,1
206,135225,3.25,1
207,135225,3.375,1
208,135225,3.5,1
209,135225,3.625,1
210,135225,3.75,1
211,135225,3.875,1
212,135225,4.0,1
213,135225,4.125,1
214,135225,4.25,1
215,135225,4.375,1
216,135225,4.5,1
217,140785,4.375,0
218,139592,4.25,0
219,139122,4.125,0
220,138493,4.0,0
221,137756,3.875,0
222,137665,3.75,0
223,137648,3.625,0
224,137316,3.5,0
225,136329,3.375,0
226,136265,3.25,0
227,136265,3.125,0
228,136265,3.0,0
229,136265,2.875,0
230,136265,2.75,0
231,136265,2.625,0
232,136265,2.5,0
233,136265,2.375,0
234,136265,2.25,0
235,136265,2.125,0
236,136265,2.0,0
237,136265,1.875,0
238,136265,1.75,0
239,136265,1.625,0
240,136265,1.5,0
241,136265,1.375,0
242,136265,1.25,0
243,136265,1.125,0
244,136265,1.0,0
245,136265,0.875,0
246,136265,0.75,0
247,136265,0.625,0
248,136265,0.5,0
249,136265,0.375,0
250,136265,0.25,0
251,136265,0.125,0
252,136265,0.0,0
253,136265,0.0,0
254,136265,0.0,0
255,136265,0.0,0
256,136265,0.0,0
257,136265,0.0,0
258,136265,0.0,0
259,136265,0.0,0
260,136265,0.0,0
261,136265,0.0,0
262,136265,0.0,0
263,136265,0.0,0
264,136265,0.0,0
265,136265,0.0,0
266,134718,0.125,18
267,131812,0.25,20
268,130373,0.375,21
269,132467,0.5,14
270,131706,0.625,12
271,132175,0.75,10
272,131389,0.875,10
273,132653,1.0,8
274,134105,1.125,6
275,134316,1.25,5
276,134589,1.375,4
277,139384,1.25,0
278,138493,1.125,0
279,137753,1.0,0
280,136872,0.875,0
281,134651,1.0,1
282,134907,0.875,0
283,134286,0.75,0
284,134094,0.625,0
285,134094,0.5,0
286,134094,0.375,0
287,134094,0.25,0
288,134094,0.125,0
289,134094,0.0,0
290,132808,0.125,8
291,131579,0.25,6
292,130713,0.375,7
293,130903,0.5,5
294,130882,0.625,4
295,131329,0.75,3
296,131879,0.875,2
297,131879,1.0,2
298,131879,1.125,2
299,131879,1.25,2
300,131879,1.375,2
301,131879,1.5,2
302,131879,1.625,2
303,131879,1.75,2
304,135556,1.625,0
305,134793,1.5,0
306,134566,1.375,0
307,133151,1.25,0
308,132450,1.125,0
309,131934,1.0,0
310,131797,0.875,0
311,131797,0.75,0
312,131797,0.625,0
313,131797,0.5,0
314,131797,0.375,0
315,131797,0.25,0
316,131797,0.125,0
317,131797,0.0,0
318,130432,0.125,21
319,129389,0.25,17
320,131347,0.375,6
321,131722,0.5,2
322,131505,0.625,2
323,131248,0.75,2
324,130986,0.875,2
325,131750,1.0,1
326,131238,1.125,1
327,130824,1.25,1
328,132162,1.125,0
329,131247,1.0,0
330,131180,0.875,0
331,131092,0.75,0
332,131092,0.625,0
333,131092,0.5,0
334,131092,0.375,0
335,131092,0.25,0
336,131092,0.125,0
337,131092,0.0,0
338,131092,0.0,0
339,131092,0.0,0
340,131092,0.0,0
341,131092,0.0,0
342,131092,0.0,0
343,131092,0.0,0
344,131092,0.0,0
345,131092,0.0,0
346,131092,0.0,0
347,131092,0.0,0
348,131092,0.0,0
349,131092,0.0,0
350,131092,0.0,0
351,131092,0.0,0
352,131092,0.0,0
353,131092,0.0,0
354,131092,0.0,0
355,131092,0.0,0
356,131092,0.0,0
357,131092,0.0,0
358,131092,0.0,0
359,131092,0.0,0
360,131092,0.0,0
361,131092,0.0,0
362,131092,0.0,0
363,131092,0.0,0
364,131092,0.0,0
365,131092,0.0,0
366,131092,0.0,0
367,131092,0.0,0
368,131092,0.0,0
369,131092,0.0,0
370,131092,0.0,0
371,131092,0.0,0
372,131092,0.0,0
373,131092,0.0,0
374,131092,0.0,0
375,131092,0.0,0
376,131092,0.0,0
377,131092,0.0,0
378,131092,0.0,0
379,131092,0.0,0
380,131092,0.0,0
381,131092,0.0,0
382,131092,0.0,0
383,131092,0.0,0
384,131092,0.0,0
385,131092,0.0,0
386,131092,0.0,0
387,131092,0.0,0
388,131092,0.0,0
389,131092,0.0,0
390,131092,0.0,0
391,131092,0.0,0
392,131092,0.0,0
393,131092,0.0,0
394,131092,0.0,0
395,131092,0.0,0
396,129690,0.125,2
397,128718,0.25,3
398,128279,0.375,3
399,128241,0.5,3
400,127751,0.625,3
401,127751,0.75,3
402,127751,0.875,3
403,127751,1.0,3
404,127751,1.125,3
405,127751,1.25,3
406,127751,1.375,3
407,127751,1.5,3
408,127751,1.625,3
409,127751,1.75,3
410,127751,1.875,3
411,127751,2.0,3
412,132467,2.125,1
413,131947,2.25,1
414,134426,2.125,0
415,133607,2.0,0
416,133188,1.875,0
417,133188,1.75,0
418,133188,1.625,0
419,133188,1.5,0
420,133188,1.375,0
421,133188,1.25,0
422,133188,1.125,0
423,133188,1.0,0
424,133188,0.875,0
425,133188,0.75,0
426,133188,0.625,0
427,131256,0.75,2
428,131133,0.875,1
429,130719,1.0,1
430,130719,1.125,1
431,130719,1.25,1
432,130719,1.375,1
433,130719,1.5,1
434,130719,1.625,1
435,130719,1.75,1
436,130719,1.875,1
437,130719,2.0,1
438,130719,2.125,1
439,130719,2.25,1
440,130719,2.375,1
441,130719,2.5,1
442,130719,2.625,1
443,130719,2.75,1
444,130719,2.875,1
445,133766,2.75,0
446,133347,2.625,0
447,133188,2.5,0
448,133188,2.375,0
449,133188,2.25,0
450,133188,2.125,0
451,133188,2.0,0
452,133188,1.875,0
453,133188,1.75,0
454,133188,1.625,0
455,133188,1.5,0
456,133188,1.375,0
457,133188,1.25,0
458,133188,1.125,0
459,133188,1.0,0
460,133188,0.875,0
461,133188,0.75,0
462,133188,0.625,0
463,133188,0.5,0
464,133188,0.375,0
465,133188,0.25,0
466,133188,0.125,0
467,133188,0.0,0
468,133188,0.0,0
469,133188,0.0,0
470,133188,0.0,0
471,133188,0.0,0
472,133188,0.0,0
473,133188,0.0,0
474,132443,0.125,17
475,131256,0.25,2
476,129345,0.375,3
477,128507,0.5,3
478,127535,0.625,4
479,127248,0.75,4
480,127751,0.875,3
481,128774,1.0,2
482,129488,1.125,1
483,129058,1.25,1
484,128468,1.375,1
485,128255,1.5,1
486,128255,1.625,1
487,128255,1.75,1
488,128255,1.875,1
489,128255,2.0,1
490,128255,2.125,1
491,128255,2.25,1
492,128255,2.375,1
493,128255,2.5,1
494,128255,2.625,1
495,128255,2.75,1
496,128255,2.875,1
497,128255,3.0,1
498,128255,3.125,1
499,128255,3.25,1
500,128255,3.375,1
501,128255,3.5,1
502,128255,3.625,1
503,128255,3.75,1
504,128255,3.875,1
505,128255,4.0,1
506,128255,4.125,1
507,128255,4.25,1
508,128255,4.375,1
509,128255,4.5,1
510,128255,4.625,1
511,128255,4.75,1
512,128255,4.875,1
513,128255,5.0,1
514,128255,5.125,1
515,128255,5.25,1
516,128255,5.375,1
517,135082,5.25,0
518,134791,5.125,0
519,134543,5.0,0
520,134399,4.875,0
521,134272,4.75,0
522,134185,4.625,0
523,134173,4.5,0
524,133879,4.375,0
525,133808,4.25,0
526,133808,4.125,0
527,133808,4.0,0
528,133808,3.875,0
529,133808,3.75,0
530,133808,3.625,0
531,133808,3.5,0
532,133808,3.375,0
533,133808,3.25,0
534,133808,3.125,0
535,133808,3.0,0
536,133808,2.875,0
537,133808,2.75,0
538,133808,2.625,0
539,133808,2.5,0
540,133808,2.375,0
