iteration,cost,penalty,softConstraintViolations
1,109752,0.125,102
2,106500,0.25,102
3,102290,0.375,102
4,103321,0.5,92
5,104029,0.625,84
6,106051,0.75,74
7,107458,0.875,66
8,119811,1.0,41
9,118474,1.125,34
10,127691,1.25,17
11,132706,1.375,9
12,133913,1.5,7
13,137152,1.625,4
14,135190,1.75,3
15,135291,1.875,2
16,134236,2.0,2
17,135014,2.125,1
18,134062,2.25,1
19,133248,2.375,1
20,132613,2.5,1
21,131874,2.625,1
22,131666,2.75,1
23,131522,2.875,1
24,131287,3.0,1
25,130705,3.125,1
26,134613,3.0,0
27,133690,2.875,0
28,133592,2.75,0
29,133147,2.625,0
30,133088,2.5,0
31,132871,2.375,0
32,132871,2.25,0
33,132871,2.125,0
34,132871,2.0,0
35,132871,1.875,0
36,132871,1.75,0
37,132871,1.625,0
38,132871,1.5,0
39,132871,1.375,0
40,132871,1.25,0
41,132871,1.125,0
42,132871,1.0,0
43,132871,0.875,0
44,132871,0.75,0
45,132871,0.625,0
46,132871,0.5,0
47,132871,0.375,0
48,132871,0.25,0
49,132871,0.125,0
50,132871,0.0,0
51,132259,0.125,26
52,129536,0.25,26
53,127864,0.375,26
54,128803,0.5,19
55,130942,0.625,13
56,130663,0.75,12
57,132581,0.875,9
58,137619,1.0,3
59,138156,1.125,2
60,139328,1.25,1
61,139924,1.125,0
62,138182,1.0,0
63,135950,1.125,1
64,135667,1.25,1
65,133788,1.375,2
66,133766,1.5,2
67,135645,1.625,1
68,137834,1.5,0
69,136452,1.375,0
70,134573,1.5,1
71,134557,1.625,1
72,136464,1.5,0
73,136464,1.375,0
74,136464,1.25,0
75,136464,1.125,0
76,136464,1.0,0
77,136464,0.875,0
78,136464,0.75,0
79,136464,0.625,0
80,136464,0.5,0
81,136162,0.375,0
82,135350,0.5,1
83,135201,0.625,1
84,135073,0.75,1
85,134920,0.875,1
86,136037,0.75,0
87,136037,0.625,0
88,136037,0.5,0
89,136037,0.375,0
90,136037,0.25,0
91,136037,0.125,0
92,136037,0.0,0
93,136037,0.0,0
94,136037,0.0,0
95,133598,0.125,6
96,131293,0.25,8
97,130251,0.375,9
98,130404,0.5,7
99,129202,0.625,8
100,128365,0.75,9
101,133383,0.875,3
102,133764,1.0,2
103,134703,1.125,1
104,134103,1.25,1
105,134782,1.125,0
106,134470,1.0,0
107,134271,0.875,0
108,133317,0.75,0
109,133192,0.625,0
110,133090,0.5,0
111,130844,0.625,3
112,130669,0.75,3
113,130364,0.875,3
114,133084,0.75,0
115,133084,0.625,0
116,133084,0.5,0
117,133084,0.375,0
118,133084,0.25,0
119,133084,0.125,0
120,133084,0.0,0
121,133084,0.0,0
122,131979,0.125,33
123,129746,0.25,26
124,129381,0.375,23
125,133822,0.5,7
126,133972,0.625,6
127,133532,0.75,6
128,132228,0.875,7
129,131461,1.0,6
130,130250,1.125,6
131,128552,1.25,6
132,130538,1.375,4
133,131631,1.5,3
134,131344,1.625,3
135,133149,1.75,2
136,132568,1.875,2
137,134739,2.0,1
138,134229,2.125,1
139,134079,2.25,1
140,134017,2.375,1
141,133979,2.5,1
142,137306,2.375,0
143,136644,2.25,0
144,136574,2.125,0
145,136573,2.0,0
146,136346,1.875,0
147,136194,1.75,0
148,135309,1.625,0
149,135159,1.5,0
150,134896,1.375,0
151,134802,1.25,0
152,134782,1.125,0
153,134773,1.0,0
154,133428,1.125,1
155,133428,1.25,1
156,133428,1.375,1
157,133428,1.5,1
158,133428,1.625,1
159,133428,1.75,1
160,133428,1.875,1
161,133428,2.0,1
162,133428,2.125,1
163,133428,2.25,1
164,133428,2.375,1
165,133428,2.5,1
166,133428,2.625,1
167,133428,2.75,1
168,133428,2.875,1
169,133428,3.0,1
170,133428,3.125,1
171,133428,3.25,1
172,133428,3.375,1
173,133428,3.5,1
174,133428,3.625,1
175,133428,3.75,1
176,133428,3.875,1
177,133428,4.0,1
178,133428,4.125,1
179,133428,4.25,1
180,133428,4.375,1
181,133428,4.5,1
182,133428,4.625,1
183,133428,4.75,1
184,133428,4.875,1
185,133428,5.0,1
186,133428,5.125,1
187,133428,5.25,1
188,133428,5.375,1
189,133428,5.5,1
190,140702,5.375,0
191,139314,5.25,0
192,138510,5.125,0
193,136818,5.0,0
194,134777,4.875,0
195,134777,4.75,0
196,134777,4.625,0
197,134777,4.5,0
198,134777,4.375,0
199,134777,4.25,0
200,134777,4.125,0
201,134777,4.0,0
202,134777,3.875,0
203,134777,3.75,0
204,134777,3.625,0
205,134777,3.5,0
206,134777,3.375,0
207,134777,3.25,0
208,134777,3.125,0
209,134777,3.0,0
210,134777,2.875,0
211,134777,2.75,0
212,134777,2.625,0
213,134777,2.5,0
214,134777,2.375,0
215,134777,2.25,0
216,134777,2.125,0
217,134777,2.0,0
218,134777,1.875,0
219,134777,1.75,0
220,134777,1.625,0
221,134777,1.5,0
222,134777,1.375,0
223,134777,1.25,0
224,134777,1.125,0
225,134777,1.0,0
226,134777,0.875,0
227,134777,0.75,0
228,134777,0.625,0
229,134777,0.5,0
230,134777,0.375,0
231,134777,0.25,0
232,134777,0.125,0
233,134777,0.0,0
234,134777,0.0,0
235,132792,0.125,12
236,130958,0.25,14
237,131198,0.375,11
238,131883,0.5,8
239,132188,0.625,7
240,134121,0.75,4
241,136574,0.625,0
242,131103,0.75,4
243,130994,0.875,3
244,130630,1.0,3
245,131608,1.125,2
246,130013,1.25,2
247,130013,1.375,2
248,130013,1.5,2
249,130013,1.625,2
250,130013,1.75,2
251,130013,1.875,2
252,130013,2.0,2
253,130013,2.125,2
254,130013,2.25,2
255,135264,2.125,0
256,135115,2.0,0
257,135115,1.875,0
258,134347,1.75,0
259,134007,1.625,0
260,133767,1.5,0
261,133704,1.375,0
262,133686,1.25,0
263,133686,1.125,0
264,133686,1.0,0
265,133686,0.875,0
266,133686,0.75,0
267,133686,0.625,0
268,133686,0.5,0
269,133686,0.375,0
270,133686,0.25,0
271,133686,0.125,0
272,133686,0.0,0
273,133686,0.0,0
274,133686,0.0,0
275,133686,0.0,0
276,133686,0.0,0
277,133686,0.0,0
278,132008,0.125,1
279,130633,0.25,1
280,130459,0.375,1
281,130421,0.5,1
282,130421,0.625,1
283,130421,0.75,1
284,130421,0.875,1
285,130421,1.0,1
286,130421,1.125,1
287,130421,1.25,1
288,130421,1.375,1
289,130421,1.5,1
290,130421,1.625,1
291,130421,1.75,1
292,130421,1.875,1
293,130421,2.0,1
294,130421,2.125,1
295,130421,2.25,1
296,130421,2.375,1
297,130421,2.5,1
298,130421,2.625,1
299,130421,2.75,1
300,130421,2.875,1
301,130421,3.0,1
302,130421,3.125,1
303,130421,3.25,1
304,130421,3.375,1
305,130421,3.5,1
306,130421,3.625,1
307,130421,3.75,1
308,130421,3.875,1
309,130421,4.0,1
310,130421,4.125,1
311,130421,4.25,1
312,130421,4.375,1
313,130421,4.5,1
314,130421,4.625,1
315,130421,4.75,1
316,130421,4.875,1
317,130421,5.0,1
318,130421,5.125,1
319,130421,5.25,1
320,130421,5.375,1
321,130421,5.5,1
322,130421,5.625,1
323,130421,5.75,1
324,130421,5.875,1
325,130421,6.0,1
326,130421,6.125,1
327,130421,6.25,1
328,130421,6.375,1
329,130421,6.5,1
330,130421,6.625,1
331,130421,6.75,1
332,130421,6.875,1
333,130421,7.0,1
334,130421,7.125,1
335,130421,7.25,1
336,130421,7.375,1
337,130421,7.5,1
338,130421,7.625,1
339,130421,7.75,1
340,130421,7.875,1
341,130421,8.0,1
342,130421,8.125,1
343,130421,8.25,1
344,130421,8.375,1
345,133379,8.25,0
346,133207,8.125,0
347,133207,8.0,0
348,133207,7.875,0
349,133207,7.75,0
350,133207,7.625,0
351,133207,7.5,0
352,133207,7.375,0
353,133207,7.25,0
354,133207,7.125,0
355,133207,7.0,0
356,133207,6.875,0
357,133207,6.75,0
358,133207,6.625,0
359,133207,6.5,0
360,133207,6.375,0
361,133207,6.25,0
362,133207,6.125,0
363,133207,6.0,0
364,133207,5.875,0
365,133207,5.75,0
366,133207,5.625,0
367,133207,5.5,0
368,133207,5.375,0
369,133207,5.25,0
370,133207,5.125,0
371,133207,5.0,0
372,133207,4.875,0
373,133207,4.75,0
374,133207,4.625,0
375,133207,4.5,0
376,133207,4.375,0
377,133207,4.25,0
378,133207,4.125,0
379,133207,4.0,0
380,133207,3.875,0
381,133207,3.75,0
382,133207,3.625,0
383,133207,3.5,0
384,133207,3.375,0
385,133207,3.25,0
386,133207,3.125,0
387,133207,3.0,0
388,133207,2.875,0
389,133207,2.75,0
390,133207,2.625,0
391,133207,2.5,0
392,133207,2.375,0
393,133207,2.25,0
394,133207,2.125,0
395,133207,2.0,0
396,133207,1.875,0
397,133207,1.75,0
398,133207,1.625,0
399,133207,1.5,0
400,133207,1.375,0
401,133207,1.25,0
402,133207,1.125,0
403,133207,1.0,0
404,133207,0.875,0
405,133207,0.75,0
406,133207,0.625,0
407,133207,0.5,0
408,133207,0.375,0
409,133207,0.25,0
410,133207,0.125,0
411,130669,0.25,7
412,127480,0.375,14
413,126066,0.5,14
414,126262,0.625,12
415,131277,0.75,1
416,131355,0.625,0
417,130581,0.5,0
418,130491,0.375,0
419,128546,0.5,3
420,128193,0.625,3
421,129519,0.75,1
422,128534,0.875,2
423,128317,1.0,2
424,128125,1.125,2
425,127973,1.25,2
