iteration,cost,penalty,softConstraintViolations
1,111314,0.125,102
2,106056,0.25,102
3,105984,0.375,94
4,107109,0.5,84
5,105482,0.625,84
6,106635,0.75,76
7,115762,0.875,53
8,128223,1.0,31
9,128725,1.125,24
10,135116,1.25,12
11,136807,1.375,6
12,134849,1.5,6
13,134706,1.625,5
14,136118,1.75,3
15,135724,1.875,2
16,135629,2.0,1
17,136363,1.875,0
18,135531,1.75,0
19,134795,1.625,0
20,133779,1.5,0
21,133618,1.375,0
22,133319,1.25,0
23,133052,1.125,0
24,132850,1.0,0
25,132747,0.875,0
26,131898,0.75,0
27,131074,0.625,0
28,130806,0.5,0
29,130702,0.375,0
30,129866,0.5,1
31,129573,0.625,1
32,129573,0.75,1
33,129573,0.875,1
34,129573,1.0,1
35,129573,1.125,1
36,129573,1.25,1
37,129573,1.375,1
38,129573,1.5,1
39,129573,1.625,1
40,129573,1.75,1
41,129573,1.875,1
42,129573,2.0,1
43,129573,2.125,1
44,129573,2.25,1
45,129573,2.375,1
46,129573,2.5,1
47,129573,2.625,1
48,129573,2.75,1
49,129573,2.875,1
50,129573,3.0,1
51,129573,3.125,1
52,129573,3.25,1
53,129573,3.375,1
54,129573,3.5,1
55,129573,3.625,1
56,129573,3.75,1
57,129573,3.875,1
58,129573,4.0,1
59,129573,4.125,1
60,129573,4.25,1
61,129573,4.375,1
62,129573,4.5,1
63,129573,4.625,1
64,132470,4.5,0
65,130409,4.375,0
66,130409,4.25,0
67,130409,4.125,0
68,130409,4.0,0
69,130409,3.875,0
70,130409,3.75,0
71,130409,3.625,0
72,130409,3.5,0
73,130409,3.375,0
74,130409,3.25,0
75,130409,3.125,0
76,130409,3.0,0
77,130409,2.875,0
78,130409,2.75,0
79,130409,2.625,0
80,130409,2.5,0
81,130409,2.375,0
82,130409,2.25,0
83,130409,2.125,0
84,130409,2.0,0
85,130409,1.875,0
86,130409,1.75,0
87,130409,1.625,0
88,130409,1.5,0
89,130409,1.375,0
90,130409,1.25,0
91,130409,1.125,0
92,130409,1.0,0
93,130409,0.875,0
94,130409,0.75,0
95,130409,0.625,0
96,130409,0.5,0
97,130409,0.375,0
98,130409,0.25,0
99,130409,0.125,0
100,130409,0.0,0
101,130409,0.0,0
102,130409,0.0,0
103,130409,0.0,0
104,130409,0.0,0
105,130409,0.0,0
106,130409,0.0,0
107,130409,0.0,0
108,130409,0.0,0
109,130409,0.0,0
110,130409,0.0,0
111,130409,0.0,0
112,130409,0.0,0
113,130409,0.0,0
114,130409,0.0,0
115,130409,0.0,0
116,130409,0.0,0
117,130409,0.0,0
118,130409,0.0,0
119,130409,0.0,0
120,130409,0.0,0
121,130409,0.0,0
122,130409,0.0,0
123,130409,0.0,0
124,130409,0.0,0
125,130409,0.0,0
126,130409,0.0,0
127,130409,0.0,0
128,130409,0.0,0
129,130409,0.0,0
130,130409,0.0,0
131,130409,0.0,0
132,130409,0.0,0
133,130409,0.0,0
134,130409,0.0,0
135,130409,0.0,0
136,130409,0.0,0
137,130409,0.0,0
138,130409,0.0,0
139,130409,0.0,0
140,130409,0.0,0
141,129854,0.125,13
142,128441,0.25,11
143,127454,0.375,11
144,127806,0.5,9
145,127998,0.625,8
146,126530,0.75,9
147,128594,0.875,5
148,129607,1.0,3
149,128505,1.125,3
150,129030,1.25,2
151,128527,1.375,2
152,128077,1.5,2
153,129009,1.625,1
