neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1796355,1781716,3497,1778219,14639,122640,0,122640,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:56:07 CEST 2011,826226,135281,135281.0,0.0,0
2069100,2053850,4623,2049227,15250,129831,0,129831,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:57:10 CEST 2011,889427,129935,129935.0,0.0,0
2166285,2151512,4896,2146616,14773,158817,0,158817,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:57:23 CEST 2011,901729,132680,132680.0,0.0,0
1962510,1953720,4275,1949445,8790,172011,0,172011,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:56:24 CEST 2011,843220,135029,135029.0,0.0,0
1664685,1650484,3523,1646961,14201,120111,0,120111,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:55:00 CEST 2011,759569,128291,128291.0,0.0,0
3671085,3640551,8639,3631912,30534,257448,0,257448,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 15:00:03 CEST 2011,1062582,127481,127481.0,0.0,0
2567565,2546185,5993,2540192,21380,233619,0,233619,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:59:08 CEST 2011,1007417,131271,131271.0,0.0,0
2395140,2378553,5662,2372891,16587,196953,0,196953,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:58:34 CEST 2011,972877,130295,130295.0,0.0,0
1802625,1786461,3595,1782866,16164,124272,0,124272,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:55:58 CEST 2011,816848,133315,133315.0,0.0,0
2426490,2402671,4897,2397774,23819,135447,0,135447,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:58:54 CEST 2011,993461,133412,133412.0,0.0,0
3373260,3346526,7294,3339232,26734,227586,0,227586,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:59:58 CEST 2011,1056769,129636,129636.0,0.0,0
1812030,1793286,4978,1788308,18744,97659,0,97659,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:56:10 CEST 2011,829455,130577,130577.0,0.0,0
2761935,2738333,6263,2732070,23602,182688,0,182688,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:59:30 CEST 2011,1029086,128457,128457.0,0.0,0
1843380,1824743,4262,1820481,18637,95295,0,95295,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:56:35 CEST 2011,853605,134481,134481.0,0.0,0
4041015,4004798,9454,3995344,36217,298761,0,298761,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 15:00:11 CEST 2011,1070083,125416,125416.0,0.0,0
2542485,2517893,4700,2513193,24592,179493,0,179493,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 14:59:04 CEST 2011,1003118,124101,124101.0,0.0,0
2457840,2436358,4864,2431494,21482,168810,0,168810,Sat Jun 25 14:42:22 CEST 2011,Sat Jun 25 14:58:48 CEST 2011,985982,127302,127302.0,0.0,0
2385735,2363481,5841,2357640,22254,142491,0,142491,Sat Jun 25 14:42:22 CEST 2011,Sat Jun 25 14:58:53 CEST 2011,991488,128948,128948.0,0.0,0
2392005,2372163,5403,2366760,19842,142665,0,142665,Sat Jun 25 14:42:22 CEST 2011,Sat Jun 25 14:58:43 CEST 2011,981400,129678,129678.0,0.0,0
3191430,3163784,5561,3158223,27646,188625,0,188625,Sat Jun 25 14:42:22 CEST 2011,Sat Jun 25 14:59:52 CEST 2011,1050025,128971,128971.0,0.0,0
