iteration,cost,penalty,softConstraintViolations
1,109210,0.125,102
2,105055,0.25,102
3,100460,0.375,102
4,100543,0.5,94
5,102096,0.625,84
6,103176,0.75,76
7,106554,0.875,66
8,117863,1.0,44
9,131507,1.125,24
10,131723,1.25,16
11,139717,1.375,6
12,140033,1.5,3
13,137326,1.625,3
14,137552,1.75,2
15,138036,1.875,1
16,138752,1.75,0
17,137106,1.625,0
18,135851,1.5,0
19,135018,1.375,0
20,134240,1.25,0
21,134115,1.125,0
22,134024,1.0,0
23,134006,0.875,0
24,134006,0.75,0
25,134006,0.625,0
26,134006,0.5,0
27,134006,0.375,0
28,134006,0.25,0
29,134006,0.125,0
30,134006,0.0,0
31,131146,0.125,26
32,126405,0.25,34
33,124271,0.375,33
34,125511,0.5,25
35,125179,0.625,23
36,125249,0.75,21
37,138428,0.875,4
38,140169,1.0,1
39,138630,1.125,1
40,138740,1.0,0
41,138173,0.875,0
42,137706,0.75,0
43,136188,0.875,1
44,135692,1.0,1
45,135388,1.125,1
46,134755,1.25,1
47,134292,1.375,1
48,134038,1.5,1
49,135659,1.375,0
50,135659,1.25,0
51,135659,1.125,0
52,133874,1.25,1
53,133194,1.375,1
54,133023,1.5,1
55,134315,1.375,0
56,134315,1.25,0
57,134315,1.125,0
58,134315,1.0,0
59,134315,0.875,0
60,134315,0.75,0
61,134315,0.625,0
62,134315,0.5,0
63,134315,0.375,0
64,133790,0.5,1
65,132694,0.625,1
66,131402,0.75,2
67,130395,0.875,3
68,130395,1.0,3
69,130395,1.125,3
70,130395,1.25,3
71,130395,1.375,3
72,130395,1.5,3
73,130395,1.625,3
74,130395,1.75,3
75,130395,1.875,3
76,134403,2.0,1
77,135695,1.875,0
78,134599,1.75,0
79,134401,1.625,0
80,134401,1.5,0
81,134401,1.375,0
82,134401,1.25,0
83,134401,1.125,0
84,134401,1.0,0
85,134401,0.875,0
86,134401,0.75,0
87,134401,0.625,0
88,134401,0.5,0
89,134401,0.375,0
90,134401,0.25,0
91,134401,0.125,0
92,134401,0.0,0
93,134401,0.0,0
94,133627,0.125,18
95,130490,0.25,18
96,128783,0.375,19
97,129184,0.5,16
98,129229,0.625,14
99,130485,0.75,11
100,131220,0.875,9
101,132690,1.0,7
102,135847,1.125,4
103,134840,1.25,4
104,137204,1.375,2
105,136687,1.5,2
106,135395,1.625,2
107,137016,1.75,1
108,136759,1.875,1
109,136759,2.0,1
110,136759,2.125,1
111,136759,2.25,1
112,136759,2.375,1
113,136759,2.5,1
114,136759,2.625,1
115,136759,2.75,1
116,136759,2.875,1
117,136759,3.0,1
118,136759,3.125,1
119,136759,3.25,1
120,136759,3.375,1
121,136759,3.5,1
122,136759,3.625,1
123,136759,3.75,1
124,138549,3.625,0
125,137743,3.5,0
126,137438,3.375,0
127,135817,3.25,0
128,135817,3.125,0
129,135817,3.0,0
130,135817,2.875,0
131,135817,2.75,0
132,135817,2.625,0
133,135817,2.5,0
134,135817,2.375,0
135,135817,2.25,0
136,135817,2.125,0
137,135817,2.0,0
138,135817,1.875,0
139,135817,1.75,0
140,135817,1.625,0
141,135817,1.5,0
142,135817,1.375,0
143,135817,1.25,0
144,135817,1.125,0
145,135817,1.0,0
146,135817,0.875,0
147,135817,0.75,0
148,135817,0.625,0
149,135817,0.5,0
150,135817,0.375,0
151,135817,0.25,0
152,135817,0.125,0
153,135817,0.0,0
154,135817,0.0,0
155,135817,0.0,0
156,134240,0.125,24
157,133847,0.25,12
158,130735,0.375,14
159,128843,0.5,14
160,128067,0.625,14
161,135874,0.75,1
162,133712,0.875,1
163,131259,1.0,2
164,131437,1.125,1
165,130570,1.25,1
166,130019,1.375,1
167,129933,1.5,1
168,129849,1.625,1
169,131443,1.5,0
170,129960,1.375,0
171,129960,1.25,0
172,129960,1.125,0
173,129960,1.0,0
174,129960,0.875,0
175,129960,0.75,0
176,129960,0.625,0
177,129960,0.5,0
178,129960,0.375,0
179,129960,0.25,0
180,129960,0.125,0
181,129960,0.0,0
182,127699,0.125,15
183,124741,0.25,24
184,125180,0.375,19
185,125436,0.5,15
186,124839,0.625,15
187,129507,0.75,6
188,129671,0.875,5
189,131364,1.0,3
190,130170,1.125,3
191,130040,1.25,2
192,130870,1.375,1
193,130674,1.5,1
194,130235,1.625,1
195,130235,1.75,1
196,130235,1.875,1
197,130235,2.0,1
198,130235,2.125,1
199,130235,2.25,1
200,130235,2.375,1
201,130235,2.5,1
202,130235,2.625,1
203,130235,2.75,1
204,130235,2.875,1
205,130235,3.0,1
206,130235,3.125,1
207,130235,3.25,1
208,130235,3.375,1
209,130235,3.5,1
210,130235,3.625,1
211,130235,3.75,1
212,130235,3.875,1
213,130235,4.0,1
214,130235,4.125,1
215,130235,4.25,1
216,130235,4.375,1
217,130235,4.5,1
218,130235,4.625,1
219,130235,4.75,1
220,130235,4.875,1
221,130235,5.0,1
222,130235,5.125,1
223,130235,5.25,1
224,130235,5.375,1
225,136373,5.25,0
226,136035,5.125,0
227,135798,5.0,0
228,135706,4.875,0
229,135706,4.75,0
230,135032,4.625,0
231,134847,4.5,0
232,134795,4.375,0
233,134795,4.25,0
234,134795,4.125,0
235,134795,4.0,0
236,134795,3.875,0
237,134795,3.75,0
238,134795,3.625,0
239,134795,3.5,0
240,134795,3.375,0
241,134795,3.25,0
242,134795,3.125,0
243,134795,3.0,0
244,134795,2.875,0
245,134795,2.75,0
246,134795,2.625,0
247,134795,2.5,0
248,134795,2.375,0
249,134795,2.25,0
250,134795,2.125,0
251,134795,2.0,0
252,134795,1.875,0
253,134795,1.75,0
254,134795,1.625,0
255,134795,1.5,0
256,134795,1.375,0
257,134795,1.25,0
258,134795,1.125,0
259,134795,1.0,0
260,134795,0.875,0
261,134795,0.75,0
262,134795,0.625,0
263,134795,0.5,0
264,134795,0.375,0
265,134795,0.25,0
266,134795,0.125,0
267,134795,0.0,0
268,134795,0.0,0
269,134179,0.125,13
270,130395,0.25,19
271,130645,0.375,15
272,130499,0.5,14
273,130952,0.625,12
274,131516,0.75,10
275,131659,0.875,9
276,132059,1.0,7
277,134172,1.125,3
278,134766,1.25,2
279,134991,1.375,1
280,133238,1.5,1
281,133955,1.375,0
282,132678,1.25,0
283,131529,1.125,0
284,130819,1.0,0
285,130290,0.875,0
286,129995,0.75,0
287,129876,0.625,0
288,129787,0.5,0
289,129462,0.375,0
290,128466,0.5,2
291,129105,0.625,1
292,129105,0.75,1
293,129105,0.875,1
294,129105,1.0,1
295,129105,1.125,1
296,129105,1.25,1
297,129105,1.375,1
298,129105,1.5,1
299,129105,1.625,1
300,129105,1.75,1
301,129105,1.875,1
302,129105,2.0,1
303,129105,2.125,1
304,129105,2.25,1
305,129105,2.375,1
306,129105,2.5,1
307,129105,2.625,1
308,129105,2.75,1
309,129105,2.875,1
310,129105,3.0,1
311,129105,3.125,1
312,129105,3.25,1
313,129105,3.375,1
314,129105,3.5,1
315,129105,3.625,1
316,129105,3.75,1
317,129105,3.875,1
318,129105,4.0,1
319,129105,4.125,1
320,129105,4.25,1
321,129105,4.375,1
322,129105,4.5,1
323,134687,4.375,0
324,134280,4.25,0
325,133900,4.125,0
326,132544,4.0,0
327,132516,3.875,0
328,132516,3.75,0
329,132516,3.625,0
330,132516,3.5,0
331,132516,3.375,0
332,132516,3.25,0
333,132516,3.125,0
334,132516,3.0,0
335,132516,2.875,0
336,132516,2.75,0
337,132516,2.625,0
338,132516,2.5,0
339,132516,2.375,0
340,132516,2.25,0
341,132516,2.125,0
342,132516,2.0,0
343,132516,1.875,0
344,132516,1.75,0
345,132516,1.625,0
346,132516,1.5,0
347,132516,1.375,0
348,132516,1.25,0
349,132516,1.125,0
350,132516,1.0,0
351,132516,0.875,0
352,132516,0.75,0
353,132516,0.625,0
354,132516,0.5,0
355,132516,0.375,0
356,132516,0.25,0
357,132516,0.125,0
358,128452,0.25,5
359,127341,0.375,5
360,128833,0.5,1
361,128833,0.625,1
362,128833,0.75,1
363,128833,0.875,1
364,128833,1.0,1
365,128833,1.125,1
366,128833,1.25,1
367,128833,1.375,1
368,128833,1.5,1
369,128833,1.625,1
370,128833,1.75,1
371,128833,1.875,1
372,128833,2.0,1
373,128833,2.125,1
374,128833,2.25,1
375,128833,2.375,1
376,128833,2.5,1
377,128833,2.625,1
378,128833,2.75,1
379,128833,2.875,1
380,128833,3.0,1
381,128833,3.125,1
382,128833,3.25,1
383,128833,3.375,1
384,128833,3.5,1
385,128833,3.625,1
386,128833,3.75,1
387,128833,3.875,1
388,128833,4.0,1
389,128833,4.125,1
390,128833,4.25,1
391,128833,4.375,1
392,128833,4.5,1
393,132549,4.375,0
394,132500,4.25,0
395,132479,4.125,0
396,132246,4.0,0
397,132083,3.875,0
398,132083,3.75,0
399,132083,3.625,0
400,132083,3.5,0
401,132083,3.375,0
402,132083,3.25,0
403,132083,3.125,0
404,132083,3.0,0
405,132083,2.875,0
406,132083,2.75,0
407,132083,2.625,0
408,132083,2.5,0
409,132083,2.375,0
410,132083,2.25,0
411,132083,2.125,0
412,132083,2.0,0
413,132083,1.875,0
414,132083,1.75,0
415,132083,1.625,0
416,132083,1.5,0
417,132083,1.375,0
418,132083,1.25,0
419,132083,1.125,0
420,132083,1.0,0
421,132083,0.875,0
422,132083,0.75,0
423,132083,0.625,0
424,132083,0.5,0
425,132083,0.375,0
426,132083,0.25,0
427,132083,0.125,0
428,132083,0.0,0
429,129301,0.125,35
430,128510,0.25,23
431,127282,0.375,23
432,132338,0.5,7
433,131257,0.625,6
434,130398,0.75,5
435,131214,0.875,2
436,129199,1.0,3
437,129614,1.125,1
438,129418,1.25,1
439,129286,1.375,1
440,130945,1.25,0
441,130945,1.125,0
