neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1907400,1892900,3943,1888957,14500,108288,0,108288,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:01 CEST 2011,808196,131941,131941.0,0.0,0
1765500,1754484,3999,1750485,11016,107638,0,107638,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:19 CEST 2011,766376,135756,135756.0,0.0,0
1904100,1890930,3431,1887499,13170,152336,0,152336,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:49 CEST 2011,795392,129392,129392.0,0.0,0
3006300,2986885,6648,2980237,19415,216959,0,216959,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:52:32 CEST 2011,958886,131292,131292.0,0.0,0
2092200,2075894,4571,2071323,16306,124518,0,124518,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:53 CEST 2011,860161,128176,128176.0,0.0,0
1881000,1861477,3536,1857941,19523,162987,0,162987,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:10 CEST 2011,816339,132637,132637.0,0.0,0
1950300,1937149,3756,1933393,13151,133879,0,133879,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:18 CEST 2011,824795,134368,134368.0,0.0,0
2009700,1988071,4276,1983795,21629,110871,0,110871,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:37 CEST 2011,843767,128334,128334.0,0.0,0
1943700,1925187,4326,1920861,18513,135174,0,135174,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:21 CEST 2011,827595,133263,133263.0,0.0,0
1950300,1937149,3756,1933393,13151,133879,0,133879,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:15 CEST 2011,821475,134368,134368.0,0.0,0
2432100,2407315,4417,2402898,24785,136013,0,136013,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:51:47 CEST 2011,913852,132297,132297.0,0.0,0
2211000,2194278,5013,2189265,16722,170922,0,170922,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:51:10 CEST 2011,877040,131376,131376.0,0.0,0
1973400,1953134,3254,1949880,20266,93188,0,93188,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:27 CEST 2011,833309,133649,133649.0,0.0,0
1732500,1717371,3319,1714052,15129,91273,0,91273,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:08 CEST 2011,754450,132189,132189.0,0.0,0
3735600,3702937,7106,3695831,32663,228447,0,228447,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:53:08 CEST 2011,994597,127153,127153.0,0.0,0
1904100,1890930,3431,1887499,13170,152336,0,152336,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:54 CEST 2011,800235,129392,129392.0,0.0,0
1828200,1813274,4306,1808968,14926,130185,0,130185,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:30 CEST 2011,776665,126258,126258.0,0.0,0
1752300,1736691,3810,1732881,15609,92357,0,92357,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:24 CEST 2011,770867,133725,133725.0,0.0,0
4567200,4540687,9675,4531012,26513,308786,0,308786,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:53:26 CEST 2011,1012263,129118,129118.0,0.0,0
3422100,3394340,6594,3387746,27760,210870,0,210870,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:53:00 CEST 2011,986254,131993,131993.0,0.0,0
1742400,1723800,3744,1720056,18600,102471,0,102471,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:23 CEST 2011,769930,137660,137660.0,0.0,0
1821600,1803769,3731,1800038,17831,117201,0,117201,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:55 CEST 2011,801601,127158,127158.0,0.0,0
1966800,1948419,3933,1944486,18381,83733,0,83733,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:31 CEST 2011,838081,134012,134012.0,0.0,0
2963400,2934915,5789,2929126,28485,144011,0,144011,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:52:36 CEST 2011,962934,131577,131577.0,0.0,0
1851300,1831316,3326,1827990,19984,136779,0,136779,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:49:58 CEST 2011,805104,129405,129405.0,0.0,0
2244000,2228722,4816,2223906,15278,165423,0,165423,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:51:16 CEST 2011,882426,127898,127898.0,0.0,0
4220700,4187353,9082,4178271,33347,286961,0,286961,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:53:16 CEST 2011,1003081,130363,130363.0,0.0,0
1881000,1869714,4081,1865633,11286,205656,0,205656,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:50:18 CEST 2011,824864,130774,130774.0,0.0,0
2600400,2579731,5721,2574010,20669,171647,0,171647,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:52:04 CEST 2011,930012,129462,129462.0,0.0,0
2187900,2164743,4705,2160038,23157,119646,0,119646,Sat Jun 25 16:36:33 CEST 2011,Sat Jun 25 16:51:23 CEST 2011,889854,130073,130073.0,0.0,0
1881000,1861543,4102,1857441,19457,79753,0,79753,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:50:19 CEST 2011,825388,133482,133482.0,0.0,0
2603700,2574142,4169,2569973,29558,111124,0,111124,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:52:07 CEST 2011,932670,132088,132088.0,0.0,0
3342900,3316224,7684,3308540,26676,214350,0,214350,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:52:56 CEST 2011,982135,130219,130219.0,0.0,0
2679600,2659424,4675,2654749,20176,148393,0,148393,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:52:12 CEST 2011,938363,135010,135010.0,0.0,0
1772100,1752167,4575,1747592,19933,82225,0,82225,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:49:46 CEST 2011,791903,133003,133003.0,0.0,0
1821600,1805943,4330,1801613,15657,97814,0,97814,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:50:10 CEST 2011,815909,135212,135212.0,0.0,0
2178000,2163293,4233,2159060,14707,138383,0,138383,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:51:06 CEST 2011,872762,129144,129144.0,0.0,0
1861200,1845437,4385,1841052,15763,108216,0,108216,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:50:16 CEST 2011,822230,126108,126108.0,0.0,0
3052500,3034507,6246,3028261,17993,260686,0,260686,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:52:38 CEST 2011,963923,126462,126462.0,0.0,0
3102000,3079918,5867,3074051,22082,219007,0,219007,Sat Jun 25 16:36:34 CEST 2011,Sat Jun 25 16:52:41 CEST 2011,967283,124614,124614.0,0.0,0
