iteration,cost,penalty,softConstraintViolations
1,112295,0.125,102
2,104763,0.25,102
3,102119,0.375,102
4,102313,0.5,94
5,100452,0.625,94
6,111374,0.75,63
7,124717,0.875,32
8,127769,1.0,22
9,138820,1.125,9
10,142178,1.25,5
11,142355,1.375,3
12,142355,1.5,2
13,140929,1.625,2
14,141761,1.75,1
15,140780,1.875,1
16,140181,2.0,1
17,139682,2.125,1
18,139188,2.25,1
19,139010,2.375,1
20,138689,2.5,1
21,141840,2.375,0
22,141175,2.25,0
23,140551,2.125,0
24,140475,2.0,0
25,139950,1.875,0
26,139950,1.75,0
27,139950,1.625,0
28,139950,1.5,0
29,139950,1.375,0
30,139950,1.25,0
31,139950,1.125,0
32,139950,1.0,0
33,139950,0.875,0
34,139950,0.75,0
35,139950,0.625,0
36,139950,0.5,0
37,139950,0.375,0
38,139950,0.25,0
39,139950,0.125,0
40,136535,0.25,19
41,133899,0.375,22
42,132230,0.5,22
43,134241,0.625,15
44,134951,0.75,10
45,135420,0.875,6
46,135420,1.0,4
47,135420,1.125,3
48,137198,1.25,1
49,136054,1.375,1
50,135811,1.5,1
51,135409,1.625,1
52,136516,1.5,0
53,136454,1.375,0
54,136430,1.25,0
55,136406,1.125,0
56,136024,1.0,0
57,136024,0.875,0
58,136024,0.75,0
59,136024,0.625,0
60,136024,0.5,0
61,136024,0.375,0
62,136024,0.25,0
63,136024,0.125,0
64,136024,0.0,0
65,133058,0.125,27
66,131059,0.25,15
67,130284,0.375,15
68,132809,0.5,4
69,131030,0.625,5
70,129998,0.75,5
71,133074,0.625,0
72,132710,0.5,0
73,132603,0.375,0
74,132322,0.25,0
75,131192,0.375,2
76,129442,0.5,2
77,128044,0.625,2
78,127907,0.75,1
79,127693,0.875,1
80,127584,1.0,1
81,127545,1.125,1
82,127545,1.25,1
83,127545,1.375,1
84,127545,1.5,1
85,127545,1.625,1
86,127545,1.75,1
87,127545,1.875,1
88,127545,2.0,1
89,129517,1.875,0
90,129088,1.75,0
91,128449,1.625,0
92,128319,1.5,0
93,128231,1.375,0
94,128231,1.25,0
95,128231,1.125,0
96,128231,1.0,0
97,128231,0.875,0
98,128231,0.75,0
99,128231,0.625,0
100,128231,0.5,0
101,128231,0.375,0
102,128231,0.25,0
103,128231,0.125,0
104,128231,0.0,0
105,128231,0.0,0
106,128231,0.0,0
107,128038,0.125,8
108,126159,0.25,9
109,126159,0.375,8
110,126404,0.5,7
111,126894,0.625,6
112,128261,0.75,4
113,128973,0.875,3
114,128973,1.0,3
115,131538,0.875,0
116,131431,0.75,0
117,131431,0.625,0
118,131431,0.5,0
119,131431,0.375,0
120,131431,0.25,0
121,131431,0.125,0
122,131431,0.0,0
123,131431,0.0,0
124,131431,0.0,0
125,131431,0.0,0
126,131379,0.125,17
127,129624,0.25,20
128,131105,0.375,8
129,130414,0.5,8
130,130419,0.625,5
131,130460,0.75,4
132,131069,0.875,2
133,131944,0.75,0
134,129943,0.875,1
135,129352,1.0,1
136,128848,1.125,1
137,128713,1.25,1
138,127883,1.375,1
139,127634,1.5,1
140,127634,1.625,1
141,127634,1.75,1
142,127634,1.875,1
143,127634,2.0,1
144,127634,2.125,1
145,127634,2.25,1
146,127634,2.375,1
147,127634,2.5,1
148,127634,2.625,1
149,127634,2.75,1
150,127634,2.875,1
151,127634,3.0,1
152,127634,3.125,1
153,127634,3.25,1
154,127634,3.375,1
155,127634,3.5,1
156,127634,3.625,1
157,127634,3.75,1
158,127634,3.875,1
159,127634,4.0,1
160,127634,4.125,1
161,127634,4.25,1
162,127634,4.375,1
163,127634,4.5,1
164,127634,4.625,1
165,127634,4.75,1
166,127634,4.875,1
167,127634,5.0,1
168,127634,5.125,1
169,127634,5.25,1
170,127634,5.375,1
171,127634,5.5,1
172,127634,5.625,1
173,127634,5.75,1
174,134666,5.625,0
175,133812,5.5,0
176,130613,5.375,0
177,130416,5.25,0
178,129781,5.125,0
179,129781,5.0,0
180,129781,4.875,0
181,129781,4.75,0
182,129781,4.625,0
183,129781,4.5,0
184,129781,4.375,0
185,129781,4.25,0
186,129781,4.125,0
187,129781,4.0,0
188,129781,3.875,0
189,129781,3.75,0
190,129781,3.625,0
191,129781,3.5,0
