neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
2733192,2712872,4675,2708197,20320,151912,0,151912,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:51:15 CEST 2011,999082,135010,135010.0,0.0,0
2659140,2638576,5519,2633057,20564,171188,0,171188,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:51:10 CEST 2011,993919,134447,134447.0,0.0,0
1773882,1753879,3821,1750058,20003,83868,0,83868,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:47:53 CEST 2011,797547,135165,135165.0,0.0,0
1992672,1975094,4256,1970838,17578,146984,0,146984,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:48:50 CEST 2011,854375,128231,128231.0,0.0,0
4069494,4027108,8871,4018237,42386,272639,0,272639,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:53:15 CEST 2011,1118503,128438,128438.0,0.0,0
2854368,2829319,5986,2823333,25049,166717,0,166717,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:51:29 CEST 2011,1013069,127692,127692.0,0.0,0
1868130,1848451,3395,1845056,19679,99351,0,99351,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:48:15 CEST 2011,818777,132663,132663.0,0.0,0
2268684,2246066,4483,2241583,22618,134319,0,134319,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:50:01 CEST 2011,924843,128186,128186.0,0.0,0
3106818,3085461,5893,3079568,21357,179498,0,179498,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:51:59 CEST 2011,1043042,130835,130835.0,0.0,0
2049894,2028238,4276,2023962,21656,112727,0,112727,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:49:26 CEST 2011,889576,128334,128334.0,0.0,0
2201364,2179151,4617,2174534,22213,89887,0,89887,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:49:53 CEST 2011,916622,133013,133013.0,0.0,0
5213934,5185976,11215,5174761,27958,404429,0,404429,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:53:43 CEST 2011,1146119,125579,125579.0,0.0,0
1773882,1754980,2711,1752269,18902,86463,0,86463,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:10 CEST 2011,813716,136087,136087.0,0.0,0
1851300,1835186,3595,1831591,16114,124616,0,124616,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:32 CEST 2011,835744,134509,134509.0,0.0,0
3140478,3112510,5884,3106626,27968,185231,0,185231,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:52:09 CEST 2011,1051913,130567,130567.0,0.0,0
2938518,2922549,5906,2916643,15969,180239,0,180239,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:51:35 CEST 2011,1018676,129861,129861.0,0.0,0
1787346,1771667,3810,1767857,15679,93855,0,93855,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:04 CEST 2011,807387,133725,133725.0,0.0,0
2494206,2466880,4574,2462306,27326,129390,0,129390,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:50:38 CEST 2011,961592,130374,130374.0,0.0,0
1760418,1742028,3473,1738555,18390,66224,0,66224,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:05 CEST 2011,807868,133562,133562.0,0.0,0
1783980,1772947,4058,1768889,11033,149727,0,149727,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:07 CEST 2011,810115,129154,129154.0,0.0,0
2076822,2057981,4197,2053784,18841,135934,0,135934,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:49:30 CEST 2011,892823,129803,129803.0,0.0,0
2181168,2162951,4288,2158663,18217,127496,0,127496,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:49:45 CEST 2011,907997,130967,130967.0,0.0,0
1767150,1748959,3668,1745291,18191,85081,0,85081,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:00 CEST 2011,802768,128810,128810.0,0.0,0
2255220,2238307,5015,2233292,16913,175832,0,175832,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:49:53 CEST 2011,916277,131376,131376.0,0.0,0
1757052,1737190,3066,1734124,19862,131271,0,131271,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:47:27 CEST 2011,770458,134851,134851.0,0.0,0
2181168,2157653,3944,2153709,23515,97801,0,97801,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:50:06 CEST 2011,929471,133114,133114.0,0.0,0
2009502,1989914,4238,1985676,19588,109774,0,109774,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:49:19 CEST 2011,882144,132703,132703.0,0.0,0
1800810,1789643,3994,1785649,11167,111519,0,111519,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:48:08 CEST 2011,810965,135756,135756.0,0.0,0
3265020,3240252,7083,3233169,24768,236692,0,236692,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:52:13 CEST 2011,1056431,126602,126602.0,0.0,0
3880998,3854426,7450,3846976,26572,300357,0,300357,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:52:55 CEST 2011,1098485,133308,133308.0,0.0,0
5829912,5779325,12674,5766651,50587,576672,0,576672,Sat Jun 25 13:34:37 CEST 2011,Sat Jun 25 13:53:54 CEST 2011,1157061,125603,125603.0,0.0,0
