neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
618816,612950,7237,605713,5866,142482,0,142482,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:27 CEST 2011,136427,133629,133629.0,0.0,0
450384,447763,5275,442488,2621,148351,0,148351,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:11 CEST 2011,120073,128872,128872.0,0.0,0
503184,498676,6368,492308,4508,117146,0,117146,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:20 CEST 2011,129722,134240,134240.0,0.0,0
301488,299195,3707,295488,2293,80402,0,80402,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:20:46 CEST 2011,95540,133888,133888.0,0.0,0
460416,456896,4831,452065,3520,117646,0,117646,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:13 CEST 2011,121681,131950,131950.0,0.0,0
278256,275433,3354,272079,2823,57013,0,57013,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:20:43 CEST 2011,91819,136050,136050.0,0.0,0
274032,271560,3058,268502,2472,75890,0,75890,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:20:39 CEST 2011,88397,140052,140052.0,0.0,0
618816,612950,7237,605713,5866,142482,0,142482,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:26 CEST 2011,135431,133629,133629.0,0.0,0
628320,622892,8281,614611,5428,151777,0,151777,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:27 CEST 2011,135845,134897,134897.0,0.0,0
450384,447763,5275,442488,2621,148351,0,148351,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:13 CEST 2011,121853,128872,128872.0,0.0,0
365904,362648,4117,358531,3256,85194,0,85194,Sat Jun 25 15:19:11 CEST 2011,Sat Jun 25 15:21:04 CEST 2011,112558,135553,135553.0,0.0,0
