iteration,cost,penalty,softConstraintViolations
1,110867,0.125,102
2,106465,0.25,102
3,104094,0.375,102
4,100916,0.5,102
5,102462,0.625,92
6,104533,0.75,82
7,104836,0.875,78
8,108143,1.0,66
9,109122,1.125,61
10,113599,1.25,51
11,120715,1.375,39
12,120057,1.5,35
13,120512,1.625,31
14,124771,1.75,25
15,128507,1.875,19
16,131457,2.0,15
17,134624,2.125,11
18,138651,2.25,7
19,140215,2.375,5
20,147968,2.5,1
21,148167,2.375,0
22,146395,2.25,0
23,144635,2.125,0
24,143091,2.0,0
25,141945,1.875,0
26,141744,1.75,0
27,140544,1.625,0
28,140389,1.5,0
29,140146,1.375,0
30,132304,1.5,4
31,132684,1.625,2
32,132034,1.75,2
33,131724,1.875,2
34,131711,1.75,0
35,131671,1.625,0
36,131679,1.5,0
37,131349,1.375,0
38,129261,1.5,1
39,129327,1.375,0
40,129241,1.25,0
41,128839,1.125,0
42,129029,1.0,0
43,129403,0.875,0
44,129104,0.75,0
45,129506,0.625,0
46,129787,0.5,0
47,129413,0.375,0
48,128238,0.5,2
49,127854,0.625,2
50,125941,0.75,4
51,125754,0.875,4
52,127910,1.0,2
53,128009,1.125,2
54,130818,1.0,0
55,130283,0.875,0
56,128127,0.75,0
57,128028,0.625,0
58,128174,0.5,0
59,128279,0.375,0
60,127357,0.5,2
61,127205,0.625,2
62,127106,0.75,2
63,127252,0.875,2
64,127401,1.0,2
65,128456,0.875,0
66,128178,0.75,0
67,128220,0.625,0
68,128325,0.5,0
69,128283,0.375,0
70,127059,0.5,2
71,126954,0.625,2
72,127337,0.75,2
73,128751,0.625,0
74,128725,0.5,0
75,128744,0.375,0
76,128770,0.25,0
77,127356,0.375,2
78,125759,0.5,6
79,125054,0.625,6
80,127697,0.75,2
81,128995,0.625,0
82,128561,0.5,0
83,125918,0.625,4
84,125813,0.75,4
85,125885,0.875,4
86,128528,0.75,0
87,128475,0.625,0
88,128293,0.5,0
89,128392,0.375,0
90,125434,0.5,6
91,125829,0.625,5
92,128787,0.5,0
93,128522,0.375,0
94,128423,0.25,0
95,127501,0.375,2
96,125730,0.5,5
97,125710,0.625,4
98,125489,0.75,4
99,125060,0.875,4
100,126357,1.0,2
101,127481,0.875,0
102,126663,0.75,0
103,126765,0.625,0
104,126903,0.5,0
105,126801,0.375,0
106,125677,0.5,2
107,125524,0.625,2
108,126639,0.5,0
109,125553,0.375,0
110,123210,0.5,4
111,123052,0.625,4
112,125395,0.5,0
