iteration,cost,penalty,softConstraintViolations
1,115181,0.125,102
2,112011,0.25,102
3,108006,0.375,102
4,104830,0.5,102
5,102050,0.625,102
6,111284,0.75,70
7,125755,0.875,38
8,141092,1.0,8
9,139807,1.125,7
10,142685,1.25,3
11,143822,1.125,0
12,141698,1.0,0
13,140741,0.875,0
14,140126,0.75,0
15,139654,0.625,0
16,138272,0.75,1
17,138927,0.625,0
18,138505,0.5,0
19,134963,0.625,4
20,134963,0.75,3
21,134604,0.875,3
22,135388,1.0,2
23,136255,1.125,1
24,136048,1.25,1
25,135876,1.375,1
26,135840,1.5,1
27,135840,1.625,1
28,135840,1.75,1
29,135876,1.875,1
30,135876,2.0,1
31,135876,2.125,1
32,138705,2.0,0
33,137921,1.875,0
34,137885,1.75,0
35,137885,1.625,0
36,137885,1.5,0
37,137885,1.375,0
38,137885,1.25,0
39,137921,1.125,0
40,137921,1.0,0
41,135092,1.125,2
42,137659,1.0,0
43,137623,0.875,0
44,135056,1.0,2
45,135056,1.125,2
46,135056,1.25,2
47,135840,1.375,1
48,135840,1.5,1
49,135934,1.625,1
50,135934,1.75,1
51,135934,1.875,1
52,135934,2.0,1
53,135934,2.125,1
54,138763,2.0,0
55,137958,1.875,0
56,137958,1.75,0
57,137958,1.625,0
58,137958,1.5,0
59,137958,1.375,0
60,137994,1.25,0
61,137994,1.125,0
62,137921,1.0,0
63,135092,1.125,2
64,135876,1.25,1
65,135970,1.375,1
66,135970,1.5,1
67,135970,1.625,1
68,135970,1.75,1
69,136086,1.875,1
70,137605,1.75,0
71,137179,1.625,0
72,136870,1.5,0
73,136776,1.375,0
74,136776,1.25,0
75,136664,1.125,0
76,136322,1.0,0
77,136222,0.875,0
78,136222,0.75,0
79,136222,0.625,0
80,136222,0.5,0
81,136316,0.375,0
82,135108,0.5,2
83,135014,0.625,2
84,136349,0.5,0
85,135808,0.375,0
86,135295,0.25,0
87,134802,0.125,0
88,133169,0.25,4
89,132296,0.375,4
90,131606,0.5,4
91,131266,0.625,4
92,133764,0.5,0
93,133762,0.375,0
94,131264,0.5,4
95,131018,0.625,4
96,131380,0.75,3
97,134001,0.625,0
98,134001,0.5,0
99,131380,0.625,3
100,131380,0.75,3
101,131380,0.875,3
102,131380,1.0,3
103,134001,0.875,0
104,134001,0.75,0
105,134001,0.625,0
106,131534,0.75,3
107,131380,0.875,3
108,131380,1.0,3
109,132592,1.125,2
110,132108,1.25,2
111,131408,1.375,2
112,130916,1.5,2
113,130743,1.625,2
114,132536,1.75,1
115,134691,1.625,0
116,134424,1.5,0
117,134073,1.375,0
118,133545,1.25,0
119,132854,1.125,0
120,132518,1.0,0
