iteration,cost,penalty,softConstraintViolations
1,108538,0.125,102
2,103534,0.25,102
3,98775,0.375,102
4,98713,0.5,94
5,98903,0.625,88
6,109242,0.75,62
7,123213,0.875,31
8,125420,1.0,23
9,130693,1.125,15
10,131619,1.25,12
11,137516,1.375,5
12,139296,1.5,2
13,136859,1.625,2
14,138684,1.5,0
15,137719,1.375,0
16,136875,1.25,0
17,134176,1.375,1
18,135333,1.25,0
19,134485,1.125,0
20,133668,1.0,0
21,133328,0.875,0
22,133170,0.75,0
23,133030,0.625,0
24,132770,0.5,0
25,130528,0.625,2
26,129923,0.75,2
27,129644,0.875,2
28,129621,1.0,2
29,131986,0.875,0
30,131946,0.75,0
31,130937,0.875,1
32,130937,1.0,1
33,131946,0.875,0
34,131928,0.75,0
35,131928,0.625,0
36,131928,0.5,0
37,129563,0.625,3
38,130179,0.75,2
39,129648,0.875,2
40,129648,1.0,2
41,132013,0.875,0
42,131986,0.75,0
43,129621,0.875,2
44,129621,1.0,2
45,131986,0.875,0
46,131946,0.75,0
47,130937,0.875,1
48,130937,1.0,1
49,131946,0.875,0
50,131928,0.75,0
51,131928,0.625,0
52,131928,0.5,0
53,129563,0.625,3
54,130179,0.75,2
55,129648,0.875,2
56,129648,1.0,2
57,132013,0.875,0
58,131986,0.75,0
59,129621,0.875,2
60,129621,1.0,2
61,131986,0.875,0
62,131946,0.75,0
63,131928,0.625,0
64,131928,0.5,0
65,129563,0.625,3
66,129648,0.75,2
67,129621,0.875,2
68,129621,1.0,2
69,131986,0.875,0
70,131946,0.75,0
71,131928,0.625,0
72,131928,0.5,0
73,129563,0.625,3
74,129648,0.75,2
75,129621,0.875,2
76,129644,1.0,2
77,132009,0.875,0
78,131969,0.75,0
79,131946,0.625,0
80,131946,0.5,0
81,129581,0.625,3
82,130152,0.75,2
83,130152,0.875,2
84,130152,1.0,2
85,132517,0.875,0
86,131946,0.75,0
87,131928,0.625,0
88,131928,0.5,0
89,129563,0.625,3
90,130179,0.75,2
91,129648,0.875,2
92,129731,1.0,2
93,132096,0.875,0
94,132009,0.75,0
95,129644,0.875,2
96,129644,1.0,2
97,129410,1.125,2
98,131775,1.0,0
99,131735,0.875,0
100,131735,0.75,0
101,131735,0.625,0
102,131735,0.5,0
