neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1817904,1814292,4433,1809859,3612,145770,0,145770,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:18 CEST 2011,786928,128822,128822.0,0.0,0
1756920,1753068,3525,1749543,3852,141540,0,141540,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:57:45 CEST 2011,753638,131092,131092.0,0.0,0
2398704,2392191,7272,2384919,6513,198393,0,198393,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:36 CEST 2011,924701,130213,130213.0,0.0,0
1983432,1978518,4243,1974275,4914,196560,0,196560,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:31 CEST 2011,858991,130969,130969.0,0.0,0
3275712,3267871,6981,3260890,7841,262245,0,262245,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:01:31 CEST 2011,979399,129645,129645.0,0.0,0
2125728,2121758,4556,2117202,3970,143481,0,143481,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:55 CEST 2011,882887,134027,134027.0,0.0,0
1588488,1584946,3531,1581415,3542,119577,0,119577,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:12 CEST 2011,780820,126900,126900.0,0.0,0
1896312,1891518,4996,1886522,4794,206238,0,206238,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:10 CEST 2011,778168,124583,124583.0,0.0,0
1835328,1830082,4253,1825829,5246,168690,0,168690,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:24 CEST 2011,791912,129160,129160.0,0.0,0
1582680,1579740,3649,1576091,2940,118989,0,118989,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:56:18 CEST 2011,666273,128151,128151.0,0.0,0
2419032,2413223,5623,2407600,5809,186657,0,186657,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:32 CEST 2011,919740,131954,131954.0,0.0,0
1530408,1526122,4058,1522064,4286,150345,0,150345,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:32 CEST 2011,800193,136040,136040.0,0.0,0
1777248,1774074,4521,1769553,3174,127938,0,127938,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:57:34 CEST 2011,742074,127671,127671.0,0.0,0
1905024,1900748,4543,1896205,4276,171051,0,171051,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:32 CEST 2011,860117,131539,131539.0,0.0,0
1713360,1708965,3675,1705290,4395,185403,0,185403,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:12 CEST 2011,779716,132849,132849.0,0.0,0
2070552,2063800,6961,2056839,6752,155400,0,155400,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:51 CEST 2011,939098,134386,134386.0,0.0,0
3275712,3267871,6981,3260890,7841,262245,0,262245,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:01:31 CEST 2011,979121,129645,129645.0,0.0,0
2729760,2724252,7955,2716297,5508,246750,0,246750,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:46 CEST 2011,933706,126757,126757.0,0.0,0
1951488,1947200,4707,1942493,4288,286374,0,286374,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:55 CEST 2011,823436,128532,128532.0,0.0,0
1666896,1663261,4756,1658505,3635,119862,0,119862,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:25 CEST 2011,793549,128361,128361.0,0.0,0
1925352,1921870,3783,1918087,3482,132738,0,132738,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:46 CEST 2011,814037,132902,132902.0,0.0,0
2050224,2045639,4335,2041304,4585,177588,0,177588,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:54 CEST 2011,882110,134776,134776.0,0.0,0
1919544,1914680,4144,1910536,4864,155328,0,155328,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:55 CEST 2011,822807,131904,131904.0,0.0,0
1751112,1746128,4509,1741619,4984,149358,0,149358,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:26 CEST 2011,853565,132815,132815.0,0.0,0
2439360,2434970,4779,2430191,4390,161178,0,161178,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:18 CEST 2011,905945,131170,131170.0,0.0,0
2015376,2010704,5621,2005083,4672,170913,0,170913,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:19 CEST 2011,846171,129265,129265.0,0.0,0
1922448,1916725,5288,1911437,5723,173631,0,173631,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:20 CEST 2011,908011,133375,133375.0,0.0,0
3304752,3297752,8054,3289698,7000,272229,0,272229,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:01:29 CEST 2011,977105,131292,131292.0,0.0,0
1594296,1590134,4112,1586022,4162,107334,0,107334,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:56:59 CEST 2011,707152,127545,127545.0,0.0,0
4085928,4077086,10128,4066958,8842,266160,0,266160,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:01:44 CEST 2011,991326,129588,129588.0,0.0,0
1942776,1938471,5229,1933242,4305,144219,0,144219,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:36 CEST 2011,863384,132955,132955.0,0.0,0
1849848,1844799,5228,1839571,5049,159054,0,159054,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:33 CEST 2011,860893,130915,130915.0,0.0,0
2282544,2275241,5645,2269596,7303,175428,0,175428,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:59 CEST 2011,886370,131122,131122.0,0.0,0
2102496,2094322,5005,2089317,8174,212898,0,212898,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:00:16 CEST 2011,904001,126453,126453.0,0.0,0
2729760,2723429,8083,2715346,6331,213453,0,213453,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:01:06 CEST 2011,953359,129219,129219.0,0.0,0
4085928,4077086,10123,4066963,8842,266160,0,266160,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 16:01:44 CEST 2011,992036,129588,129588.0,0.0,0
1617528,1614329,3943,1610386,3199,109584,0,109584,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:58:11 CEST 2011,778932,133391,133391.0,0.0,0
1724976,1721417,3992,1717425,3559,138087,0,138087,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:57:48 CEST 2011,755689,126357,126357.0,0.0,0
1661088,1656174,3860,1652314,4914,150246,0,150246,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:57:46 CEST 2011,753444,129160,129160.0,0.0,0
1849848,1844799,5229,1839570,5049,159054,0,159054,Sat Jun 25 15:45:12 CEST 2011,Sat Jun 25 15:59:25 CEST 2011,852810,130915,130915.0,0.0,0
