iteration,cost,penalty,softConstraintViolations
1,109852,0.125,102
2,105717,0.25,102
3,102545,0.375,102
4,99045,0.5,102
5,99338,0.625,94
6,99851,0.75,86
7,110603,0.875,60
8,124991,1.0,32
9,130070,1.125,20
10,136209,1.25,10
11,140472,1.375,5
12,139060,1.5,3
13,138623,1.625,2
14,138858,1.75,1
15,136928,1.875,1
16,137590,1.75,0
17,136872,1.625,0
18,136257,1.5,0
19,136257,1.375,0
20,136281,1.25,0
21,136281,1.125,0
22,136390,1.0,0
23,136307,0.875,0
24,136283,0.75,0
25,136283,0.625,0
26,136294,0.5,0
27,135547,0.625,1
28,136162,0.5,0
29,136151,0.375,0
30,131300,0.5,9
31,130243,0.625,8
32,129720,0.75,8
33,130185,0.875,6
34,129726,1.0,6
35,129836,1.125,5
36,131858,1.25,3
37,132576,1.375,2
38,131961,1.5,2
39,132918,1.625,1
40,134227,1.5,0
41,134120,1.375,0
42,134120,1.25,0
43,134227,1.125,0
44,132918,1.25,1
45,132957,1.375,1
46,132957,1.5,1
47,133176,1.625,1
48,134339,1.5,0
49,134339,1.375,0
50,134458,1.25,0
51,134458,1.125,0
52,133149,1.25,1
53,133149,1.375,1
54,133176,1.5,1
55,133565,1.625,1
56,134728,1.5,0
57,134509,1.375,0
58,134507,1.25,0
59,134504,1.125,0
60,134504,1.0,0
61,134507,0.875,0
62,133198,1.0,1
63,133198,1.125,1
64,133346,1.25,1
65,133346,1.375,1
66,134509,1.25,0
67,134512,1.125,0
68,134512,1.0,0
69,133355,1.125,1
70,134524,1.0,0
71,134524,0.875,0
72,133355,1.0,1
73,133361,1.125,1
74,134527,1.0,0
75,134527,0.875,0
76,133361,1.0,1
77,133592,1.125,1
78,134735,1.0,0
79,134731,0.875,0
80,134731,0.75,0
81,133574,0.875,1
82,133565,1.0,1
83,134728,0.875,0
84,134738,0.75,0
85,133429,0.875,1
86,133429,1.0,1
87,134738,0.875,0
88,133781,1.0,1
89,133501,1.125,1
90,133270,1.25,1
91,134644,1.125,0
92,134631,1.0,0
93,133240,1.125,1
94,134120,1.0,0
95,134120,0.875,0
96,134227,0.75,0
97,132918,0.875,1
98,132918,1.0,1
99,134227,0.875,0
100,133356,1.0,1
101,134388,0.875,0
102,133079,1.0,1
103,133079,1.125,1
104,134388,1.0,0
105,134281,0.875,0
106,134281,0.75,0
107,133118,0.875,1
108,133118,1.0,1
109,133337,1.125,1
110,132703,1.25,1
111,131832,1.375,1
112,132995,1.25,0
113,132967,1.125,0
114,132921,1.0,0
115,132921,0.875,0
116,131612,1.0,1
117,131612,1.125,1
118,131658,1.25,1
119,131658,1.375,1
120,132967,1.25,0
121,132995,1.125,0
122,133055,1.0,0
123,133055,0.875,0
124,131892,1.0,1
125,131892,1.125,1
126,131832,1.25,1
127,132239,1.375,1
128,133402,1.25,0
129,133401,1.125,0
130,133355,1.0,0
131,133355,0.875,0
132,132046,1.0,1
133,132046,1.125,1
134,132092,1.25,1
135,132092,1.375,1
136,133401,1.25,0
137,133402,1.125,0
138,133462,1.0,0
139,133462,0.875,0
140,132299,1.0,1
141,132299,1.125,1
142,132239,1.25,1
143,132647,1.375,1
144,133810,1.25,0
145,133403,1.125,0
146,133375,1.0,0
147,133329,0.875,0
148,132020,1.0,1
149,132020,1.125,1
150,133329,1.0,0
151,133375,0.875,0
152,132066,1.0,1
153,132066,1.125,1
154,132240,1.25,1
155,132240,1.375,1
156,133403,1.25,0
157,133463,1.125,0
158,133463,1.0,0
159,132300,1.125,1
160,132300,1.25,1
161,132707,1.375,1
162,133870,1.25,0
163,133763,1.125,0
164,133763,1.0,0
165,132454,1.125,1
166,132454,1.25,1
167,132500,1.375,1
168,133809,1.25,0
169,133809,1.125,0
170,132500,1.25,1
171,132996,1.375,1
172,134305,1.25,0
173,133871,1.125,0
174,133463,1.0,0
175,132967,0.875,0
176,131658,1.0,1
177,131612,1.125,1
178,132921,1.0,0
179,132921,0.875,0
180,131612,1.0,1
181,131658,1.125,1
182,132967,1.0,0
183,132995,0.875,0
184,131832,1.0,1
185,131832,1.125,1
186,132995,1.0,0
187,133055,0.875,0
188,131892,1.0,1
189,131892,1.125,1
190,133055,1.0,0
191,133462,0.875,0
192,133355,0.75,0
193,132046,0.875,1
194,132046,1.0,1
195,133355,0.875,0
196,133401,0.75,0
197,132092,0.875,1
198,132092,1.0,1
199,133401,0.875,0
200,133402,0.75,0
201,132239,0.875,1
202,132239,1.0,1
203,133402,0.875,0
204,133462,0.75,0
205,132299,0.875,1
206,132299,1.0,1
207,131419,1.125,2
208,131012,1.25,2
209,132175,1.375,1
210,133566,1.25,0
211,133338,1.125,0
212,133338,1.0,0
213,131964,1.125,1
214,131964,1.25,1
215,132010,1.375,1
216,133384,1.25,0
217,133384,1.125,0
218,133394,1.0,0
219,133348,0.875,0
220,132039,1.0,1
221,132029,1.125,1
222,132029,1.25,1
223,132039,1.375,1
224,133348,1.25,0
225,133394,1.125,0
226,133516,1.0,0
227,133506,0.875,0
228,132115,1.0,1
229,132115,1.125,1
230,133163,1.0,0
231,133038,0.875,0
232,131729,1.0,1
233,131979,1.125,1
234,129981,1.25,2
235,131290,1.375,1
236,131415,1.5,1
237,133413,1.375,0
238,133288,1.25,0
239,133696,1.125,0
240,131698,1.25,1
241,131823,1.375,1
242,133821,1.25,0
243,133571,1.125,0
244,133446,1.0,0
245,132137,1.125,1
246,132387,1.25,1
247,130389,1.375,2
248,130660,1.5,2
249,130252,1.625,2
250,132250,1.75,1
251,132000,1.875,1
252,134712,1.75,0
253,134496,1.625,0
254,134716,1.5,0
255,134537,1.375,0
256,134803,1.25,0
257,135096,1.125,0
258,134718,1.0,0
259,134123,0.875,0
260,132913,1.0,1
261,132582,1.125,1
262,133355,1.0,0
263,132953,0.875,0
264,132872,0.75,0
265,130874,0.875,2
266,130409,1.0,2
267,130387,1.125,2
268,131814,1.25,1
269,131814,1.375,1
270,131836,1.5,1
271,131836,1.625,1
272,133813,1.5,0
273,133791,1.375,0
274,133791,1.25,0
275,133812,1.125,0
276,133812,1.0,0
277,132385,1.125,1
278,130387,1.25,2
279,130409,1.375,2
280,130484,1.5,2
281,131911,1.625,1
282,133909,1.5,0
283,133834,1.375,0
284,133834,1.25,0
285,133813,1.125,0
286,133888,1.0,0
287,132482,1.125,1
288,132947,1.0,0
289,132872,0.875,0
290,132953,0.75,0
291,133028,0.625,0
292,133028,0.5,0
293,131030,0.625,2
294,130565,0.75,2
295,130484,0.875,2
296,130462,1.0,2
297,130462,1.125,2
298,130290,1.25,2
299,130232,1.375,2
300,132032,1.5,1
301,133882,1.375,0
302,132082,1.5,1
303,131970,1.625,1
304,133968,1.5,0
305,133887,1.375,0
306,131889,1.5,1
307,131889,1.625,1
308,133866,1.5,0
309,133866,1.375,0
310,133887,1.25,0
311,133909,1.125,0
312,131911,1.25,1
313,131992,1.375,1
314,131917,1.5,1
315,131895,1.625,1
316,133872,1.5,0
317,133872,1.375,0
318,133893,1.25,0
319,133893,1.125,0
320,131895,1.25,1
321,131814,1.375,1
322,131814,1.5,1
323,131836,1.625,1
324,133813,1.5,0
325,133791,1.375,0
326,133791,1.25,0
327,133812,1.125,0
328,133812,1.0,0
329,132385,1.125,1
330,130387,1.25,2
331,130387,1.375,2
332,130409,1.5,2
333,132290,1.625,1
334,133399,1.5,0
335,132456,1.375,0
336,132404,1.25,0
337,132382,1.125,0
338,132382,1.0,0
339,132404,0.875,0
340,132456,0.75,0
341,132434,0.625,0
342,131346,0.75,1
343,131346,0.875,1
344,132434,0.75,0
345,132515,0.625,0
346,131427,0.75,1
347,131427,0.875,1
348,132515,0.75,0
349,132463,0.625,0
350,132463,0.5,0
351,132485,0.375,0
352,132485,0.25,0
353,128406,0.375,9
354,126263,0.5,11
355,126182,0.625,10
356,131742,0.75,2
357,130659,0.875,3
358,131569,1.0,2
359,132652,1.125,1
360,133314,1.0,0
361,132976,0.875,0
362,132954,0.75,0
363,132954,0.625,0
364,132976,0.5,0
365,133028,0.375,0
366,131868,0.5,2
367,131553,0.625,2
368,132138,0.75,1
369,132116,0.875,1
370,132101,1.0,1
371,132098,1.125,1
372,132098,1.25,1
373,133644,1.125,0
374,133541,1.0,0
375,131995,1.125,1
376,132010,1.25,1
377,133556,1.125,0
378,133561,1.0,0
379,133509,0.875,0
380,133531,0.75,0
381,133583,0.625,0
382,132671,0.75,1
383,132773,0.625,0
384,132721,0.5,0
385,132699,0.375,0
386,128620,0.5,8
387,126477,0.625,10
388,132037,0.75,2
389,131720,0.875,2
390,132382,0.75,0
391,132382,0.625,0
392,132404,0.5,0
393,132404,0.375,0
394,128325,0.5,8
395,128128,0.625,8
396,132207,0.75,1
397,132793,0.625,0
398,132771,0.5,0
399,132771,0.375,0
400,132185,0.5,1
401,132185,0.625,1
402,132266,0.75,1
403,132463,0.625,0
404,132463,0.5,0
405,132485,0.375,0
406,132485,0.25,0
407,128406,0.375,9
408,126263,0.5,11
409,126182,0.625,10
410,131742,0.75,2
411,130659,0.875,3
412,131569,1.0,2
413,132652,1.125,1
414,133314,1.0,0
415,132976,0.875,0
416,132954,0.75,0
417,132954,0.625,0
418,132976,0.5,0
419,133028,0.375,0
420,131868,0.5,2
421,132456,0.375,0
422,128377,0.5,8
423,126234,0.625,10
424,131794,0.75,2
425,130711,0.875,3
426,131621,1.0,2
427,132682,1.125,1
428,133765,1.0,0
429,133670,0.875,0
430,133618,0.75,0
431,132535,0.875,1
432,131692,1.0,1
433,131692,1.125,1
434,131714,1.25,1
435,131714,1.375,1
436,131809,1.5,1
437,131787,1.625,1
438,131763,1.75,1
439,131763,1.875,1
440,131752,2.0,1
441,130990,2.125,1
442,130959,2.25,1
443,130864,2.375,1
444,130886,2.5,1
445,134181,2.375,0
446,133843,2.25,0
447,133528,2.125,0
