neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
2887335,2881880,6925,2874955,5455,261504,0,261504,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:12:23 CEST 2011,1108248,124378,124378.0,0.0,0
2589510,2583227,6672,2576555,6283,318219,0,318219,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:12:02 CEST 2011,1087808,131405,131405.0,0.0,0
3693030,3685123,8725,3676398,7907,283466,0,283466,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:13:02 CEST 2011,1147065,131253,131253.0,0.0,0
1865325,1860990,4334,1856656,4335,128452,0,128452,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:10:23 CEST 2011,988537,131065,131065.0,0.0,0
1959375,1954385,5126,1949259,4990,165191,0,165191,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:10:36 CEST 2011,1001882,130915,130915.0,0.0,0
1652145,1646861,4064,1642797,5284,119771,0,119771,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:07:57 CEST 2011,842092,135165,135165.0,0.0,0
2454705,2450413,5103,2445310,4292,199654,0,199654,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:11:37 CEST 2011,1062689,128836,128836.0,0.0,0
1862190,1858618,3995,1854623,3572,145572,0,145572,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:08:30 CEST 2011,875116,126357,126357.0,0.0,0
1956240,1951572,4287,1947285,4668,195186,0,195186,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:09:30 CEST 2011,935756,132192,132192.0,0.0,0
1774410,1770810,4112,1766698,3600,125915,0,125915,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:08:40 CEST 2011,884892,132513,132513.0,0.0,0
1921755,1916932,4602,1912330,4823,157821,0,157821,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:10:21 CEST 2011,986135,131380,131380.0,0.0,0
1953105,1948204,4474,1943730,4901,154506,0,154506,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:09:29 CEST 2011,934334,127922,127922.0,0.0,0
2072235,2067314,4145,2063169,4921,164436,0,164436,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:10:26 CEST 2011,991072,131904,131904.0,0.0,0
2454705,2450413,5103,2445310,4292,199654,0,199654,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:11:38 CEST 2011,1062716,128836,128836.0,0.0,0
1902945,1898987,5254,1893733,3958,143927,0,143927,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:10:06 CEST 2011,971455,130622,130622.0,0.0,0
2448435,2443397,6782,2436615,5038,177886,0,177886,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:11:55 CEST 2011,1080509,126323,126323.0,0.0,0
2310495,2305303,5669,2299634,5192,181968,0,181968,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:10:57 CEST 2011,1022036,131740,131740.0,0.0,0
1733655,1730022,4171,1725851,3633,140022,0,140022,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:09:44 CEST 2011,949328,130278,130278.0,0.0,0
3106785,3100789,7107,3093682,5996,260148,0,260148,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:12:51 CEST 2011,1135816,124268,124268.0,0.0,0
2921820,2915653,5737,2909916,6167,232930,0,232930,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:12:23 CEST 2011,1108242,129248,129248.0,0.0,0
1711710,1707848,3616,1704232,3862,153211,0,153211,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:07:39 CEST 2011,824409,133253,133253.0,0.0,0
2514270,2509205,6626,2502579,5065,185347,0,185347,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:11:53 CEST 2011,1078126,124729,124729.0,0.0,0
1755600,1751259,3830,1747429,4341,186302,0,186302,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:07:28 CEST 2011,812364,130664,130664.0,0.0,0
4815360,4804623,9275,4795348,10737,375721,0,375721,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:13:30 CEST 2011,1174752,128711,128711.0,0.0,0
1799490,1795789,4493,1791296,3701,160882,0,160882,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:08:46 CEST 2011,890599,126881,126881.0,0.0,0
1865325,1860990,4334,1856656,4335,128452,0,128452,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:10:16 CEST 2011,981252,131065,131065.0,0.0,0
2075370,2071126,4270,2066856,4244,171482,0,171482,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:11:08 CEST 2011,1033101,133025,133025.0,0.0,0
1649010,1644789,4227,1640562,4221,168166,0,168166,Sat Jun 25 13:53:55 CEST 2011,Sat Jun 25 14:07:09 CEST 2011,794126,134773,134773.0,0.0,0
2379465,2372927,5994,2366933,6538,149688,0,149688,Sat Jun 25 13:53:56 CEST 2011,Sat Jun 25 14:11:25 CEST 2011,1049167,134806,134806.0,0.0,0
3047220,3038499,6815,3031684,8721,347470,0,347470,Sat Jun 25 13:53:56 CEST 2011,Sat Jun 25 14:12:57 CEST 2011,1141685,134249,134249.0,0.0,0
2385735,2379195,5955,2373240,6540,150127,0,150127,Sat Jun 25 13:53:56 CEST 2011,Sat Jun 25 14:11:26 CEST 2011,1049825,134806,134806.0,0.0,0
1774410,1769638,4972,1764666,4772,147622,0,147622,Sat Jun 25 13:53:56 CEST 2011,Sat Jun 25 14:09:56 CEST 2011,960286,134502,134502.0,0.0,0
1652145,1646861,4062,1642799,5284,119771,0,119771,Sat Jun 25 13:53:56 CEST 2011,Sat Jun 25 14:08:09 CEST 2011,853613,135165,135165.0,0.0,0
