iteration,cost,penalty,softConstraintViolations
1,106022,0.125,102
2,101538,0.25,102
3,101864,0.375,94
4,103523,0.5,84
5,104727,0.625,76
6,106275,0.75,68
7,114473,0.875,49
8,113499,1.0,43
9,121618,1.125,26
10,123218,1.25,19
11,124357,1.375,14
12,125979,1.5,9
13,131193,1.625,4
14,131861,1.75,2
15,132721,1.625,0
16,128443,1.5,0
17,125583,1.625,1
18,125207,1.5,0
19,124570,1.375,0
20,124157,1.25,0
21,124048,1.125,0
22,124181,1.0,0
23,124072,0.875,0
24,124193,0.75,0
25,123830,0.625,0
26,123906,0.5,0
27,123790,0.375,0
28,123853,0.25,0
29,123467,0.125,0
30,122171,0.25,3
31,122287,0.375,3
32,123583,0.25,0
33,123665,0.125,0
34,122369,0.25,3
35,122485,0.375,3
36,123781,0.25,0
37,123992,0.125,0
38,122696,0.25,3
39,122382,0.375,3
40,123678,0.25,0
41,123794,0.125,0
42,122498,0.25,3
43,122580,0.375,3
44,123876,0.25,0
45,123172,0.375,3
46,123910,0.25,0
47,122614,0.375,3
48,122403,0.5,3
49,123699,0.375,0
50,123699,0.25,0
51,122403,0.375,3
52,122392,0.5,3
53,123688,0.375,0
54,123688,0.25,0
55,122392,0.375,3
56,122175,0.5,3
57,123471,0.375,0
58,123587,0.25,0
59,122291,0.375,3
60,122256,0.5,3
61,123552,0.375,0
62,123668,0.25,0
63,122372,0.375,3
64,122805,0.5,2
65,122689,0.625,2
66,123985,0.5,0
67,124060,0.375,0
68,122764,0.5,2
69,122648,0.625,2
70,123944,0.5,0
71,124101,0.375,0
72,123668,0.25,0
73,122372,0.375,3
74,122805,0.5,2
75,122921,0.625,2
76,124217,0.5,0
77,123784,0.375,0
78,123784,0.25,0
79,122488,0.375,3
80,122372,0.5,3
81,123668,0.375,0
82,123622,0.25,0
83,122326,0.375,3
84,122759,0.5,2
85,122759,0.625,2
86,124055,0.5,0
87,123622,0.375,0
88,122326,0.5,3
89,122442,0.625,3
90,123738,0.5,0
91,123738,0.375,0
92,122442,0.5,3
93,122875,0.625,2
94,124171,0.5,0
95,124055,0.375,0
96,124101,0.25,0
97,122805,0.375,2
98,122921,0.5,2
99,122865,0.625,2
100,124161,0.5,0
101,124161,0.375,0
102,122865,0.5,2
103,122981,0.625,2
104,124277,0.5,0
105,123804,0.375,0
106,123688,0.25,0
107,122392,0.375,3
108,122175,0.5,3
109,123471,0.375,0
110,123587,0.25,0
111,122291,0.375,3
112,122256,0.5,3
113,123552,0.375,0
114,123668,0.25,0
115,122372,0.375,3
116,122805,0.5,2
117,122689,0.625,2
118,123985,0.5,0
119,124060,0.375,0
120,122764,0.5,2
121,122648,0.625,2
122,123944,0.5,0
123,124101,0.375,0
124,123668,0.25,0
125,122372,0.375,3
126,122805,0.5,2
127,122921,0.625,2
128,124217,0.5,0
129,123784,0.375,0
130,123784,0.25,0
131,122488,0.375,3
132,122372,0.5,3
133,123668,0.375,0
134,123622,0.25,0
135,122326,0.375,3
136,122759,0.5,2
137,122759,0.625,2
138,124055,0.5,0
139,123622,0.375,0
140,122326,0.5,3
141,122442,0.625,3
142,123738,0.5,0
143,123699,0.375,0
144,123699,0.25,0
145,122403,0.375,3
146,122392,0.5,3
147,123688,0.375,0
148,123804,0.25,0
149,122508,0.375,3
150,122508,0.5,3
151,122719,0.625,3
152,124015,0.5,0
153,123798,0.375,0
154,123682,0.25,0
155,122386,0.375,3
156,122859,0.5,2
157,124155,0.375,0
158,124271,0.25,0
159,122975,0.375,2
160,122900,0.5,2
161,124196,0.375,0
162,123763,0.25,0
163,122467,0.375,3
164,122256,0.5,3
165,123552,0.375,0
166,123587,0.25,0
167,122291,0.375,3
168,122175,0.5,3
169,123471,0.375,0
170,123688,0.25,0
171,122392,0.375,3
172,122865,0.5,2
173,122648,0.625,2
174,123944,0.5,0
175,124060,0.375,0
176,122764,0.5,2
177,122689,0.625,2
178,123985,0.5,0
179,124101,0.375,0
180,123668,0.25,0
181,122372,0.375,3
182,122805,0.5,2
183,122805,0.625,2
184,124101,0.5,0
185,123668,0.375,0
186,123622,0.25,0
187,122326,0.375,3
188,122759,0.5,2
189,122759,0.625,2
190,124055,0.5,0
191,123622,0.375,0
192,122326,0.5,3
193,122442,0.625,3
194,123738,0.5,0
195,123699,0.375,0
196,123699,0.25,0
197,122403,0.375,3
198,122392,0.5,3
199,123688,0.375,0
200,123784,0.25,0
201,122488,0.375,3
202,122372,0.5,3
203,122508,0.625,3
204,123804,0.5,0
205,123804,0.375,0
206,122508,0.5,3
207,122981,0.625,2
208,124277,0.5,0
209,124161,0.375,0
210,124161,0.25,0
211,122865,0.375,2
212,122876,0.5,2
213,122875,0.625,2
214,124171,0.5,0
215,123738,0.375,0
216,122442,0.5,3
217,122653,0.625,3
218,123949,0.5,0
219,123833,0.375,0
220,123833,0.25,0
221,122537,0.375,3
222,122970,0.5,2
223,122970,0.625,2
224,124266,0.5,0
225,124055,0.375,0
226,124288,0.25,0
227,122992,0.375,2
228,122519,0.5,3
229,123815,0.375,0
230,123815,0.25,0
231,122519,0.375,3
232,122403,0.5,3
233,122876,0.625,2
234,124172,0.5,0
235,124171,0.375,0
236,122875,0.5,2
237,123086,0.625,2
238,124382,0.5,0
239,123949,0.375,0
240,123910,0.25,0
241,122614,0.375,3
242,122614,0.5,3
243,123910,0.375,0
244,123899,0.25,0
245,122603,0.375,3
246,122603,0.5,3
247,123899,0.375,0
248,123682,0.25,0
249,122386,0.375,3
250,122175,0.5,3
251,123471,0.375,0
252,123587,0.25,0
253,122291,0.375,3
254,122256,0.5,3
255,123552,0.375,0
256,123668,0.25,0
257,122372,0.375,3
258,122805,0.5,2
259,122689,0.625,2
260,123985,0.5,0
261,124060,0.375,0
262,122764,0.5,2
263,122648,0.625,2
264,123944,0.5,0
265,124101,0.375,0
266,123668,0.25,0
267,122372,0.375,3
268,122805,0.5,2
269,122921,0.625,2
270,124217,0.5,0
271,123784,0.375,0
272,123688,0.25,0
273,122392,0.375,3
274,122392,0.5,3
275,123688,0.375,0
276,123699,0.25,0
277,122403,0.375,3
278,122876,0.5,2
279,122865,0.625,2
280,124161,0.5,0
281,124161,0.375,0
282,122865,0.5,2
283,122981,0.625,2
284,124277,0.5,0
285,123804,0.375,0
286,123804,0.25,0
287,122508,0.375,3
288,122372,0.5,3
289,123668,0.375,0
290,123622,0.25,0
291,122326,0.375,3
292,122759,0.5,2
293,122759,0.625,2
294,124055,0.5,0
295,123622,0.375,0
296,122326,0.5,3
297,122442,0.625,3
298,123738,0.5,0
299,123699,0.375,0
300,122403,0.5,3
301,122876,0.625,2
302,124172,0.5,0
303,124171,0.375,0
304,122875,0.5,2
305,122875,0.625,2
306,124171,0.5,0
307,123738,0.375,0
308,123784,0.25,0
309,122488,0.375,3
310,122442,0.5,3
311,122653,0.625,3
312,123949,0.5,0
313,123833,0.375,0
314,123833,0.25,0
315,122537,0.375,3
316,122970,0.5,2
317,122970,0.625,2
318,124266,0.5,0
319,124055,0.375,0
320,124101,0.25,0
321,122805,0.375,2
322,122805,0.5,2
323,122689,0.625,2
324,123985,0.5,0
325,123552,0.375,0
326,123587,0.25,0
327,122291,0.375,3
328,122175,0.5,3
329,123471,0.375,0
330,123668,0.25,0
331,122372,0.375,3
332,122256,0.5,3
333,122372,0.625,3
334,123668,0.5,0
335,123784,0.375,0
336,123688,0.25,0
337,122392,0.375,3
338,122392,0.5,3
339,123688,0.375,0
340,123699,0.25,0
341,122403,0.375,3
342,122876,0.5,2
343,122865,0.625,2
344,124161,0.5,0
345,124161,0.375,0
346,122865,0.5,2
347,122648,0.625,2
348,123944,0.5,0
349,124060,0.375,0
350,122764,0.5,2
351,122975,0.625,2
352,124271,0.5,0
353,123798,0.375,0
354,123682,0.25,0
355,122386,0.375,3
356,122859,0.5,2
357,124155,0.375,0
358,124312,0.25,0
359,123016,0.375,2
360,122805,0.5,2
361,124101,0.375,0
362,124217,0.25,0
363,122921,0.375,2
364,122921,0.5,2
