neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1780020,1775566,3684,1771882,4454,147229,0,147229,Sat Jun 25 14:18:09 CEST 2011,Sat Jun 25 14:31:29 CEST 2011,799717,124707,124707.0,0.0,0
1648053,1645751,3897,1641854,2302,130497,0,130497,Sat Jun 25 14:18:09 CEST 2011,Sat Jun 25 14:30:51 CEST 2011,761254,126813,126813.0,0.0,0
1761606,1759310,3833,1755477,2296,147552,0,147552,Sat Jun 25 14:18:09 CEST 2011,Sat Jun 25 14:31:49 CEST 2011,819598,130305,130305.0,0.0,0
2792790,2788451,5960,2782491,4339,235684,0,235684,Sat Jun 25 14:18:09 CEST 2011,Sat Jun 25 14:34:39 CEST 2011,989863,126921,126921.0,0.0,0
2915550,2909283,7411,2901872,6267,207314,0,207314,Sat Jun 25 14:18:09 CEST 2011,Sat Jun 25 14:35:19 CEST 2011,1029188,129954,129954.0,0.0,0
1743192,1740311,4440,1735871,2881,133447,0,133447,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:31:54 CEST 2011,824764,127975,127975.0,0.0,0
2154438,2148488,4427,2144061,5950,162832,0,162832,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:33:11 CEST 2011,901066,128446,128446.0,0.0,0
1706364,1702429,4108,1698321,3935,200475,0,200475,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:32:28 CEST 2011,858551,127865,127865.0,0.0,0
2225025,2221710,4933,2216777,3315,163119,0,163119,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:33:36 CEST 2011,926040,127589,127589.0,0.0,0
3461832,3456267,6995,3449272,5565,259366,0,259366,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:35:39 CEST 2011,1048757,129645,129645.0,0.0,0
2050092,2047081,3963,2043118,3011,178542,0,178542,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:33:02 CEST 2011,891804,128651,128651.0,0.0,0
1706364,1703413,4483,1698930,2951,146849,0,146849,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:31:41 CEST 2011,811529,135969,135969.0,0.0,0
3461832,3456267,6985,3449282,5565,259309,0,259309,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:35:38 CEST 2011,1048402,129645,129645.0,0.0,0
2028609,2024961,4145,2020816,3648,153300,0,153300,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:33:04 CEST 2011,894349,131904,131904.0,0.0,0
3332934,3325733,8294,3317439,7201,285179,0,285179,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:35:36 CEST 2011,1045958,124587,124587.0,0.0,0
2056230,2052216,4659,2047557,4014,198193,0,198193,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:32:56 CEST 2011,886582,134212,134212.0,0.0,0
2983068,2977138,6815,2970323,5930,331813,0,331813,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:35:33 CEST 2011,1043051,134249,134249.0,0.0,0
1773882,1771034,4309,1766725,2848,158026,0,158026,Sat Jun 25 14:18:10 CEST 2011,Sat Jun 25 14:32:58 CEST 2011,887946,130697,130697.0,0.0,0
