iteration,cost,penalty,softConstraintViolations
1,115298,0.125,102
2,108545,0.25,102
3,101532,0.375,102
4,101303,0.5,94
5,113880,0.625,54
6,120286,0.75,36
7,134670,0.875,11
8,129971,1.0,11
9,137421,1.125,2
10,134674,1.25,2
11,132126,1.375,2
12,131301,1.5,2
13,130480,1.625,2
14,130092,1.75,2
15,129799,1.875,2
16,129471,2.0,2
17,129260,2.125,2
18,128865,2.25,2
19,128891,2.375,2
20,128937,2.5,2
21,132020,2.625,1
22,131916,2.75,1
23,134785,2.625,0
24,133741,2.5,0
25,133582,2.375,0
26,133536,2.25,0
27,133510,2.125,0
28,133421,2.0,0
29,133172,1.875,0
30,132941,1.75,0
31,132974,1.625,0
32,132928,1.5,0
33,130881,1.625,1
34,130903,1.75,1
35,133047,1.625,0
36,133138,1.5,0
37,130994,1.625,1
38,130958,1.75,1
39,133102,1.625,0
40,132983,1.5,0
41,130936,1.625,1
42,130969,1.75,1
43,133016,1.625,0
44,132965,1.5,0
45,132636,1.375,0
46,132309,1.25,0
47,130399,1.375,1
48,130286,1.5,1
49,132196,1.375,0
50,132232,1.25,0
51,130322,1.375,1
52,130231,1.5,1
53,132141,1.375,0
54,132254,1.25,0
55,130344,1.375,1
56,130435,1.5,1
57,132345,1.375,0
58,132488,1.25,0
59,130578,1.375,1
60,130465,1.5,1
61,130374,1.625,1
62,132284,1.5,0
63,132375,1.375,0
64,132339,1.25,0
65,130429,1.375,1
66,130446,1.5,1
67,132450,1.375,0
68,132501,1.25,0
69,130497,1.375,1
70,130413,1.5,1
71,132417,1.375,0
72,132560,1.25,0
73,130556,1.375,1
74,130640,1.5,1
75,130589,1.625,1
76,132593,1.5,0
77,132644,1.375,0
78,132802,1.25,0
79,130798,1.375,1
80,130655,1.5,1
81,130571,1.625,1
82,132575,1.5,0
83,132397,1.375,0
84,130487,1.5,1
85,130676,1.625,1
86,130418,1.5,0
87,130305,1.375,0
88,130383,1.25,0
89,130467,1.125,0
90,130396,1.0,0
91,130360,0.875,0
92,130416,0.75,0
93,130574,0.625,0
94,130473,0.5,0
95,129735,0.625,1
96,129622,0.75,1
97,129658,0.875,1
98,129567,1.0,1
99,129633,1.125,1
100,129717,1.25,1
101,129666,1.375,1
102,129824,1.5,1
103,129875,1.625,1
104,130625,1.5,0
105,130509,1.375,0
106,130724,1.25,0
107,130611,1.125,0
108,130520,1.0,0
109,130518,0.875,0
110,130609,0.75,0
111,130573,0.625,0
112,130575,0.5,0
113,129837,0.625,1
114,129835,0.75,1
115,129871,0.875,1
116,129780,1.0,1
117,129782,1.125,1
118,129873,1.25,1
119,129977,1.375,1
120,130727,1.25,0
121,130643,1.125,0
122,130714,1.0,0
123,130798,0.875,0
124,130747,0.75,0
125,130676,0.625,0
126,129926,0.75,1
127,129997,0.875,1
128,130048,1.0,1
129,129964,1.125,1
130,129893,1.25,1
131,130051,1.375,1
132,130801,1.25,0
133,130541,1.125,0
134,130870,1.0,0
135,130589,0.875,0
136,130431,0.75,0
137,130353,0.625,0
138,128390,0.75,2
139,129026,0.875,1
140,129116,1.0,1
141,129200,1.125,1
142,129117,1.25,1
143,129081,1.375,1
144,129149,1.5,1
145,131112,1.375,0
146,130464,1.25,0
147,130408,1.125,0
148,130444,1.0,0
149,130515,0.875,0
150,130581,0.75,0
151,130435,0.625,0
152,128662,0.75,2
153,129310,0.875,1
154,129269,1.0,1
155,129246,1.125,1
156,129278,1.25,1
157,129293,1.375,1
158,129338,1.5,1
159,129379,1.625,1
160,129287,1.75,1
161,129278,1.875,1
162,129219,2.0,1
163,129234,2.125,1
164,131979,2.0,0
165,131343,1.875,0
166,131379,1.75,0
167,131288,1.625,0
168,131397,1.5,0
169,131466,1.375,0
170,131434,1.25,0
171,131518,1.125,0
172,131467,1.0,0
173,128722,1.125,2
174,129370,1.25,1
175,129421,1.375,1
176,129270,1.5,1
177,129179,1.625,1
178,129164,1.75,1
179,129245,1.875,1
180,129329,2.0,1
181,129255,2.125,1
182,129368,2.25,1
183,129230,2.375,1
184,131193,2.25,0
185,130557,2.125,0
186,130466,2.0,0
187,130589,1.875,0
188,130431,1.75,0
189,130353,1.625,0
190,130480,1.5,0
191,130558,1.375,0
192,130642,1.25,0
193,130571,1.125,0
194,130535,1.0,0
195,130591,0.875,0
196,130570,0.75,0
197,130529,0.625,0
198,128756,0.75,2
199,129404,0.875,1
200,129381,1.0,1
201,129413,1.125,1
202,129428,1.25,1
203,129473,1.375,1
204,129514,1.5,1
205,129211,1.625,1
206,129119,1.75,1
207,129120,1.875,1
208,129212,2.0,1
209,129274,2.125,1
210,129259,2.25,1
211,129250,2.375,1
212,132154,2.25,0
213,131518,2.125,0
214,131375,2.0,0
215,131343,1.875,0
216,131344,1.75,0
217,131307,1.625,0
218,131222,1.5,0
219,131305,1.375,0
220,131390,1.25,0
221,131422,1.125,0
222,131339,1.0,0
223,128435,1.125,2
224,129373,1.25,1
225,129345,1.375,1
226,129245,1.5,1
227,129057,1.625,1
228,128589,1.75,1
229,128635,1.875,1
230,128727,2.0,1
231,128681,2.125,1
232,128714,2.25,1
233,131494,2.125,0
234,131461,2.0,0
235,131493,1.875,0
236,131539,1.75,0
237,131507,1.625,0
238,131540,1.5,0
239,128760,1.625,1
240,128745,1.75,1
241,128699,1.875,1
242,128830,2.0,1
243,128735,2.125,1
244,128781,2.25,1
245,131685,2.125,0
246,131639,2.0,0
247,131607,1.875,0
248,128827,2.0,1
249,128845,2.125,1
250,131625,2.0,0
251,131671,1.875,0
252,128891,2.0,1
253,128873,2.125,1
254,131653,2.0,0
255,131789,1.875,0
256,129009,2.0,1
257,128863,2.125,1
258,128771,2.25,1
259,128725,2.375,1
260,131629,2.25,0
261,131597,2.125,0
262,128817,2.25,1
263,128895,2.375,1
264,131675,2.25,0
265,131693,2.125,0
266,131649,2.0,0
267,129059,2.125,1
268,128967,2.25,1
269,131681,2.125,0
270,131719,2.0,0
271,129005,2.125,1
272,129056,2.25,1
273,131770,2.125,0
274,131635,2.0,0
275,128921,2.125,1
276,128883,2.25,1
277,131597,2.125,0
278,131565,2.0,0
279,128975,2.125,1
280,128997,2.25,1
281,131587,2.125,0
282,131625,2.0,0
283,131603,1.875,0
284,129013,2.0,1
285,129035,2.125,1
286,129020,2.25,1
287,131734,2.125,0
288,131696,2.0,0
289,128982,2.125,1
290,129124,2.25,1
291,131838,2.125,0
292,131729,2.0,0
293,131700,1.875,0
294,129110,2.0,1
295,128963,2.125,1
296,128871,2.25,1
297,128735,2.375,1
298,131639,2.25,0
299,131493,2.125,0
300,128589,2.25,1
301,128635,2.375,1
302,131539,2.25,0
303,131507,2.125,0
304,131461,2.0,0
305,128681,2.125,1
306,128714,2.25,1
307,131494,2.125,0
308,131540,2.0,0
309,128760,2.125,1
310,128727,2.25,1
311,128863,2.375,1
312,131643,2.25,0
313,131597,2.125,0
314,128817,2.25,1
315,128725,2.375,1
316,131629,2.25,0
317,131675,2.125,0
318,128771,2.25,1
319,128917,2.375,1
320,131821,2.25,0
321,131685,2.125,0
322,128781,2.25,1
323,128873,2.375,1
324,131653,2.25,0
325,131607,2.125,0
326,128827,2.25,1
327,128845,2.375,1
328,131625,2.25,0
329,131671,2.125,0
330,128891,2.25,1
331,128876,2.375,1
332,131780,2.25,0
333,131649,2.125,0
334,128745,2.25,1
335,128699,2.375,1
336,131603,2.25,0
337,131734,2.125,0
338,128830,2.25,1
339,129011,2.375,1
340,131915,2.25,0
341,131775,2.125,0
342,131732,2.0,0
343,131597,1.875,0
344,128883,2.0,1
345,128921,2.125,1
346,131635,2.0,0
347,131603,1.875,0
348,129013,2.0,1
349,128975,2.125,1
350,131565,2.0,0
351,131587,1.875,0
352,128997,2.0,1
353,128982,2.125,1
354,131696,2.0,0
355,131734,1.875,0
356,129020,2.0,1
357,129035,2.125,1
358,131625,2.0,0
359,131712,1.875,0
360,129122,2.0,1
361,129100,2.125,1
362,131690,2.0,0
363,131722,1.875,0
364,129008,2.0,1
365,129071,2.125,1
366,131785,2.0,0
367,131753,1.875,0
368,129163,2.0,1
369,129185,2.125,1
370,131775,2.0,0
371,131884,1.875,0
372,129170,2.0,1
373,129107,2.125,1
374,131821,2.0,0
375,131963,1.875,0
376,129249,2.0,1
377,129143,2.125,1
378,129056,2.25,1
379,131770,2.125,0
380,131719,2.0,0
381,129005,2.125,1
382,128771,2.25,1
383,128635,2.375,1
384,131539,2.25,0
385,131493,2.125,0
386,128589,2.25,1
387,128681,2.375,1
388,131461,2.25,0
389,131494,2.125,0
390,128714,2.25,1
391,128699,2.375,1
392,131603,2.25,0
393,131649,2.125,0
394,128745,2.25,1
395,128760,2.375,1
396,131540,2.25,0
397,131507,2.125,0
398,128727,2.25,1
399,128863,2.375,1
400,131643,2.25,0
401,131597,2.125,0
402,128817,2.25,1
403,128725,2.375,1
404,131629,2.25,0
405,131675,2.125,0
406,131821,2.0,0
407,128917,2.125,1
408,128781,2.25,1
409,128735,2.375,1
410,131639,2.25,0
411,131607,2.125,0
412,128827,2.25,1
413,128845,2.375,1
414,131625,2.25,0
415,131671,2.125,0
416,128891,2.25,1
417,128873,2.375,1
418,131653,2.25,0
419,131685,2.125,0
420,131780,2.0,0
421,128876,2.125,1
422,128830,2.25,1
423,131734,2.125,0
424,131915,2.0,0
425,129011,2.125,1
426,128871,2.25,1
427,131775,2.125,0
428,131732,2.0,0
429,131597,1.875,0
430,128883,2.0,1
431,128921,2.125,1
432,131635,2.0,0
433,131603,1.875,0
434,129013,2.0,1
435,128975,2.125,1
436,131565,2.0,0
437,131587,1.875,0
438,128997,2.0,1
439,128982,2.125,1
440,131696,2.0,0
441,131734,1.875,0
442,129020,2.0,1
443,129035,2.125,1
444,131625,2.0,0
445,131712,1.875,0
446,129122,2.0,1
447,129100,2.125,1
448,131690,2.0,0
449,131722,1.875,0
450,129008,2.0,1
451,129071,2.125,1
452,131785,2.0,0
453,131753,1.875,0
454,129163,2.0,1
455,129185,2.125,1
456,131775,2.0,0
457,131884,1.875,0
458,129170,2.0,1
459,129107,2.125,1
460,131821,2.0,0
461,131963,1.875,0
462,129249,2.0,1
463,129143,2.125,1
464,129056,2.25,1
465,131770,2.125,0
466,131719,2.0,0
467,129005,2.125,1
468,128771,2.25,1
469,128635,2.375,1
470,131539,2.25,0
471,131493,2.125,0
472,128589,2.25,1
473,128681,2.375,1
474,131461,2.25,0
475,131494,2.125,0
476,128714,2.25,1
477,128699,2.375,1
478,131603,2.25,0
479,131649,2.125,0
480,128745,2.25,1
481,128760,2.375,1
482,131540,2.25,0
483,131507,2.125,0
484,128727,2.25,1
485,128863,2.375,1
486,131643,2.25,0
487,131597,2.125,0
488,128817,2.25,1
489,128725,2.375,1
490,131629,2.25,0
491,131675,2.125,0
492,131821,2.0,0
493,128917,2.125,1
494,128781,2.25,1
495,128735,2.375,1
496,131639,2.25,0
497,131607,2.125,0
498,128827,2.25,1
499,128845,2.375,1
500,131625,2.25,0
501,131671,2.125,0
502,128891,2.25,1
503,128873,2.375,1
504,131653,2.25,0
505,131685,2.125,0
506,131780,2.0,0
507,128876,2.125,1
508,128830,2.25,1
509,131734,2.125,0
510,131915,2.0,0
511,129011,2.125,1
512,128871,2.25,1
513,131775,2.125,0
514,131732,2.0,0
515,131597,1.875,0
516,128883,2.0,1
517,128921,2.125,1
518,131635,2.0,0
519,131603,1.875,0
520,129013,2.0,1
521,128975,2.125,1
522,131565,2.0,0
523,131587,1.875,0
524,128997,2.0,1
525,128982,2.125,1
526,131696,2.0,0
527,131734,1.875,0
528,129020,2.0,1
529,129035,2.125,1
530,131625,2.0,0
531,131712,1.875,0
532,129122,2.0,1
533,129100,2.125,1
534,131690,2.0,0
535,131722,1.875,0
536,129008,2.0,1
537,129071,2.125,1
538,131785,2.0,0
539,131753,1.875,0
540,129163,2.0,1
541,129185,2.125,1
542,131775,2.0,0
543,131884,1.875,0
544,129170,2.0,1
545,129107,2.125,1
546,131821,2.0,0
547,131963,1.875,0
548,129249,2.0,1
