neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
191301,189713,4059,185654,1588,31973,0,31973,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:25 CEST 2011,102647,135165,135165.0,0.0,0
330330,328410,5975,322435,1920,55519,0,55519,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:58 CEST 2011,136289,126921,126921.0,0.0,0
201465,199481,4059,195422,1984,41004,0,41004,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:26 CEST 2011,104250,129356,129356.0,0.0,0
371712,369391,6685,362706,2321,58053,0,58053,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:18:03 CEST 2011,140993,129697,129697.0,0.0,0
381876,379522,7181,372341,2354,64886,0,64886,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:18:04 CEST 2011,142210,127120,127120.0,0.0,0
262812,261121,4979,256142,1691,47631,0,47631,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:51 CEST 2011,128598,126453,126453.0,0.0,0
236676,234717,4341,230376,1959,42627,0,42627,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:45 CEST 2011,122789,129575,129575.0,0.0,0
243210,241793,4815,236978,1417,41595,0,41595,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:46 CEST 2011,124280,127213,127213.0,0.0,0
245388,243935,5078,238857,1453,43118,0,43118,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:17:40 CEST 2011,117396,126610,126610.0,0.0,0
429066,426096,8938,417158,2970,69400,0,69400,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:18:07 CEST 2011,144721,130038,130038.0,0.0,0
389862,387570,8223,379347,2292,63772,0,63772,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:18:04 CEST 2011,141411,126835,126835.0,0.0,0
