neighborhoods,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
 SHIFT_ROUND SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS,2344569,2323273,1056,2322217,21295,139239,0,139239,Sat Jun 25 11:48:15 CEST 2011,Sat Jun 25 12:04:00 CEST 2011,944677,129860,129860.0,0.0,0
 SHIFT_ROUND SWAP_MATCH_ROUND,2198646,2178456,1061,2177395,20190,131155,0,131155,Sat Jun 25 12:04:01 CEST 2011,Sat Jun 25 12:18:42 CEST 2011,880715,128315,128315.0,0.0,0
 SWAP_MATCH_ROUND SWAP_HOME_VISITOR,2100687,2094414,3978,2090436,6273,146255,0,146255,Sat Jun 25 12:18:42 CEST 2011,Sat Jun 25 12:35:41 CEST 2011,1018640,129324,129324.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,424604,421011,1163,419848,3592,97468,0,97468,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:53 CEST 2011,131944,130222,130222.0,0.0,0
 SWAP_MATCH_ROUND,2048993,2044482,3603,2040879,4510,130206,0,130206,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:53:33 CEST 2011,940377,130739,130739.0,0.0,0
 SHIFT_ROUND SWAP_HOME_VISITOR,206689,205078,987,204091,1611,68246,0,68246,Sat Jun 25 12:53:34 CEST 2011,Sat Jun 25 12:54:26 CEST 2011,52343,137840,137840.0,0.0,0
 SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS,2409381,2404248,4304,2399944,5133,155915,0,155915,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:15:12 CEST 2011,1245849,129030,129030.0,0.0,0
 SHIFT_ROUND SWAP_MATCH_ROUND SWAP_HOME_VISITOR,2473537,2451704,1182,2450522,21832,152630,0,152630,Sat Jun 25 13:15:12 CEST 2011,Sat Jun 25 13:34:36 CEST 2011,1163132,129875,129875.0,0.0,0
 TWO_OPT_SWAP_TEAMS SHIFT_ROUND SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,2536112,2514292,5190,2509102,21820,163158,0,163158,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:53:54 CEST 2011,1158175,123147,123147.0,0.0,0
 TWO_OPT_SWAP_TEAMS SWAP_MATCH_ROUND SWAP_HOME_VISITOR TWO_OPT_SWAP_ROUNDS,2250616,2245459,5285,2240174,5157,184874,0,184874,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:13:30 CEST 2011,1175586,124268,124268.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS,368918,365426,1100,364326,3491,94396,0,94396,Sat Jun 25 14:13:30 CEST 2011,Sat Jun 25 14:15:42 CEST 2011,131783,134409,134409.0,0.0,0
