neighborhoods,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
 SHIFT_ROUND SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS,93782766,92930957,42272,92888685,851809,5569584,0,5569584,Sat Jun 25 11:48:15 CEST 2011,Sat Jun 25 12:04:00 CEST 2011,944677,129860,129860.0,0.0,0
 SHIFT_ROUND SWAP_MATCH_ROUND,87945858,87138236,42441,87095795,807622,5246229,0,5246229,Sat Jun 25 12:04:01 CEST 2011,Sat Jun 25 12:18:42 CEST 2011,880715,128315,128315.0,0.0,0
 SWAP_MATCH_ROUND SWAP_HOME_VISITOR,84027504,83776584,159141,83617443,250920,5850207,0,5850207,Sat Jun 25 12:18:42 CEST 2011,Sat Jun 25 12:35:41 CEST 2011,1018640,129324,129324.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,16984176,16840457,46558,16793899,143719,3898733,0,3898733,Sat Jun 25 12:35:41 CEST 2011,Sat Jun 25 12:37:53 CEST 2011,131944,130222,130222.0,0.0,0
 SWAP_MATCH_ROUND,81959724,81779318,144156,81635162,180406,5208268,0,5208268,Sat Jun 25 12:37:53 CEST 2011,Sat Jun 25 12:53:33 CEST 2011,940377,130739,130739.0,0.0,0
 SHIFT_ROUND SWAP_HOME_VISITOR,8267589,8203132,39501,8163631,64457,2729856,0,2729856,Sat Jun 25 12:53:34 CEST 2011,Sat Jun 25 12:54:26 CEST 2011,52343,137840,137840.0,0.0,0
 SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS,96375279,96169935,172166,95997769,205344,6236631,0,6236631,Sat Jun 25 12:54:26 CEST 2011,Sat Jun 25 13:15:12 CEST 2011,1245849,129030,129030.0,0.0,0
 SHIFT_ROUND SWAP_MATCH_ROUND SWAP_HOME_VISITOR,98941491,98068193,47314,98020879,873298,6105237,0,6105237,Sat Jun 25 13:15:12 CEST 2011,Sat Jun 25 13:34:36 CEST 2011,1163132,129875,129875.0,0.0,0
 TWO_OPT_SWAP_TEAMS SHIFT_ROUND SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,101444508,100571690,207615,100364075,872818,6526331,0,6526331,Sat Jun 25 13:34:36 CEST 2011,Sat Jun 25 13:53:54 CEST 2011,1158175,123147,123147.0,0.0,0
 TWO_OPT_SWAP_TEAMS SWAP_MATCH_ROUND SWAP_HOME_VISITOR TWO_OPT_SWAP_ROUNDS,90024660,89818345,211427,89606918,206315,7394963,0,7394963,Sat Jun 25 13:53:54 CEST 2011,Sat Jun 25 14:13:30 CEST 2011,1175586,124268,124268.0,0.0,0
 SHIFT_ROUND TWO_OPT_SWAP_ROUNDS,14756742,14617072,44005,14573067,139670,3775852,0,3775852,Sat Jun 25 14:13:30 CEST 2011,Sat Jun 25 14:15:42 CEST 2011,131783,134409,134409.0,0.0,0
 TWO_OPT_SWAP_TEAMS TWO_OPT_SWAP_ROUNDS SWAP_HOME_VISITOR,10674378,10602570,211904,10390666,71808,1829558,0,1829558,Sat Jun 25 14:15:42 CEST 2011,Sat Jun 25 14:18:09 CEST 2011,147048,126313,126313.0,0.0,0
 TWO_OPT_SWAP_TEAMS SWAP_MATCH_ROUND TWO_OPT_SWAP_ROUNDS,88292061,88138897,201213,87937684,153164,7196355,0,7196355,Sat Jun 25 14:18:09 CEST 2011,Sat Jun 25 14:35:39 CEST 2011,1049210,123467,123467.0,0.0,0
 TWO_OPT_SWAP_TEAMS SHIFT_ROUND,0,0,0,0,0,0,0,0,Sat Jun 25 14:35:39 CEST 2011,Sat Jun 25 14:36:19 CEST 2011,40466,,,,
 TWO_OPT_SWAP_TEAMS TWO_OPT_SWAP_ROUNDS,9593991,9523387,202950,9320437,70604,1632682,0,1632682,Sat Jun 25 14:36:19 CEST 2011,Sat Jun 25 14:38:10 CEST 2011,110920,127210,127210.0,0.0,0
 TWO_OPT_SWAP_TEAMS,0,0,0,0,0,0,0,0,Sat Jun 25 14:38:10 CEST 2011,Sat Jun 25 14:38:27 CEST 2011,16720,,,,
 SWAP_HOME_VISITOR TWO_OPT_SWAP_ROUNDS,8976825,8905228,151313,8753915,71597,856219,0,856219,Sat Jun 25 14:38:27 CEST 2011,Sat Jun 25 14:40:32 CEST 2011,124565,129030,129030.0,0.0,0
 TWO_OPT_SWAP_TEAMS SHIFT_ROUND SWAP_HOME_VISITOR,10041669,9977479,195996,9781483,64190,3196701,0,3196701,Sat Jun 25 14:40:32 CEST 2011,Sat Jun 25 14:41:49 CEST 2011,77396,123010,123010.0,0.0,0
 SHIFT_ROUND,0,0,0,0,0,0,0,0,Sat Jun 25 14:41:50 CEST 2011,Sat Jun 25 14:42:21 CEST 2011,31111,,,,
 TWO_OPT_SWAP_TEAMS SHIFT_ROUND SWAP_MATCH_ROUND SWAP_HOME_VISITOR,95815005,94983546,209955,94773591,831459,6281013,0,6281013,Sat Jun 25 14:42:21 CEST 2011,Sat Jun 25 15:00:11 CEST 2011,1070549,124101,124101.0,0.0,0
 TWO_OPT_SWAP_TEAMS SHIFT_ROUND SWAP_MATCH_ROUND,95973768,95161674,218664,94943010,812094,6526498,0,6526498,Sat Jun 25 15:00:12 CEST 2011,Sat Jun 25 15:16:26 CEST 2011,974300,123757,123757.0,0.0,0
 SWAP_HOME_VISITOR,2005608,1937042,158211,1778831,68566,378521,0,378521,Sat Jun 25 15:16:26 CEST 2011,Sat Jun 25 15:16:54 CEST 2011,27819,129657,129657.0,0.0,0
 TWO_OPT_SWAP_ROUNDS,8044806,7987378,147972,7839406,57428,667945,0,667945,Sat Jun 25 15:16:54 CEST 2011,Sat Jun 25 15:18:28 CEST 2011,93946,133347,133347.0,0.0,0
