iteration,cost,penalty,softConstraintViolations
1,117067,0.125,102
2,110269,0.25,102
3,109184,0.375,94
4,107144,0.5,94
5,116327,0.625,63
6,124887,0.75,37
7,132981,0.875,22
8,144737,1.0,6
9,145968,1.125,2
10,144398,1.0,0
11,141373,0.875,0
12,139066,0.75,0
13,137083,0.875,1
14,136232,1.0,1
15,135815,1.125,1
16,135437,1.25,1
17,136999,1.125,0
18,136877,1.0,0
19,135315,1.125,1
20,135252,1.25,1
21,136814,1.125,0
22,136814,1.0,0
23,135252,1.125,1
24,135252,1.25,1
25,136814,1.125,0
26,136695,1.0,0
27,136131,0.875,0
28,135595,0.75,0
29,134025,0.875,1
30,133698,1.0,1
31,133426,1.125,1
32,133426,1.25,1
33,134996,1.125,0
34,134996,1.0,0
35,134996,0.875,0
36,134996,0.75,0
37,134996,0.625,0
38,134996,0.5,0
39,134996,0.375,0
40,134996,0.25,0
41,134996,0.125,0
42,134996,0.0,0
43,128946,0.125,23
44,127128,0.25,23
45,125558,0.375,25
46,123063,0.5,26
47,124698,0.625,21
48,126205,0.75,17
49,128699,0.875,13
50,129329,1.0,10
51,131413,1.125,7
52,135546,1.25,4
53,136324,1.375,3
54,137973,1.5,2
55,137377,1.625,2
56,137267,1.75,2
57,141644,1.625,0
58,141119,1.5,0
59,140539,1.375,0
60,140182,1.25,0
61,139865,1.125,0
62,139637,1.0,0
63,139111,0.875,0
64,138603,0.75,0
65,136191,0.875,2
66,134785,1.0,3
67,133068,1.125,3
68,133396,1.25,2
69,133016,1.375,2
70,133016,1.5,2
71,132880,1.625,2
72,137065,1.5,0
73,135677,1.375,0
74,135431,1.25,0
75,135431,1.125,0
76,135291,1.0,0
77,135170,0.875,0
78,133657,1.0,1
79,133657,1.125,1
80,133657,1.25,1
81,133657,1.375,1
82,133657,1.5,1
83,133657,1.625,1
84,133657,1.75,1
85,133657,1.875,1
86,133657,2.0,1
87,133657,2.125,1
88,133657,2.25,1
89,133657,2.375,1
90,133657,2.5,1
91,133657,2.625,1
92,133657,2.75,1
93,133657,2.875,1
94,133657,3.0,1
95,133657,3.125,1
96,133657,3.25,1
97,133657,3.375,1
98,133657,3.5,1
99,133657,3.625,1
100,133657,3.75,1
101,133657,3.875,1
102,133657,4.0,1
103,133657,4.125,1
104,133657,4.25,1
105,133657,4.375,1
106,133657,4.5,1
107,133657,4.625,1
108,133657,4.75,1
109,133657,4.875,1
110,133657,5.0,1
111,139109,4.875,0
112,137919,4.75,0
113,135183,4.625,0
114,134889,4.5,0
115,134727,4.375,0
116,134714,4.25,0
117,134714,4.125,0
118,134714,4.0,0
119,134714,3.875,0
120,134714,3.75,0
121,134714,3.625,0
122,134714,3.5,0
123,134714,3.375,0
124,134714,3.25,0
125,134714,3.125,0
126,134714,3.0,0
127,134714,2.875,0
128,134714,2.75,0
129,134714,2.625,0
130,134714,2.5,0
131,134714,2.375,0
132,134714,2.25,0
133,134714,2.125,0
134,134714,2.0,0
135,134714,1.875,0
136,134714,1.75,0
137,134714,1.625,0
138,134714,1.5,0
139,134714,1.375,0
140,134714,1.25,0
141,134714,1.125,0
142,134714,1.0,0
143,134714,0.875,0
144,134714,0.75,0
145,134714,0.625,0
146,134714,0.5,0
147,134714,0.375,0
148,134714,0.25,0
149,134714,0.125,0
150,134714,0.0,0
151,134714,0.0,0
152,134714,0.0,0
153,134714,0.0,0
154,134714,0.0,0
155,134714,0.0,0
156,134714,0.0,0
157,134714,0.0,0
158,134714,0.0,0
159,134714,0.0,0
160,134714,0.0,0
161,134714,0.0,0
162,134714,0.0,0
163,134714,0.0,0
164,134714,0.0,0
165,134714,0.0,0
166,134714,0.0,0
167,134714,0.0,0
168,134714,0.0,0
169,134714,0.0,0
170,134714,0.0,0
171,134714,0.0,0
172,134714,0.0,0
173,133920,0.125,17
174,131631,0.25,17
175,129005,0.375,18
176,128090,0.5,17
177,129265,0.625,14
178,130830,0.75,11
179,130921,0.875,9
180,131427,1.0,8
181,132007,1.125,7
182,136815,1.25,3
183,135190,1.375,3
184,135659,1.5,1
185,137032,1.375,0
186,134863,1.25,0
187,134282,1.125,0
188,133710,1.0,0
189,133117,0.875,0
190,132996,0.75,0
191,132918,0.625,0
192,131086,0.75,2
193,131463,0.875,1
194,131255,1.0,1
195,131255,1.125,1
196,131255,1.25,1
197,131255,1.375,1
198,131255,1.5,1
199,131255,1.625,1
200,131255,1.75,1
201,131255,1.875,1
202,131255,2.0,1
203,131255,2.125,1
204,131255,2.25,1
205,131255,2.375,1
206,131255,2.5,1
207,131255,2.625,1
208,131255,2.75,1
209,131255,2.875,1
210,131255,3.0,1
211,131255,3.125,1
212,131255,3.25,1
213,131255,3.375,1
214,131255,3.5,1
215,131255,3.625,1
216,131255,3.75,1
217,131255,3.875,1
218,131255,4.0,1
219,131255,4.125,1
220,131255,4.25,1
221,131255,4.375,1
222,131255,4.5,1
223,131255,4.625,1
224,131255,4.75,1
225,131255,4.875,1
226,131255,5.0,1
227,131255,5.125,1
228,131255,5.25,1
229,131255,5.375,1
230,131255,5.5,1
231,131255,5.625,1
232,131255,5.75,1
233,131255,5.875,1
234,131255,6.0,1
235,131255,6.125,1
236,131255,6.25,1
237,131255,6.375,1
238,131255,6.5,1
239,131255,6.625,1
240,131255,6.75,1
241,131255,6.875,1
242,131255,7.0,1
243,131255,7.125,1
244,131255,7.25,1
245,131255,7.375,1
246,131255,7.5,1
247,131255,7.625,1
248,131255,7.75,1
249,131255,7.875,1
250,131255,8.0,1
251,131255,8.125,1
252,131255,8.25,1
253,131255,8.375,1
254,131255,8.5,1
255,131255,8.625,1
256,131255,8.75,1
257,131255,8.875,1
258,131255,9.0,1
259,133011,8.875,0
260,133011,8.75,0
261,132918,8.625,0
262,132918,8.5,0
263,132918,8.375,0
264,132918,8.25,0
265,132918,8.125,0
266,132918,8.0,0
267,132918,7.875,0
268,132918,7.75,0
269,132918,7.625,0
270,132918,7.5,0
271,132918,7.375,0
272,132918,7.25,0
273,132918,7.125,0
274,132918,7.0,0
275,132918,6.875,0
276,132918,6.75,0
277,132918,6.625,0
278,132918,6.5,0
279,132918,6.375,0
280,132918,6.25,0
281,132918,6.125,0
282,132918,6.0,0
283,132918,5.875,0
284,132918,5.75,0
285,132918,5.625,0
286,132918,5.5,0
287,132918,5.375,0
288,132918,5.25,0
289,132918,5.125,0
290,132918,5.0,0
291,132918,4.875,0
292,132918,4.75,0
293,132918,4.625,0
294,132918,4.5,0
295,132918,4.375,0
296,132918,4.25,0
297,132918,4.125,0
298,132918,4.0,0
299,132918,3.875,0
300,132918,3.75,0
301,132918,3.625,0
302,132918,3.5,0
303,132918,3.375,0
304,132918,3.25,0
305,132918,3.125,0
306,132918,3.0,0
307,132918,2.875,0
308,132918,2.75,0
309,132918,2.625,0
310,132918,2.5,0
311,132918,2.375,0
312,132918,2.25,0
313,132918,2.125,0
314,132918,2.0,0
315,132918,1.875,0
316,132918,1.75,0
317,132918,1.625,0
318,132918,1.5,0
319,132918,1.375,0
320,132918,1.25,0
321,132918,1.125,0
322,132918,1.0,0
323,132918,0.875,0
324,132918,0.75,0
325,132918,0.625,0
326,131086,0.75,2
327,131463,0.875,1
328,131255,1.0,1
329,131255,1.125,1
330,131255,1.25,1
331,131255,1.375,1
332,131255,1.5,1
333,131255,1.625,1
334,131255,1.75,1
335,131255,1.875,1
336,131255,2.0,1
337,131255,2.125,1
338,131255,2.25,1
339,131255,2.375,1
340,131255,2.5,1
