noimprovment,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
100,631461,627530,1096,626434,3931,46153,0,46153,Sat Jun 25 05:45:28 CEST 2011,Sat Jun 25 05:49:30 CEST 2011,241392,124507,124507.0,0.0,0
150,908399,902564,1510,901054,5835,65635,0,65635,Sat Jun 25 05:49:30 CEST 2011,Sat Jun 25 05:55:14 CEST 2011,344475,125406,125406.0,0.0,0
200,1125085,1117027,1889,1115138,8057,80127,0,80127,Sat Jun 25 05:55:15 CEST 2011,Sat Jun 25 06:02:31 CEST 2011,436438,125397,125397.0,0.0,0
250,1412962,1402837,2363,1400474,10125,101357,0,101357,Sat Jun 25 06:02:31 CEST 2011,Sat Jun 25 06:11:38 CEST 2011,547000,123453,123453.0,0.0,0
300,1756883,1743243,2891,1740352,13640,117436,0,117436,Sat Jun 25 06:11:38 CEST 2011,Sat Jun 25 06:22:54 CEST 2011,675782,124282,124282.0,0.0,0
350,1876881,1861923,3021,1858902,14958,120478,0,120478,Sat Jun 25 06:22:54 CEST 2011,Sat Jun 25 06:34:59 CEST 2011,724682,123498,123498.0,0.0,0
400,2317912,2299088,3733,2295355,18822,155833,0,155833,Sat Jun 25 06:34:59 CEST 2011,Sat Jun 25 06:50:00 CEST 2011,901358,124148,124148.0,0.0,0
450,2447755,2428172,3977,2424195,19582,162774,0,162774,Sat Jun 25 06:50:00 CEST 2011,Sat Jun 25 07:05:59 CEST 2011,958134,125064,125064.0,0.0,0
500,2838884,2815779,4520,2811259,23105,193215,0,193215,Sat Jun 25 07:05:59 CEST 2011,Sat Jun 25 07:24:38 CEST 2011,1119716,123153,123153.0,0.0,0
550,2685731,2663481,4399,2659082,22249,173014,0,173014,Sat Jun 25 07:24:39 CEST 2011,Sat Jun 25 07:42:02 CEST 2011,1043697,124282,124282.0,0.0,0
600,2878940,2854063,4656,2849407,24875,185026,0,185026,Sat Jun 25 07:42:02 CEST 2011,Sat Jun 25 08:00:41 CEST 2011,1118282,122999,122999.0,0.0,0
