iteration,cost,penalty,softConstraintViolations
1,113403,0.125,102
2,107816,0.25,102
3,105741,0.375,102
4,105950,0.5,94
5,107351,0.625,82
6,111952,0.75,67
7,127899,0.875,35
8,134040,1.0,22
9,144297,1.125,5
10,141440,1.25,4
11,138863,1.375,4
12,138686,1.5,3
13,139132,1.625,2
14,138146,1.75,2
15,136870,1.875,2
16,135897,2.0,2
17,134390,2.125,2
18,135520,2.25,1
19,134873,2.375,1
20,134429,2.5,1
21,133937,2.625,1
22,133781,2.75,1
23,133109,2.875,1
24,132570,3.0,1
25,131984,3.125,1
26,131624,3.25,1
27,130821,3.375,1
28,130768,3.5,1
29,130252,3.625,1
30,129741,3.75,1
31,129116,3.875,1
32,133781,3.75,0
33,133399,3.625,0
34,133399,3.5,0
35,133399,3.375,0
36,133399,3.25,0
37,133399,3.125,0
38,133399,3.0,0
39,133399,2.875,0
40,133399,2.75,0
41,133399,2.625,0
42,133399,2.5,0
43,133399,2.375,0
44,133399,2.25,0
45,133399,2.125,0
46,133399,2.0,0
47,133399,1.875,0
48,133399,1.75,0
49,133399,1.625,0
50,133399,1.5,0
51,133399,1.375,0
52,133399,1.25,0
53,133399,1.125,0
54,133399,1.0,0
55,133399,0.875,0
56,133399,0.75,0
57,133399,0.625,0
58,133399,0.5,0
59,133399,0.375,0
60,133399,0.25,0
61,133399,0.125,0
62,133399,0.0,0
63,133399,0.0,0
64,131279,0.125,25
65,128743,0.25,24
66,126110,0.375,25
67,124641,0.5,25
68,127889,0.625,13
69,127904,0.75,12
70,131788,0.875,6
71,132631,1.0,4
72,132946,1.125,3
73,132569,1.25,3
74,133779,1.375,2
75,137041,1.25,0
76,136055,1.125,0
77,135795,1.0,0
78,135611,0.875,0
79,134204,1.0,1
80,135095,0.875,0
81,134977,0.75,0
82,134870,0.625,0
83,133773,0.75,1
84,133646,0.875,1
85,133636,1.0,1
86,133636,1.125,1
87,133636,1.25,1
88,133636,1.375,1
89,133636,1.5,1
90,133636,1.625,1
91,133636,1.75,1
92,133636,1.875,1
93,133636,2.0,1
94,133636,2.125,1
95,133636,2.25,1
96,133636,2.375,1
97,133636,2.5,1
98,133636,2.625,1
99,133636,2.75,1
100,133636,2.875,1
101,133636,3.0,1
102,133636,3.125,1
103,133636,3.25,1
104,133636,3.375,1
105,133636,3.5,1
106,133636,3.625,1
107,133636,3.75,1
108,133636,3.875,1
109,133636,4.0,1
110,133636,4.125,1
111,133636,4.25,1
112,133636,4.375,1
113,133636,4.5,1
114,133636,4.625,1
115,133636,4.75,1
116,133636,4.875,1
117,133636,5.0,1
118,135274,4.875,0
119,135274,4.75,0
120,135274,4.625,0
121,135274,4.5,0
122,135274,4.375,0
123,135274,4.25,0
124,135274,4.125,0
125,135274,4.0,0
126,135274,3.875,0
127,135274,3.75,0
128,135274,3.625,0
129,135274,3.5,0
130,135274,3.375,0
131,135274,3.25,0
132,135274,3.125,0
133,135274,3.0,0
134,135274,2.875,0
135,135274,2.75,0
136,135274,2.625,0
137,135274,2.5,0
138,135274,2.375,0
139,135274,2.25,0
140,135274,2.125,0
141,135274,2.0,0
142,135274,1.875,0
143,135274,1.75,0
144,135274,1.625,0
145,135274,1.5,0
146,135274,1.375,0
147,135274,1.25,0
148,135274,1.125,0
149,135274,1.0,0
150,135274,0.875,0
151,133636,1.0,1
152,133636,1.125,1
153,133636,1.25,1
154,133636,1.375,1
155,133636,1.5,1
156,133636,1.625,1
157,133636,1.75,1
158,133636,1.875,1
159,133636,2.0,1
160,133636,2.125,1
161,133636,2.25,1
162,133636,2.375,1
163,133636,2.5,1
164,133636,2.625,1
165,133636,2.75,1
166,133636,2.875,1
167,133636,3.0,1
168,133636,3.125,1
169,133636,3.25,1
170,133636,3.375,1
171,133636,3.5,1
172,133636,3.625,1
173,133636,3.75,1
174,133636,3.875,1
175,133636,4.0,1
176,133636,4.125,1
177,133636,4.25,1
178,133636,4.375,1
179,133636,4.5,1
180,133636,4.625,1
181,133636,4.75,1
182,133636,4.875,1
183,133636,5.0,1
184,135274,4.875,0
185,135274,4.75,0
186,135274,4.625,0
187,135274,4.5,0
188,135274,4.375,0
189,135274,4.25,0
190,135274,4.125,0
191,135274,4.0,0
192,135274,3.875,0
193,135274,3.75,0
194,135274,3.625,0
195,135274,3.5,0
196,135274,3.375,0
197,135274,3.25,0
198,135274,3.125,0
199,135274,3.0,0
200,135274,2.875,0
201,135274,2.75,0
202,135274,2.625,0
203,135274,2.5,0
204,135274,2.375,0
205,135274,2.25,0
206,135274,2.125,0
207,135274,2.0,0
208,135274,1.875,0
209,135274,1.75,0
210,135274,1.625,0
211,135274,1.5,0
212,135274,1.375,0
213,135274,1.25,0
214,135274,1.125,0
215,135274,1.0,0
216,135274,0.875,0
217,133636,1.0,1
218,133636,1.125,1
219,133636,1.25,1
220,133636,1.375,1
221,133636,1.5,1
222,133636,1.625,1
223,133636,1.75,1
224,133636,1.875,1
225,133636,2.0,1
226,133636,2.125,1
227,133636,2.25,1
228,133636,2.375,1
229,133636,2.5,1
230,133636,2.625,1
231,133636,2.75,1
232,133636,2.875,1
233,133636,3.0,1
234,133636,3.125,1
235,133636,3.25,1
236,133636,3.375,1
237,133636,3.5,1
238,133636,3.625,1
239,133636,3.75,1
240,133636,3.875,1
241,133636,4.0,1
242,133636,4.125,1
243,133636,4.25,1
244,133636,4.375,1
245,133636,4.5,1
246,133636,4.625,1
247,133636,4.75,1
248,133636,4.875,1
249,133636,5.0,1
250,135274,4.875,0
251,135274,4.75,0
252,135274,4.625,0
253,135274,4.5,0
254,135274,4.375,0
255,135274,4.25,0
256,135274,4.125,0
257,135274,4.0,0
258,135274,3.875,0
259,135274,3.75,0
260,135274,3.625,0
261,135274,3.5,0
262,135274,3.375,0
263,135274,3.25,0
264,135274,3.125,0
265,135274,3.0,0
266,135274,2.875,0
267,135274,2.75,0
268,135274,2.625,0
269,135274,2.5,0
270,135274,2.375,0
271,135274,2.25,0
272,135274,2.125,0
273,135274,2.0,0
274,135274,1.875,0
275,135274,1.75,0
276,135274,1.625,0
277,135274,1.5,0
278,135274,1.375,0
279,135274,1.25,0
280,135274,1.125,0
281,135274,1.0,0
282,135274,0.875,0
283,133636,1.0,1
284,133636,1.125,1
285,133636,1.25,1
286,133636,1.375,1
287,133636,1.5,1
288,133636,1.625,1
289,133636,1.75,1
290,133636,1.875,1
291,133636,2.0,1
292,133636,2.125,1
293,133636,2.25,1
294,133636,2.375,1
295,133636,2.5,1
296,133636,2.625,1
297,133636,2.75,1
298,133636,2.875,1
299,133636,3.0,1
300,133636,3.125,1
301,133636,3.25,1
302,133636,3.375,1
303,133636,3.5,1
304,133636,3.625,1
305,133636,3.75,1
306,133636,3.875,1
307,133636,4.0,1
308,133636,4.125,1
309,133636,4.25,1
310,133636,4.375,1
311,133636,4.5,1
312,133636,4.625,1
313,133636,4.75,1
314,133636,4.875,1
315,133636,5.0,1
316,135274,4.875,0
317,135274,4.75,0
318,135274,4.625,0
319,135274,4.5,0
320,135274,4.375,0
321,135274,4.25,0
322,135274,4.125,0
323,135274,4.0,0
324,135274,3.875,0
325,135274,3.75,0
326,135274,3.625,0
327,135274,3.5,0
328,135274,3.375,0
329,135274,3.25,0
330,135274,3.125,0
331,135274,3.0,0
332,135274,2.875,0
333,135274,2.75,0
334,135274,2.625,0
335,135274,2.5,0
336,135274,2.375,0
337,135274,2.25,0
338,135274,2.125,0
339,135274,2.0,0
340,135274,1.875,0
341,135274,1.75,0
342,135274,1.625,0
343,135274,1.5,0
344,135274,1.375,0
345,135274,1.25,0
346,135274,1.125,0
347,135274,1.0,0
348,135274,0.875,0
349,133636,1.0,1
350,133636,1.125,1
351,133636,1.25,1
352,133636,1.375,1
353,133636,1.5,1
354,133636,1.625,1
355,133636,1.75,1
356,133636,1.875,1
357,133636,2.0,1
358,133636,2.125,1
359,133636,2.25,1
360,133636,2.375,1
361,133636,2.5,1
362,133636,2.625,1
363,133636,2.75,1
364,133636,2.875,1
365,133636,3.0,1
366,133636,3.125,1
367,133636,3.25,1
368,133636,3.375,1
369,133636,3.5,1
370,133636,3.625,1
371,133636,3.75,1
372,133636,3.875,1
373,133636,4.0,1
374,133636,4.125,1
375,133636,4.25,1
376,133636,4.375,1
377,133636,4.5,1
378,133636,4.625,1
379,133636,4.75,1
380,133636,4.875,1
381,133636,5.0,1
382,135274,4.875,0
383,135274,4.75,0
384,135274,4.625,0
385,135274,4.5,0
386,135274,4.375,0
387,135274,4.25,0
388,135274,4.125,0
389,135274,4.0,0
390,135274,3.875,0
391,135274,3.75,0
392,135274,3.625,0
393,135274,3.5,0
394,135274,3.375,0
395,135274,3.25,0
396,135274,3.125,0
397,135274,3.0,0
398,135274,2.875,0
399,135274,2.75,0
400,135274,2.625,0
401,135274,2.5,0
402,135274,2.375,0
403,135274,2.25,0
404,135274,2.125,0
405,135274,2.0,0
406,135274,1.875,0
407,135274,1.75,0
408,135274,1.625,0
409,135274,1.5,0
410,135274,1.375,0
411,135274,1.25,0
412,135274,1.125,0
413,135274,1.0,0
414,135274,0.875,0
415,133636,1.0,1
416,133636,1.125,1
417,133636,1.25,1
418,133636,1.375,1
419,133636,1.5,1
420,133636,1.625,1
421,133636,1.75,1
422,133636,1.875,1
423,133636,2.0,1
424,133636,2.125,1
425,133636,2.25,1
426,133636,2.375,1
427,133636,2.5,1
428,133636,2.625,1
429,133636,2.75,1
430,133636,2.875,1
431,133636,3.0,1
432,133636,3.125,1
433,133636,3.25,1
434,133636,3.375,1
435,133636,3.5,1
436,133636,3.625,1
437,133636,3.75,1
438,133636,3.875,1
439,133636,4.0,1
440,133636,4.125,1
441,133636,4.25,1
442,133636,4.375,1
443,133636,4.5,1
444,133636,4.625,1
445,133636,4.75,1
446,133636,4.875,1
447,133636,5.0,1
448,135274,4.875,0
449,135274,4.75,0
450,135274,4.625,0
451,135274,4.5,0
452,135274,4.375,0
453,135274,4.25,0
454,135274,4.125,0
455,135274,4.0,0
456,135274,3.875,0
457,135274,3.75,0
458,135274,3.625,0
459,135274,3.5,0
460,135274,3.375,0
461,135274,3.25,0
462,135274,3.125,0
463,135274,3.0,0
464,135274,2.875,0
465,135274,2.75,0
466,135274,2.625,0
467,135274,2.5,0
468,135274,2.375,0
469,135274,2.25,0
470,135274,2.125,0
471,135274,2.0,0
472,135274,1.875,0
473,135274,1.75,0
474,135274,1.625,0
475,135274,1.5,0
476,135274,1.375,0
477,135274,1.25,0
478,135274,1.125,0
479,135274,1.0,0
480,135274,0.875,0
481,133636,1.0,1
482,133636,1.125,1
483,133636,1.25,1
484,133636,1.375,1
485,133636,1.5,1
486,133636,1.625,1
487,133636,1.75,1
488,133636,1.875,1
489,133636,2.0,1
490,133636,2.125,1
491,133636,2.25,1
492,133636,2.375,1
493,133636,2.5,1
494,133636,2.625,1
495,133636,2.75,1
496,133636,2.875,1
497,133636,3.0,1
498,133636,3.125,1
499,133636,3.25,1
500,133636,3.375,1
501,133636,3.5,1
502,133636,3.625,1
503,133636,3.75,1
504,133636,3.875,1
505,133636,4.0,1
506,133636,4.125,1
507,133636,4.25,1
508,133636,4.375,1
509,133636,4.5,1
510,133636,4.625,1
511,133636,4.75,1
512,133636,4.875,1
513,133636,5.0,1
514,135274,4.875,0
515,135274,4.75,0
516,135274,4.625,0
517,135274,4.5,0
518,135274,4.375,0
519,135274,4.25,0
520,135274,4.125,0
521,135274,4.0,0
522,135274,3.875,0
523,135274,3.75,0
524,135274,3.625,0
525,135274,3.5,0
526,135274,3.375,0
527,135274,3.25,0
528,135274,3.125,0
529,135274,3.0,0
530,135274,2.875,0
531,135274,2.75,0
532,135274,2.625,0
