iteration,cost,penalty,softConstraintViolations
1,115526,0.125,102
2,110435,0.25,102
3,107155,0.375,102
4,103052,0.5,102
5,102872,0.625,94
6,104116,0.75,84
7,105577,0.875,74
8,107694,1.0,64
9,123042,1.125,37
10,137322,1.25,15
11,143315,1.375,7
12,148673,1.5,2
13,143805,1.625,3
14,142095,1.75,2
15,142009,1.875,1
16,140081,2.0,1
17,138649,2.125,1
18,140744,2.0,0
19,140006,1.875,0
20,139465,1.75,0
21,139209,1.625,0
22,139080,1.5,0
23,138795,1.375,0
24,138017,1.25,0
25,137776,1.125,0
26,137709,1.0,0
27,136988,0.875,0
28,136870,0.75,0
29,136301,0.625,0
30,135422,0.75,1
31,135306,0.875,1
32,135306,1.0,1
33,135306,1.125,1
34,135306,1.25,1
35,135306,1.375,1
36,135306,1.5,1
37,135306,1.625,1
38,135306,1.75,1
39,135306,1.875,1
40,135306,2.0,1
41,135306,2.125,1
42,135306,2.25,1
43,135306,2.375,1
44,135306,2.5,1
45,135306,2.625,1
46,135306,2.75,1
47,135306,2.875,1
48,135306,3.0,1
49,135306,3.125,1
50,135306,3.25,1
51,135306,3.375,1
52,135306,3.5,1
53,135306,3.625,1
54,135306,3.75,1
55,135306,3.875,1
56,135306,4.0,1
57,135306,4.125,1
58,135306,4.25,1
59,135306,4.375,1
60,135306,4.5,1
61,135306,4.625,1
62,135306,4.75,1
63,135306,4.875,1
64,135306,5.0,1
65,138338,4.875,0
66,137905,4.75,0
67,137293,4.625,0
68,136773,4.5,0
69,136324,4.375,0
70,135979,4.25,0
71,135701,4.125,0
72,135209,4.0,0
73,135118,3.875,0
74,135118,3.75,0
75,135118,3.625,0
76,135118,3.5,0
77,135118,3.375,0
78,135118,3.25,0
79,135118,3.125,0
80,135118,3.0,0
81,135118,2.875,0
82,135118,2.75,0
83,135118,2.625,0
84,135118,2.5,0
85,135118,2.375,0
86,135118,2.25,0
87,135118,2.125,0
88,135118,2.0,0
89,135118,1.875,0
90,135118,1.75,0
91,135118,1.625,0
92,135118,1.5,0
93,135118,1.375,0
94,135118,1.25,0
95,135118,1.125,0
96,135118,1.0,0
97,135118,0.875,0
98,135118,0.75,0
99,135118,0.625,0
100,135118,0.5,0
101,135118,0.375,0
102,135118,0.25,0
103,135118,0.125,0
104,135118,0.0,0
105,131643,0.125,21
106,127266,0.25,23
107,125743,0.375,24
108,125754,0.5,21
109,125088,0.625,20
110,125580,0.75,18
111,125072,0.875,18
112,127998,1.0,14
113,134829,1.125,7
114,136662,1.25,2
