neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
368280,351144,4842,346302,17136,61959,0,61959,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:15 CEST 2011,39356,24073,24073.0,0.0,0
243000,232325,3390,228935,10675,38973,0,38973,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:09 CEST 2011,32592,24606,24606.0,0.0,0
227520,216192,3078,213114,11328,32766,0,32766,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:07 CEST 2011,31035,24073,24073.0,0.0,0
601920,573642,7930,565712,28278,103084,0,103084,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:20 CEST 2011,43504,24073,24073.0,0.0,0
601920,573642,7930,565712,28278,103084,0,103084,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:20 CEST 2011,43748,24073,24073.0,0.0,0
204840,193042,2876,190166,11798,24792,0,24792,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:06 CEST 2011,30362,24691,24691.0,0.0,0
368280,351144,4842,346302,17136,61959,0,61959,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:16 CEST 2011,39398,24073,24073.0,0.0,0
248760,237344,3358,233986,11416,40011,0,40011,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:10 CEST 2011,33644,24691,24691.0,0.0,0
314640,299912,4155,295757,14728,50820,0,50820,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:13 CEST 2011,37032,24073,24073.0,0.0,0
368280,351144,4842,346302,17136,61959,0,61959,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:15 CEST 2011,38867,24073,24073.0,0.0,0
248760,237344,3358,233986,11416,40011,0,40011,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:09 CEST 2011,33118,24691,24691.0,0.0,0
601920,573642,7930,565712,28278,103084,0,103084,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:20 CEST 2011,43321,24073,24073.0,0.0,0
192600,184861,2663,182198,7739,27339,0,27339,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:02 CEST 2011,26105,24757,24757.0,0.0,0
192600,184861,2663,182198,7739,27339,0,27339,Sat Jun 25 20:40:37 CEST 2011,Sat Jun 25 20:41:03 CEST 2011,26043,24757,24757.0,0.0,0
