iteration,cost,penalty,softConstraintViolations
1,24753,0.125,11
2,23564,0.25,11
3,22306,0.375,11
4,21998,0.5,11
5,21537,0.625,14
6,21635,0.75,12
7,21635,0.875,12
8,21635,1.0,12
9,21895,1.125,10
10,21797,1.25,10
11,22258,1.375,8
12,22885,1.5,5
13,22885,1.625,5
14,22885,1.75,5
15,22885,1.875,5
16,22885,2.0,5
17,22885,2.125,5
18,22885,2.25,5
19,22885,2.375,5
20,22885,2.5,5
21,22885,2.625,5
22,22885,2.75,5
23,22885,2.875,5
24,22885,3.0,5
25,22885,3.125,5
26,22885,3.25,5
27,22885,3.375,5
28,22885,3.5,5
29,22885,3.625,5
30,22885,3.75,5
31,22885,3.875,5
32,22885,4.0,5
33,22885,4.125,5
34,22885,4.25,5
35,22885,4.375,5
36,22885,4.5,5
37,22885,4.625,5
38,22885,4.75,5
39,22885,4.875,5
40,22885,5.0,5
41,27837,4.875,0
42,26654,4.75,0
43,25736,4.625,0
44,25623,4.5,0
45,25567,4.375,0
46,25567,4.25,0
47,25337,4.125,0
48,25170,4.0,0
49,24910,3.875,0
50,24903,3.75,0
51,24728,3.625,0
52,24700,3.5,0
53,24700,3.375,0
54,24700,3.25,0
55,24700,3.125,0
56,24700,3.0,0
57,24700,2.875,0
58,24700,2.75,0
59,24700,2.625,0
60,24700,2.5,0
61,24700,2.375,0
62,24700,2.25,0
63,24700,2.125,0
64,24700,2.0,0
65,24700,1.875,0
66,24700,1.75,0
67,24700,1.625,0
68,24700,1.5,0
69,24700,1.375,0
70,24700,1.25,0
71,24700,1.125,0
72,24700,1.0,0
73,24700,0.875,0
74,24700,0.75,0
75,24700,0.625,0
76,23530,0.75,6
77,23577,0.875,4
78,22274,1.0,10
79,21345,1.125,12
80,21004,1.25,12
81,20773,1.375,12
82,20753,1.5,12
83,20753,1.625,12
84,20753,1.75,12
85,21014,1.875,11
86,20923,2.0,11
87,20913,2.125,11
88,20913,2.25,11
89,20913,2.375,11
90,20913,2.5,11
91,20913,2.625,11
92,20913,2.75,11
93,20913,2.875,11
94,20913,3.0,11
95,20913,3.125,11
96,20913,3.25,11
97,20913,3.375,11
98,20913,3.5,11
99,20913,3.625,11
100,20913,3.75,11
101,20913,3.875,11
102,20913,4.0,11
103,20913,4.125,11
104,20913,4.25,11
105,20913,4.375,11
106,27310,4.25,0
107,26909,4.125,0
108,26453,4.0,0
109,26206,3.875,0
110,26056,3.75,0
111,26046,3.625,0
112,25874,3.5,0
113,25677,3.375,0
114,25652,3.25,0
115,25652,3.125,0
116,25652,3.0,0
117,25652,2.875,0
118,25652,2.75,0
119,25652,2.625,0
120,25652,2.5,0
121,25652,2.375,0
122,25652,2.25,0
123,25652,2.125,0
124,25652,2.0,0
125,25652,1.875,0
126,25652,1.75,0
127,25652,1.625,0
128,25652,1.5,0
129,25652,1.375,0
130,25652,1.25,0
131,25652,1.125,0
132,25652,1.0,0
133,25652,0.875,0
134,25652,0.75,0
135,25652,0.625,0
136,25652,0.5,0
137,24372,0.625,10
138,21845,0.75,14
139,21255,0.875,14
140,20746,1.0,14
141,21007,1.125,12
142,21007,1.25,12
143,21007,1.375,12
144,21007,1.5,12
145,20971,1.625,12
146,21185,1.75,11
147,21185,1.875,11
148,21185,2.0,11
149,21185,2.125,11
150,21185,2.25,11
151,21185,2.375,11
152,21185,2.5,11
153,21185,2.625,11
154,21185,2.75,11
155,21185,2.875,11
156,21185,3.0,11
157,21185,3.125,11
158,21185,3.25,11
159,25982,3.375,2
160,26323,3.25,0
161,25922,3.125,0
162,25821,3.0,0
163,25538,2.875,0
164,25511,2.75,0
165,25511,2.625,0
166,25511,2.5,0
167,25511,2.375,0
168,25511,2.25,0
169,25511,2.125,0
170,25511,2.0,0
171,25511,1.875,0
172,25511,1.75,0
173,25511,1.625,0
174,25511,1.5,0
175,25511,1.375,0
176,25511,1.25,0
177,25511,1.125,0
178,25511,1.0,0
179,25511,0.875,0
180,25511,0.75,0
181,25511,0.625,0
182,25511,0.5,0
183,25511,0.375,0
184,25511,0.25,0
185,25511,0.125,0
186,25511,0.0,0
187,25106,0.125,18
188,22814,0.25,14
189,20646,0.375,18
190,20461,0.5,18
191,20451,0.625,18
192,20423,0.75,18
193,20423,0.875,18
194,20423,1.0,18
195,20423,1.125,18
196,20423,1.25,18
197,20423,1.375,18
198,21105,1.5,14
199,21072,1.625,13
200,21092,1.75,11
201,21024,1.875,11
202,20913,2.0,11
203,20913,2.125,11
204,20913,2.25,11
205,20913,2.375,11
206,20913,2.5,11
207,20913,2.625,11
208,20913,2.75,11
209,20913,2.875,11
210,20913,3.0,11
211,20913,3.125,11
212,20913,3.25,11
213,20913,3.375,11
214,20913,3.5,11
215,20913,3.625,11
216,20913,3.75,11
217,20913,3.875,11
218,20913,4.0,11
219,20913,4.125,11
220,20913,4.25,11
