neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
120120,115130,1526,113604,4990,10063,0,10063,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:48 CEST 2011,6412,24614,24614.0,0.0,0
192270,183008,2363,180645,9262,16372,0,16372,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:50 CEST 2011,7966,24888,24888.0,0.0,0
121680,116676,1540,115136,5004,7501,0,7501,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:48 CEST 2011,6380,26457,26457.0,0.0,0
205140,196821,2626,194195,8319,17714,0,17714,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:50 CEST 2011,7996,24725,24725.0,0.0,0
195000,187780,2377,185403,7220,16182,0,16182,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:50 CEST 2011,7893,25021,25021.0,0.0,0
297180,284004,3653,280351,13176,21461,0,21461,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:50 CEST 2011,8363,24269,24269.0,0.0,0
148590,142398,1805,140593,6192,13286,0,13286,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:49 CEST 2011,7088,25061,25061.0,0.0,0
178230,171908,2184,169724,6322,15764,0,15764,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:49 CEST 2011,7629,25445,25445.0,0.0,0
145470,139795,1651,138144,5675,12302,0,12302,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:49 CEST 2011,7059,24470,24470.0,0.0,0
150930,145272,1667,143605,5658,10565,0,10565,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:49 CEST 2011,7033,25638,25638.0,0.0,0
