grasptries,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,149370,142528,1855,140673,6842,20720,0,20720,Fri Jun 24 18:26:57 CEST 2011,Fri Jun 24 18:26:59 CEST 2011,1731,24073,24073.0,0.0,0
10,1960920,1877917,24375,1853542,83003,329927,0,329927,Fri Jun 24 18:26:59 CEST 2011,Fri Jun 24 18:27:09 CEST 2011,9581,24073,24073.0,0.0,0
20,3468660,3321912,43222,3278690,146748,557802,0,557802,Fri Jun 24 18:27:09 CEST 2011,Fri Jun 24 18:27:26 CEST 2011,17571,24073,24073.0,0.0,0
30,5243550,5024506,65373,4959133,219044,853471,0,853471,Fri Jun 24 18:27:26 CEST 2011,Fri Jun 24 18:27:54 CEST 2011,27580,24073,24073.0,0.0,0
40,6714240,6436629,84063,6352566,277611,1103201,0,1103201,Fri Jun 24 18:27:54 CEST 2011,Fri Jun 24 18:28:29 CEST 2011,34696,24073,24073.0,0.0,0
50,8769540,8397698,108429,8289269,371842,1433057,0,1433057,Fri Jun 24 18:28:29 CEST 2011,Fri Jun 24 18:29:04 CEST 2011,34880,24073,24073.0,0.0,0
60,10280790,9850993,128065,9722928,429797,1694313,0,1694313,Fri Jun 24 18:29:04 CEST 2011,Fri Jun 24 18:29:49 CEST 2011,44817,24073,24073.0,0.0,0
70,13053690,12512132,163058,12349074,541558,2202914,0,2202914,Fri Jun 24 18:29:49 CEST 2011,Fri Jun 24 18:30:43 CEST 2011,53870,24073,24073.0,0.0,0
80,14664780,14048975,182748,13866227,615805,2446599,0,2446599,Fri Jun 24 18:30:43 CEST 2011,Fri Jun 24 18:31:46 CEST 2011,62828,24073,24073.0,0.0,0
90,16103490,15419125,200002,15219123,684365,2645163,0,2645163,Fri Jun 24 18:31:46 CEST 2011,Fri Jun 24 18:33:09 CEST 2011,82812,24073,24073.0,0.0,0
100,17408430,16682092,217617,16464475,726338,2846108,0,2846108,Fri Jun 24 18:33:09 CEST 2011,Fri Jun 24 18:34:21 CEST 2011,71588,24073,24073.0,0.0,0
