iteration,cost,penalty,softConstraintViolations
1,25611,0.125,7
2,25076,0.25,8
3,24258,0.375,8
4,23181,0.5,8
5,22934,0.625,8
6,22934,0.75,7
7,23025,0.875,6
8,23025,1.0,6
9,23025,1.125,6
10,23025,1.25,6
11,23025,1.375,6
12,23025,1.5,6
13,23025,1.625,6
14,23025,1.75,6
15,23025,1.875,6
16,23025,2.0,6
17,23025,2.125,6
18,23025,2.25,6
19,23025,2.375,6
20,23025,2.5,6
21,23025,2.625,6
22,26459,2.5,0
23,25495,2.375,0
24,25492,2.25,0
25,25242,2.125,0
26,25242,2.0,0
27,25242,1.875,0
28,25242,1.75,0
29,25242,1.625,0
30,25242,1.5,0
31,25242,1.375,0
32,25242,1.25,0
33,25242,1.125,0
34,25025,1.0,0
35,24912,0.875,0
36,24912,0.75,0
37,24912,0.625,0
38,24912,0.5,0
39,24912,0.375,0
40,24912,0.25,0
41,24912,0.125,0
42,24912,0.0,0
43,24912,0.0,0
44,24912,0.0,0
45,24912,0.0,0
46,24912,0.0,0
47,24912,0.0,0
48,24912,0.0,0
49,24912,0.0,0
50,24912,0.0,0
51,24912,0.0,0
52,24912,0.0,0
53,24912,0.0,0
54,24912,0.0,0
55,24912,0.0,0
56,24912,0.0,0
57,24912,0.0,0
58,24912,0.0,0
59,24912,0.0,0
60,24912,0.0,0
61,24912,0.0,0
62,24912,0.0,0
63,24912,0.0,0
64,24912,0.0,0
65,24912,0.0,0
66,24912,0.0,0
67,24775,0.125,6
68,23983,0.25,8
69,23043,0.375,7
70,23043,0.5,6
71,23043,0.625,6
72,23043,0.75,6
73,23043,0.875,6
74,23043,1.0,6
75,23043,1.125,6
76,23043,1.25,6
77,23043,1.375,6
78,23043,1.5,6
79,23309,1.625,5
80,23237,1.75,5
81,23096,1.875,5
82,23863,2.0,3
83,24169,2.125,2
84,24169,2.25,2
85,24169,2.375,2
86,24169,2.5,2
87,24169,2.625,2
88,24169,2.75,2
89,24169,2.875,2
90,24169,3.0,2
91,24169,3.125,2
92,24169,3.25,2
93,24169,3.375,2
94,24169,3.5,2
95,24169,3.625,2
96,24169,3.75,2
97,24169,3.875,2
98,24169,4.0,2
99,26021,3.875,0
100,25882,3.75,0
101,25882,3.625,0
102,25882,3.5,0
103,25882,3.375,0
104,25882,3.25,0
105,25882,3.125,0
106,25882,3.0,0
107,25882,2.875,0
108,25882,2.75,0
109,25882,2.625,0
110,25882,2.5,0
111,25882,2.375,0
112,25882,2.25,0
113,25882,2.125,0
114,25882,2.0,0
115,25882,1.875,0
116,25882,1.75,0
117,25882,1.625,0
118,25882,1.5,0
119,24213,1.625,4
120,23692,1.75,5
121,23831,1.875,4
122,23826,2.0,3
123,24224,2.125,2
124,24224,2.25,2
125,24224,2.375,2
126,24224,2.5,2
127,24224,2.625,2
128,24224,2.75,2
129,24224,2.875,2
130,24224,3.0,2
131,24224,3.125,2
132,24224,3.25,2
133,24224,3.375,2
134,24224,3.5,2
135,24224,3.625,2
136,24224,3.75,2
137,24224,3.875,2
138,24224,4.0,2
139,24224,4.125,2
140,24224,4.25,2
141,24224,4.375,2
142,24224,4.5,2
143,24224,4.625,2
144,24224,4.75,2
145,24224,4.875,2
146,24224,5.0,2
147,24224,5.125,2
148,24224,5.25,2
149,24224,5.375,2
150,24224,5.5,2
151,24224,5.625,2
152,24224,5.75,2
153,24224,5.875,2
154,24224,6.0,2
155,24224,6.125,2
156,24224,6.25,2
157,24224,6.375,2
158,24224,6.5,2
159,24224,6.625,2
160,24224,6.75,2
161,24224,6.875,2
162,24224,7.0,2
163,24224,7.125,2
164,24224,7.25,2
165,24224,7.375,2
166,24224,7.5,2
167,24224,7.625,2
168,24224,7.75,2
169,24224,7.875,2
170,24224,8.0,2
171,24224,8.125,2
172,24224,8.25,2
173,24224,8.375,2
174,24224,8.5,2
175,24224,8.625,2
176,24224,8.75,2
177,24224,8.875,2
178,24224,9.0,2
179,24224,9.125,2
180,24224,9.25,2
181,24224,9.375,2
182,24224,9.5,2
183,24224,9.625,2
184,24224,9.75,2
185,24224,9.875,2
186,24224,10.0,2
187,24224,10.125,2
188,27286,10.0,0
189,25576,9.875,0
190,25576,9.75,0
191,25576,9.625,0
192,25576,9.5,0
193,25576,9.375,0
194,25576,9.25,0
195,25576,9.125,0
196,25576,9.0,0
197,25576,8.875,0
198,25576,8.75,0
