neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
94380,90008,346,89662,4372,13413,0,13413,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:24 CEST 2011,4228,24957,24957.0,0.0,0
223080,213273,839,212434,9807,45393,0,45393,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:25 CEST 2011,5893,24122,24122.0,0.0,0
138270,132882,564,132318,5388,23526,0,23526,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:25 CEST 2011,5218,25020,25020.0,0.0,0
93720,89214,340,88874,4506,14970,0,14970,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:24 CEST 2011,4513,24912,24912.0,0.0,0
92730,86334,320,86014,6396,27768,0,27768,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:24 CEST 2011,4459,24174,24174.0,0.0,0
93720,89214,340,88874,4506,14970,0,14970,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:24 CEST 2011,4323,24912,24912.0,0.0,0
228360,216775,822,215953,11585,38844,0,38844,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:26 CEST 2011,5877,24664,24664.0,0.0,0
117810,112436,444,111992,5374,25905,0,25905,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:25 CEST 2011,4969,24667,24667.0,0.0,0
97680,93014,352,92662,4666,19194,0,19194,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:24 CEST 2011,4532,24872,24872.0,0.0,0
138270,132882,564,132318,5388,23526,0,23526,Fri Jun 24 18:14:20 CEST 2011,Fri Jun 24 18:14:25 CEST 2011,5173,25020,25020.0,0.0,0
