iteration,cost,penalty,softConstraintViolations
1,24669,0.125,8
2,23934,0.25,8
3,23343,0.375,8
4,22977,0.5,9
5,22805,0.625,9
6,21867,0.75,13
7,21521,0.875,13
8,21274,1.0,13
9,20888,1.125,13
10,20860,1.25,13
11,20860,1.375,13
12,20860,1.5,13
13,20860,1.625,13
14,20860,1.75,13
15,20860,1.875,13
16,20860,2.0,13
17,20860,2.125,13
18,20860,2.25,13
19,20860,2.375,13
20,20860,2.5,13
21,20860,2.625,13
22,20860,2.75,13
23,20860,2.875,13
24,20860,3.0,13
25,22550,3.125,9
26,23570,3.25,6
27,23479,3.375,5
28,23432,3.5,5
29,23432,3.625,5
30,23432,3.75,5
31,25543,3.875,2
32,25543,4.0,2
33,25543,4.125,2
34,25543,4.25,2
35,25543,4.375,2
36,25543,4.5,2
37,25543,4.625,2
38,25543,4.75,2
39,25543,4.875,2
40,25543,5.0,2
41,25543,5.125,2
42,25543,5.25,2
43,25543,5.375,2
44,26708,5.5,1
45,27555,5.375,0
46,27464,5.25,0
47,27464,5.125,0
48,27464,5.0,0
49,27240,4.875,0
50,27158,4.75,0
51,27158,4.625,0
52,27158,4.5,0
53,27158,4.375,0
54,27158,4.25,0
55,27158,4.125,0
56,27158,4.0,0
57,27158,3.875,0
58,27158,3.75,0
59,27158,3.625,0
60,27158,3.5,0
61,27158,3.375,0
62,27158,3.25,0
63,27158,3.125,0
64,27158,3.0,0
65,27158,2.875,0
66,27158,2.75,0
67,27158,2.625,0
68,27158,2.5,0
69,27158,2.375,0
70,27158,2.25,0
71,27158,2.125,0
72,27158,2.0,0
73,25500,2.125,2
74,24536,2.25,2
75,23466,2.375,3
76,23466,2.5,3
77,23466,2.625,3
78,23466,2.75,3
79,23466,2.875,3
80,23466,3.0,3
81,23466,3.125,3
82,23466,3.25,3
83,23466,3.375,3
84,23466,3.5,3
85,23466,3.625,3
86,23466,3.75,3
87,23466,3.875,3
88,23466,4.0,3
89,23466,4.125,3
90,24893,4.25,1
91,24685,4.125,0
92,24685,4.0,0
93,24685,3.875,0
94,24685,3.75,0
95,24685,3.625,0
96,24685,3.5,0
97,24685,3.375,0
98,24685,3.25,0
99,24685,3.125,0
100,24685,3.0,0
101,24685,2.875,0
102,24685,2.75,0
103,24685,2.625,0
104,24685,2.5,0
105,24685,2.375,0
106,24685,2.25,0
107,24685,2.125,0
108,24667,2.0,0
109,24667,1.875,0
110,24667,1.75,0
111,24667,1.625,0
112,24667,1.5,0
113,24667,1.375,0
114,24667,1.25,0
115,24667,1.125,0
116,24667,1.0,0
117,24667,0.875,0
118,24667,0.75,0
119,24667,0.625,0
120,24667,0.5,0
121,24667,0.375,0
122,24667,0.25,0
123,24667,0.125,0
124,24667,0.0,0
125,24667,0.0,0
126,24667,0.0,0
127,24667,0.0,0
128,24667,0.0,0
129,24667,0.0,0
130,24667,0.0,0
131,24667,0.0,0
132,24667,0.0,0
133,24667,0.0,0
134,24667,0.0,0
135,24667,0.0,0
136,24667,0.0,0
137,24667,0.0,0
