neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
29505,27678,320,27358,1827,14617,0,14617,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1800,24174,24174.0,0.0,0
37485,36015,467,35548,1470,12421,0,12421,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,2026,24667,24667.0,0.0,0
39795,37918,480,37438,1877,15580,0,15580,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,2064,24316,24316.0,0.0,0
37485,36015,467,35548,1470,12421,0,12421,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1997,24667,24667.0,0.0,0
31500,30120,385,29735,1380,7935,0,7935,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1819,25803,25803.0,0.0,0
56595,54316,668,53648,2279,18583,0,18583,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,2148,24122,24122.0,0.0,0
28980,27873,387,27486,1107,8764,0,8764,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1687,25085,25085.0,0.0,0
29820,28680,376,28304,1140,8599,0,8599,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1706,24912,24912.0,0.0,0
30030,28714,347,28367,1316,7084,0,7084,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1578,24957,24957.0,0.0,0
42000,40370,501,39869,1630,11523,0,11523,Fri Jun 24 18:15:17 CEST 2011,Fri Jun 24 18:15:19 CEST 2011,1998,25246,25246.0,0.0,0
