iteration,cost,penalty,softConstraintViolations
1,25611,0.125,7
2,25076,0.25,8
3,24258,0.375,8
4,23181,0.5,8
5,22934,0.625,8
6,22934,0.75,7
7,23025,0.875,6
8,23025,1.0,6
9,23025,1.125,6
10,23025,1.25,6
11,23025,1.375,6
12,23025,1.5,6
13,23025,1.625,6
14,23025,1.75,6
15,23025,1.875,6
16,23025,2.0,6
17,23025,2.125,6
18,23025,2.25,6
19,23025,2.375,6
20,23025,2.5,6
21,23025,2.625,6
22,26459,2.5,0
23,25495,2.375,0
24,25492,2.25,0
25,25242,2.125,0
26,25242,2.0,0
27,25242,1.875,0
28,25242,1.75,0
29,25242,1.625,0
30,25242,1.5,0
31,25242,1.375,0
32,25242,1.25,0
33,25242,1.125,0
34,25025,1.0,0
35,24912,0.875,0
36,24912,0.75,0
37,24912,0.625,0
38,24912,0.5,0
39,24912,0.375,0
40,24912,0.25,0
41,24912,0.125,0
42,24912,0.0,0
43,24912,0.0,0
44,24912,0.0,0
45,24912,0.0,0
46,24912,0.0,0
47,24912,0.0,0
48,24912,0.0,0
49,24912,0.0,0
50,24912,0.0,0
51,24912,0.0,0
52,24912,0.0,0
53,24912,0.0,0
54,24912,0.0,0
55,24912,0.0,0
56,24912,0.0,0
57,24912,0.0,0
58,24912,0.0,0
59,24912,0.0,0
60,24912,0.0,0
61,24912,0.0,0
62,24912,0.0,0
63,24912,0.0,0
64,24912,0.0,0
65,24912,0.0,0
66,24912,0.0,0
67,24775,0.125,6
68,23983,0.25,8
69,23065,0.375,6
70,23086,0.5,4
71,23086,0.625,4
72,23086,0.75,4
73,23086,0.875,4
74,23086,1.0,4
75,23086,1.125,4
76,23086,1.25,4
77,23086,1.375,4
78,23086,1.5,4
79,23086,1.625,4
80,23086,1.75,4
81,23086,1.875,4
82,23086,2.0,4
83,23086,2.125,4
84,23086,2.25,4
85,23086,2.375,4
86,23086,2.5,4
87,23086,2.625,4
88,23086,2.75,4
89,23086,2.875,4
90,23086,3.0,4
91,23086,3.125,4
92,23086,3.25,4
93,23086,3.375,4
94,23086,3.5,4
95,23086,3.625,4
96,23086,3.75,4
97,23086,3.875,4
98,23086,4.0,4
99,23086,4.125,4
100,23086,4.25,4
101,23086,4.375,4
102,23086,4.5,4
103,23086,4.625,4
104,23086,4.75,4
105,23086,4.875,4
106,23086,5.0,4
107,23086,5.125,4
108,23086,5.25,4
109,23086,5.375,4
110,23086,5.5,4
111,23086,5.625,4
112,23086,5.75,4
113,23086,5.875,4
114,23086,6.0,4
115,23086,6.125,4
116,23086,6.25,4
117,23086,6.375,4
118,23086,6.5,4
119,27844,6.375,0
120,25601,6.25,0
121,25346,6.125,0
122,25205,6.0,0
123,25205,5.875,0
124,25205,5.75,0
125,25205,5.625,0
126,25205,5.5,0
127,25205,5.375,0
128,25205,5.25,0
129,25205,5.125,0
130,25205,5.0,0
131,25205,4.875,0
132,25205,4.75,0
133,25205,4.625,0
134,25205,4.5,0
135,25205,4.375,0
136,25205,4.25,0
137,25205,4.125,0
138,25205,4.0,0
139,25205,3.875,0
140,25205,3.75,0
141,25205,3.625,0
142,25205,3.5,0
143,25205,3.375,0
144,25205,3.25,0
145,25205,3.125,0
146,25205,3.0,0
147,25205,2.875,0
148,25205,2.75,0
149,25205,2.625,0
150,25205,2.5,0
151,25205,2.375,0
152,25205,2.25,0
153,25205,2.125,0
154,25205,2.0,0
155,25205,1.875,0
156,25205,1.75,0
157,25205,1.625,0
158,25205,1.5,0
159,25205,1.375,0
160,25205,1.25,0
161,25205,1.125,0
162,25205,1.0,0
163,25205,0.875,0
164,25205,0.75,0
165,25205,0.625,0
166,25205,0.5,0
167,25205,0.375,0
168,25205,0.25,0
169,25205,0.125,0
170,23848,0.25,10
171,22963,0.375,16
172,22065,0.5,16
173,21231,0.625,16
174,20691,0.75,16
175,20878,0.875,13
176,20958,1.0,11
177,20958,1.125,11
178,20958,1.25,11
179,20958,1.375,11
180,20958,1.5,11
181,20958,1.625,11
182,20958,1.75,11
183,20958,1.875,11
184,20958,2.0,11
185,20958,2.125,11
186,20958,2.25,11
187,20958,2.375,11
188,20958,2.5,11
189,21215,2.625,10
190,21215,2.75,10
191,21215,2.875,10
192,22816,3.0,6
193,25890,3.125,1
194,26019,3.0,0
195,25859,2.875,0
196,25801,2.75,0
197,25796,2.625,0
198,25796,2.5,0
