neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
201750,192193,669,191524,9557,27481,0,27481,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:33 CEST 2011,6583,24770,24770.0,0.0,0
111000,105661,353,105308,5339,21089,0,21089,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5289,24872,24872.0,0.0,0
142125,134980,480,134500,7145,34226,0,34226,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,6037,24316,24316.0,0.0,0
106500,102080,376,101704,4420,19069,0,19069,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5284,24912,24912.0,0.0,0
103500,98432,336,98096,5068,20474,0,20474,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5173,25302,25302.0,0.0,0
201750,192193,669,191524,9557,27481,0,27481,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:33 CEST 2011,6517,24770,24770.0,0.0,0
107250,102224,347,101877,5026,14758,0,14758,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5336,24957,24957.0,0.0,0
133875,128177,467,127710,5698,26971,0,26971,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5916,24667,24667.0,0.0,0
133875,128177,467,127710,5698,26971,0,26971,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5830,24667,24667.0,0.0,0
109875,104426,358,104068,5449,17042,0,17042,Fri Jun 24 18:15:26 CEST 2011,Fri Jun 24 18:15:32 CEST 2011,5119,24122,24122.0,0.0,0
