iteration,cost,penalty,softConstraintViolations
1,25523,0.125,9
2,24781,0.25,6
3,23852,0.375,9
4,23267,0.5,9
5,22204,0.625,11
6,21909,0.75,12
7,21897,0.875,12
8,21897,1.0,12
9,21897,1.125,12
10,21897,1.25,12
11,21897,1.375,12
12,21897,1.5,12
13,21897,1.625,12
14,21897,1.75,12
15,21897,1.875,12
16,21897,2.0,12
17,24729,2.125,4
18,24879,2.25,3
19,24848,2.375,3
20,24612,2.5,3
21,24585,2.625,3
22,24585,2.75,3
23,23934,2.875,4
24,23649,3.0,4
25,23546,3.125,4
26,23546,3.25,4
27,23546,3.375,4
28,23546,3.5,4
29,25586,3.375,0
30,25586,3.25,0
31,25586,3.125,0
32,25586,3.0,0
33,25586,2.875,0
34,25586,2.75,0
35,25586,2.625,0
36,25586,2.5,0
37,25586,2.375,0
38,25586,2.25,0
39,25586,2.125,0
40,25586,2.0,0
41,25586,1.875,0
42,25586,1.75,0
43,25586,1.625,0
44,25586,1.5,0
45,25586,1.375,0
46,25586,1.25,0
47,25586,1.125,0
48,25586,1.0,0
49,25586,0.875,0
50,25586,0.75,0
51,25586,0.625,0
52,25586,0.5,0
53,24154,0.625,10
54,23206,0.75,12
55,22506,0.875,12
56,22641,1.0,9
57,22419,1.125,9
58,22105,1.25,10
59,21816,1.375,9
60,21816,1.5,9
61,21816,1.625,9
62,21816,1.75,9
63,21816,1.875,9
64,21816,2.0,9
65,21816,2.125,9
66,21816,2.25,9
67,21816,2.375,9
68,21816,2.5,9
69,21816,2.625,9
70,21816,2.75,9
71,21816,2.875,9
72,21816,3.0,9
73,21816,3.125,9
74,21816,3.25,9
75,21816,3.375,9
76,21816,3.5,9
77,26062,3.625,2
78,24917,3.75,1
79,24917,3.625,0
80,24917,3.5,0
81,24917,3.375,0
82,24917,3.25,0
83,24917,3.125,0
84,24917,3.0,0
85,24917,2.875,0
86,24917,2.75,0
87,24917,2.625,0
88,24917,2.5,0
89,24917,2.375,0
90,24917,2.25,0
91,24917,2.125,0
92,24917,2.0,0
93,24917,1.875,0
94,24917,1.75,0
95,24917,1.625,0
96,24917,1.5,0
97,24917,1.375,0
98,24917,1.25,0
99,24917,1.125,0
100,24917,1.0,0
101,24917,0.875,0
102,24917,0.75,0
103,24917,0.625,0
104,24917,0.5,0
105,24917,0.375,0
106,24917,0.25,0
107,24917,0.125,0
108,24917,0.0,0
109,24574,0.125,5
110,23080,0.25,13
111,22384,0.375,11
112,21546,0.5,12
113,21092,0.625,12
114,20986,0.75,12
115,20986,0.875,12
116,20986,1.0,12
117,20986,1.125,12
118,20986,1.25,12
119,20986,1.375,12
120,20986,1.5,12
121,20986,1.625,12
122,20986,1.75,12
123,20986,1.875,12
124,20986,2.0,12
125,20986,2.125,12
126,20986,2.25,12
127,20986,2.375,12
128,20986,2.5,12
129,20986,2.625,12
130,20986,2.75,12
131,20986,2.875,12
132,20986,3.0,12
133,27014,3.125,1
134,27014,3.0,0
135,26363,2.875,0
136,25293,3.0,1
137,25196,2.875,0
138,25057,2.75,0
139,25057,2.625,0
140,25057,2.5,0
141,25057,2.375,0
142,25057,2.25,0
143,25057,2.125,0
144,25057,2.0,0
145,25057,1.875,0
146,25057,1.75,0
147,25057,1.625,0
148,25057,1.5,0
149,25057,1.375,0
150,25057,1.25,0
151,25057,1.125,0
152,25057,1.0,0
153,25057,0.875,0
154,25057,0.75,0
155,25057,0.625,0
156,25057,0.5,0
157,25057,0.375,0
158,25057,0.25,0
159,25057,0.125,0
160,25057,0.0,0
161,25057,0.0,0
162,24334,0.125,8
163,22592,0.25,11
164,22055,0.375,11
165,21227,0.5,14
166,20848,0.625,14
167,20986,0.75,12
168,20986,0.875,12
169,20986,1.0,12
170,20986,1.125,12
171,20986,1.25,12
172,20986,1.375,12
173,20986,1.5,12
174,20986,1.625,12
175,20986,1.75,12
176,20986,1.875,12
177,20986,2.0,12
