neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
102960,97953,348,97605,5007,14239,0,14239,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:14:59 CEST 2011,4551,24957,24957.0,0.0,0
108000,102673,377,102296,5327,14702,0,14702,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:14:59 CEST 2011,4858,25803,25803.0,0.0,0
102960,97953,348,97605,5007,14239,0,14239,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:14:59 CEST 2011,4757,24957,24957.0,0.0,0
99360,94324,333,93991,5036,19557,0,19557,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:14:59 CEST 2011,4558,25302,25302.0,0.0,0
146880,138944,477,138467,7936,19811,0,19811,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:15:00 CEST 2011,5560,24928,24928.0,0.0,0
163080,155794,564,155230,7286,30873,0,30873,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:15:00 CEST 2011,5678,24829,24829.0,0.0,0
194040,185396,670,184726,8644,36063,0,36063,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:15:00 CEST 2011,5878,24122,24122.0,0.0,0
136440,129352,471,128881,7088,32919,0,32919,Fri Jun 24 18:14:54 CEST 2011,Fri Jun 24 18:15:00 CEST 2011,5270,24316,24316.0,0.0,0
193680,184158,664,183494,9522,26622,0,26622,Fri Jun 24 18:14:55 CEST 2011,Fri Jun 24 18:15:00 CEST 2011,5820,24770,24770.0,0.0,0
99360,95197,390,94807,4163,18679,0,18679,Fri Jun 24 18:14:55 CEST 2011,Fri Jun 24 18:14:59 CEST 2011,4273,25085,25085.0,0.0,0
