iteration,cost,penalty,softConstraintViolations
1,25770,0.125,7
2,24416,0.25,10
3,23545,0.375,13
4,23608,0.5,13
5,23810,0.625,12
6,24549,0.75,8
7,24436,0.875,8
8,24234,1.0,9
9,24065,1.125,9
10,22616,1.25,10
11,22553,1.375,11
12,23482,1.5,8
13,23545,1.625,9
14,24818,1.75,7
15,24788,1.875,6
16,23633,2.0,9
17,24632,2.125,7
18,25787,2.25,4
19,25994,2.375,4
20,25947,2.5,4
21,26760,2.625,3
22,27005,2.75,3
23,26666,2.875,4
24,27234,3.0,2
25,26833,3.125,2
26,27572,3.25,2
27,26989,3.375,2
28,27680,3.5,2
29,27279,3.625,2
30,29477,3.5,0
31,29722,3.375,0
32,29248,3.25,0
33,29649,3.125,0
34,29894,3.0,0
35,29081,2.875,0
36,28968,2.75,0
37,29369,2.625,0
38,29080,2.5,0
39,27307,2.625,3
40,27034,2.75,3
41,26789,2.875,3
42,29086,2.75,0
43,29199,2.625,0
44,26902,2.75,3
45,27175,2.875,3
46,27062,3.0,3
47,26063,3.125,5
48,26967,3.25,3
49,29274,3.125,0
50,28826,3.0,0
51,28657,2.875,0
52,28770,2.75,0
53,28525,2.625,0
54,28694,2.5,0
55,28939,2.375,0
56,29387,2.25,0
57,27080,2.375,3
58,26176,2.5,5
59,25903,2.625,5
60,25790,2.75,5
61,26481,2.875,4
62,26726,3.0,4
63,26325,3.125,4
64,26598,3.25,4
65,27502,3.375,2
66,29275,3.25,0
67,29030,3.125,0
68,25879,3.25,4
69,23482,3.375,8
70,30041,3.25,0
71,30286,3.125,0
72,28513,3.25,2
73,28651,3.375,2
74,28378,3.5,2
75,28176,3.625,2
76,27363,3.75,2
77,27764,3.875,2
78,27519,4.0,2
79,29816,3.875,0
80,29853,3.75,0
81,29715,3.625,0
82,25994,3.75,4
83,29267,3.625,0
84,28590,3.5,0
85,25787,3.625,4
86,30298,3.5,0
87,30436,3.375,0
88,30297,3.25,0
89,30260,3.125,0
90,27963,3.25,2
91,27747,3.375,2
92,28020,3.5,2
93,30327,3.375,0
94,30044,3.25,0
95,31399,3.125,0
96,30284,3.0,0
97,29199,2.875,0
98,29086,2.75,0
99,26789,2.875,3
100,26902,3.0,3
101,27175,3.125,3
102,29482,3.0,0
103,29081,2.875,0
104,28968,2.75,0
105,29369,2.625,0
106,29080,2.5,0
107,27307,2.625,3
108,27034,2.75,3
109,26035,2.875,5
110,26308,3.0,5
111,27212,3.125,3
112,28985,3.0,0
113,29274,2.875,0
114,28826,2.75,0
115,28657,2.625,0
116,28770,2.5,0
117,28525,2.375,0
118,28694,2.25,0
119,26380,2.375,4
120,26211,2.5,4
121,25520,2.625,5
122,25119,2.75,5
123,25335,2.875,5
124,26264,3.0,4
125,26833,3.125,2
126,27234,3.25,2
127,26989,3.375,2
128,27572,3.5,2
129,27003,3.625,2
130,26787,3.75,2
131,27033,3.875,2
132,29912,3.75,0
133,29666,3.625,0
134,29553,3.5,0
135,29769,3.375,0
136,26618,3.5,3
137,26731,3.625,3
138,27816,3.75,2
139,28385,3.875,2
140,27646,4.0,2
141,27848,4.125,2
142,25795,4.25,4
143,26041,4.375,4
144,26552,4.5,2
145,29275,4.375,0
146,29030,4.25,0
147,29431,4.125,0
148,29215,4.0,0
149,29460,3.875,0
150,26737,4.0,2
151,26953,4.125,2
