iteration,cost,penalty,softConstraintViolations
1,24564,0.125,8
2,23792,0.25,8
3,23363,0.375,8
4,23110,0.5,9
5,22815,0.625,9
6,21882,0.75,13
7,21726,0.875,13
8,21378,1.0,13
9,21083,1.125,13
10,21544,1.25,10
11,21521,1.375,10
12,21617,1.5,10
13,21640,1.625,10
14,22820,1.75,6
15,24074,1.875,3
16,22894,2.0,7
17,22765,2.125,7
18,22669,2.25,7
19,24133,2.375,4
20,24390,2.5,4
21,24291,2.625,4
22,26074,2.75,1
23,26147,2.875,1
24,25616,3.0,2
25,25543,3.125,2
26,25773,3.25,2
27,27139,3.125,0
28,26725,3.0,0
29,25930,2.875,0
30,24147,3.0,2
31,23649,3.125,3
32,23947,3.25,3
33,25997,3.125,0
34,26003,3.0,0
35,25902,2.875,0
36,23852,3.0,3
37,24287,3.125,2
38,23937,3.25,2
39,23824,3.375,2
40,25854,3.25,0
41,25967,3.125,0
42,26317,3.0,0
43,26607,2.875,0
44,25525,2.75,0
45,25525,2.625,0
46,24816,2.75,1
47,24912,2.625,0
48,24839,2.5,0
49,24877,2.375,0
50,24950,2.25,0
51,24700,2.375,1
52,24627,2.5,1
53,24589,2.625,1
54,24662,2.75,1
55,24566,2.875,2
56,24493,3.0,2
57,24531,3.125,2
58,24604,3.25,2
59,24854,3.375,1
60,24781,3.5,2
61,24743,3.625,2
62,25546,3.75,1
63,25642,3.625,0
64,25583,3.5,0
65,25413,3.375,0
66,25486,3.25,0
67,25674,3.125,0
68,25649,3.0,0
69,25360,2.875,0
70,25323,2.75,0
71,25345,2.625,0
72,25382,2.5,0
73,25212,2.375,0
74,24595,2.5,1
75,24734,2.375,0
76,24781,2.25,0
77,24951,2.125,0
78,24904,2.0,0
79,24867,1.875,0
80,24845,1.75,0
81,24882,1.625,0
82,24929,1.5,0
83,24892,1.375,0
84,24914,1.25,0
85,25327,1.125,0
86,25280,1.0,0
87,24281,1.125,4
88,24728,1.25,2
89,24765,1.375,1
90,24743,1.5,1
91,24630,1.625,2
92,24769,1.75,1
93,24769,1.875,1
94,24540,2.0,2
95,25403,2.125,1
96,25509,2.0,0
97,25462,1.875,0
