neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
238260,232725,3884,228841,5535,53790,0,53790,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:09 CEST 2011,7723,24122,24122.0,0.0,0
220305,214560,3314,211246,5745,53331,0,53331,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:09 CEST 2011,7605,24822,24822.0,0.0,0
92340,90402,1432,88970,1938,19176,0,19176,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:06 CEST 2011,3851,24734,24734.0,0.0,0
159885,156219,2581,153638,3666,35670,0,35670,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:08 CEST 2011,6312,24579,24579.0,0.0,0
220305,214560,3314,211246,5745,53331,0,53331,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:09 CEST 2011,7611,24822,24822.0,0.0,0
92340,90402,1432,88970,1938,19176,0,19176,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:06 CEST 2011,3863,24734,24734.0,0.0,0
120840,117519,1994,115525,3321,26604,0,26604,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:07 CEST 2011,5190,24412,24412.0,0.0,0
98895,96972,1581,95391,1923,20379,0,20379,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:06 CEST 2011,4299,24885,24885.0,0.0,0
120840,117519,1994,115525,3321,26604,0,26604,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:07 CEST 2011,5053,24412,24412.0,0.0,0
220305,214560,3314,211246,5745,53331,0,53331,Fri Jun 24 18:16:02 CEST 2011,Fri Jun 24 18:16:09 CEST 2011,7457,24822,24822.0,0.0,0
