iteration,cost,penalty,softConstraintViolations
1,25519,0.125,6
2,24475,0.25,7
3,23640,0.375,7
4,22033,0.5,13
5,22186,0.625,9
6,22040,0.75,10
7,20744,0.875,16
8,20825,1.0,14
9,20681,1.125,14
10,21214,1.25,11
11,21358,1.375,11
12,21177,1.5,12
13,21073,1.625,12
14,20922,1.75,12
15,20826,1.875,12
16,21871,2.0,9
17,23364,2.125,5
18,23374,2.25,5
19,23210,2.375,6
20,24132,2.5,4
21,23918,2.625,4
22,24170,2.75,4
23,24157,2.875,4
24,24973,3.0,2
25,25565,3.125,1
26,25543,3.25,1
27,25565,3.375,1
28,25671,3.5,1
29,25098,3.625,1
30,25098,3.75,1
31,25986,3.625,0
32,26221,3.5,0
33,26651,3.375,0
34,25528,3.5,1
35,25858,3.625,1
36,26746,3.5,0
37,26784,3.375,0
38,26549,3.25,0
39,25858,3.375,1
40,25858,3.5,1
41,26011,3.625,1
42,26937,3.5,0
43,26682,3.375,0
44,26682,3.25,0
45,26682,3.125,0
46,26396,3.0,0
47,26101,2.875,0
48,25892,2.75,0
49,25739,2.625,0
50,25764,2.5,0
51,25120,2.375,0
52,25468,2.25,0
53,25383,2.125,0
54,25708,2.0,0
55,25745,1.875,0
56,25896,1.75,0
57,26103,1.625,0
58,25778,1.5,0
59,25938,1.375,0
60,25405,1.5,1
61,25355,1.625,1
62,25007,1.75,1
63,25637,1.625,0
64,25599,1.5,0
65,25712,1.375,0
66,25574,1.25,0
67,25461,1.375,1
68,25524,1.5,2
69,25637,1.625,1
70,25552,1.75,1
71,25648,1.875,1
72,25685,2.0,1
73,25344,2.125,2
74,26059,2.0,0
75,26122,1.875,0
76,26142,1.75,0
77,26180,1.625,0
78,25750,1.5,0
79,26098,1.375,0
80,25985,1.25,0
81,25813,1.375,1
82,25183,1.5,2
83,25296,1.625,1
84,25271,1.75,1
85,25440,1.875,1
86,26057,1.75,0
87,25573,1.875,1
88,25611,2.0,1
89,25432,2.125,1
90,24506,2.25,3
91,24566,2.375,2
92,24642,2.5,2
93,25386,2.625,1
94,25361,2.75,1
95,25455,2.875,1
96,25750,3.0,1
97,25596,3.125,1
98,25389,3.25,1
99,26129,3.125,0
100,26149,3.0,0
101,26187,2.875,0
102,25892,2.75,0
103,25739,2.625,0
104,25764,2.5,0
105,25120,2.375,0
106,25468,2.25,0
107,25383,2.125,0
108,25708,2.0,0
109,25745,1.875,0
110,25896,1.75,0
111,26103,1.625,0
112,25778,1.5,0
113,25938,1.375,0
114,25405,1.5,1
115,25355,1.625,1
116,25007,1.75,1
117,25637,1.625,0
118,25599,1.5,0
119,25712,1.375,0
120,25574,1.25,0
121,25461,1.375,1
122,25524,1.5,2
123,25637,1.625,1
124,25552,1.75,1
125,25648,1.875,1
126,25685,2.0,1
127,25344,2.125,2
128,26059,2.0,0
129,26122,1.875,0
130,26142,1.75,0
131,26180,1.625,0
132,25750,1.5,0
133,26098,1.375,0
134,25985,1.25,0
135,25813,1.375,1
136,25183,1.5,2
137,25296,1.625,1
138,25271,1.75,1
139,25440,1.875,1
140,26057,1.75,0
141,25573,1.875,1
142,25611,2.0,1
143,25432,2.125,1
144,24506,2.25,3
145,24566,2.375,2
146,24642,2.5,2
147,25386,2.625,1
148,25361,2.75,1
149,26101,2.625,0
150,26126,2.5,0
151,25917,2.375,0
152,25794,2.25,0
153,26003,2.125,0
154,25966,2.0,0
155,26138,1.875,0
156,25813,1.75,0
157,25120,1.625,0
158,25468,1.5,0
159,25383,1.375,0
160,25708,1.25,0
161,25745,1.125,0
162,25896,1.0,0
163,26103,0.875,0
164,25778,0.75,0
165,25455,0.875,2
166,25551,1.0,2
167,26266,0.875,0
168,26170,0.75,0
169,26208,0.625,0
170,26368,0.5,0
171,25637,0.375,0
172,25007,0.5,1
173,24757,0.625,3
174,24121,0.75,4
175,24477,0.875,3
176,23421,1.0,6
177,23134,1.125,4
178,23279,1.25,3
179,23182,1.375,3
180,23144,1.5,3
181,23027,1.625,3
182,23165,1.75,3
183,22880,1.875,4
184,23031,2.0,4
185,23316,2.125,3
186,23172,2.25,3
187,23480,2.375,3
188,23336,2.5,3
189,23452,2.625,2
190,23646,2.75,2
191,23684,2.875,2
192,23915,3.0,2
193,23422,3.125,3
194,23336,3.25,3
195,23314,3.375,3
196,23120,3.5,3
197,23142,3.625,3
198,23205,3.75,3
199,23183,3.875,3
200,23982,4.0,2
201,26002,3.875,0
202,25447,3.75,0
203,25409,3.625,0
204,25382,3.5,0
205,25420,3.375,0
206,25882,3.25,0
207,25909,3.125,0
208,24146,3.25,2
209,24444,3.375,2
210,24453,3.5,2
211,24647,3.625,2
212,26410,3.5,0
213,26383,3.375,0
214,26335,3.25,0
215,25334,3.375,1
216,25472,3.25,0
217,25356,3.375,1
218,25293,3.5,1
219,24935,3.625,1
220,24908,3.75,1
221,25052,3.875,1
222,25042,4.0,1
223,25042,4.125,1
224,25079,4.25,1
225,26275,4.125,0
226,26131,4.0,0
227,26104,3.875,0
228,26248,3.75,0
229,26238,3.625,0
230,26238,3.5,0
231,25435,3.625,1
232,24239,3.75,2
233,24239,3.875,2
234,24339,4.0,2
235,25265,4.125,1
236,25004,4.25,1
237,24898,4.375,1
238,24992,4.5,1
239,25014,4.625,1
240,25130,4.75,1
241,25933,4.625,0
242,25817,4.5,0
243,25817,4.375,0
244,25911,4.25,0
245,26017,4.125,0
246,25923,4.0,0
247,26003,3.875,0
248,25862,3.75,0
249,25802,3.625,0
